code,name,listingDate,shares,listingBoard
ABBA,Mahaka Media Tbk.,2002-04-03T00:00:00,3935892857.0,Pemantauan Khusus
ACES,Aspirasi Hidup Indonesia Tbk.,2007-11-06T00:00:00,17150000000.0,Utama
ACRO,Samcro Hyosung Adilestari Tbk.,2024-01-11T00:00:00,3469139732.0,Pengembangan
AEGS,Anugerah Spareparts Sejahtera ,2023-09-11T00:00:00,1006012052.0,Akselerasi
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01T00:00:00,6449463636.0,Pemantauan Khusus
ARGO,Argo Pantes Tbk,1991-01-07T00:00:00,3174339029.0,Pengembangan
ARTA,Arthavest Tbk,2002-11-05T00:00:00,446674175.0,Pengembangan
ASLC,Autopedia Sukses Lestari Tbk.,2022-01-25T00:00:00,12746354780.0,Pengembangan
AUTO,Astra Otoparts Tbk.,1998-06-15T00:00:00,4819733000.0,Utama
BABY,Multitrend Indo Tbk.,2023-09-07T00:00:00,2668586400.0,Pengembangan
BAIK,Bersama Mencapai Puncak Tbk.,2024-02-15T00:00:00,1125000000.0,Pengembangan
BATA,Sepatu Bata Tbk.,1982-03-24T00:00:00,1300000000.0,Pengembangan
BAUT,Mitra Angkasa Sejahtera Tbk.,2022-01-28T00:00:00,4800138198.0,Pemantauan Khusus
BAYU,Bayu Buana Tbk,1989-10-30T00:00:00,353220780.0,Pengembangan
BELL,Trisula Textile Industries Tbk,2017-10-03T00:00:00,7250000000.0,Pengembangan
BIKE,Sepeda Bersama Indonesia Tbk.,2022-03-21T00:00:00,1293916404.0,Pengembangan
BIMA,Primarindo Asia Infrastructure,1994-08-30T00:00:00,608175716.0,Pengembangan
BLTZ,Graha Layar Prima Tbk.,2014-04-10T00:00:00,873937142.0,Pengembangan
BMBL,Lavender Bina Cendikia Tbk.,2023-01-11T00:00:00,1030080995.0,Akselerasi
BMTR,Global Mediacom Tbk.,1995-07-17T00:00:00,16583997586.0,Utama
BOGA,Bintang Oto Global Tbk.,2016-12-19T00:00:00,3803526210.0,Pengembangan
BOLA,Bali Bintang Sejahtera Tbk.,2019-06-17T00:00:00,6000000000.0,Utama
BOLT,Garuda Metalindo Tbk.,2015-07-07T00:00:00,2343750000.0,Pengembangan
BRAM,Indo Kordsa Tbk.,1990-09-05T00:00:00,450056980.0,Pengembangan
BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12T00:00:00,20590473213.0,Pengembangan
CARS,Industri dan Perdagangan Bintr,2017-04-10T00:00:00,15000000000.0,Utama
CBMF,Cahaya Bintang Medan Tbk.,2020-04-09T00:00:00,1875000000.0,Pemantauan Khusus
