code,name,listingDate,shares,listingBoard
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06T00:00:00,620806680.0,Pemantauan Khusus
ADMF,Adira Dinamika Multi Finance T,2004-03-31T00:00:00,1000000000.0,Pengembangan
AGRO,Bank Raya Indonesia Tbk.,2003-08-08T00:00:00,24493093216.0,Utama
AGRS,Bank IBK Indonesia Tbk.,2014-12-22T00:00:00,37366710073.0,Pengembangan
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14T00:00:00,4900000000.0,Pengembangan
AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23T00:00:00,5001552516.0,Pengembangan
AMAR,Bank Amar Indonesia Tbk.,2020-01-09T00:00:00,18197283760.0,Pengembangan
AMOR,Ashmore Asset Management Indon,2020-01-14T00:00:00,2222222400.0,Pengembangan
APIC,Pacific Strategic Financial Tb,2002-12-18T00:00:00,11766313488.0,Pengembangan
ARTO,Bank Jago Tbk.,2016-01-12T00:00:00,13718448700.0,Utama
ASBI,Asuransi Bintang Tbk.,1989-11-29T00:00:00,348386472.0,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15T00:00:00,384000000.0,Pengembangan
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23T00:00:00,1400000000.0,Pengembangan
ASMI,Asuransi Maximus Graha Persada,2014-01-16T00:00:00,8958380460.0,Pemantauan Khusus
ASRM,Asuransi Ramayana Tbk.,1990-03-19T00:00:00,1217135360.0,Pengembangan
BABP,Bank MNC Internasional Tbk.,2002-07-15T00:00:00,44014333126.0,Pengembangan
BACA,Bank Capital Indonesia Tbk.,2007-10-04T00:00:00,19753494636.0,Utama
BANK,Bank Aladin Syariah Tbk.,2021-02-01T00:00:00,14621932740.0,Utama
BBCA,Bank Central Asia Tbk.,2000-05-31T00:00:00,122042299500.0,Utama
BBHI,Allo Bank Indonesia Tbk.,2015-08-12T00:00:00,21512953877.0,Utama
BBKP,Bank KB Bukopin Tbk.,2006-07-10T00:00:00,185819884852.0,Utama
BBLD,Buana Finance Tbk.,1990-05-07T00:00:00,1645796054.0,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,2013-07-08T00:00:00,4049189100.0,Pengembangan
BBNI,Bank Negara Indonesia (Persero,1996-11-25T00:00:00,36924339786.0,Utama
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10T00:00:00,150043411587.0,Utama
BBSI,Krom Bank Indonesia Tbk.,2020-09-07T00:00:00,3637976068.0,Pengembangan
BBTN,Bank Tabungan Negara (Persero),2009-12-17T00:00:00,13894099969.0,Utama
BBYB,Bank Neo Commerce Tbk.,2015-01-13T00:00:00,11920114211.0,Utama
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08T00:00:00,42618850927.0,Pemantauan Khusus
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25T00:00:00,17926071041.0,Pengembangan
BDMN,Bank Danamon Indonesia Tbk.,1989-12-06T00:00:00,9675817341.0,Utama
BEKS,Bank Pembangunan Daerah Banten,2001-07-13T00:00:00,51351733883.0,Pemantauan Khusus
BFIN,BFI Finance  Indonesia Tbk.,1990-05-16T00:00:00,15967115620.0,Utama
BGTG,Bank Ganesha Tbk.,2016-05-12T00:00:00,23731287132.0,Pengembangan
BHAT,Bhakti Multi Artha Tbk.,2020-04-15T00:00:00,5000000000.0,Pengembangan
BINA,Bank Ina Perdana Tbk.,2014-01-16T00:00:00,6073369498.0,Utama
BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08T00:00:00,10416229249.0,Utama
BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12T00:00:00,14865343101.0,Utama
BKSW,Bank QNB Indonesia Tbk.,2002-11-21T00:00:00,34953681505.0,Pemantauan Khusus
BMAS,Bank Maspion Indonesia Tbk.,2013-07-11T00:00:00,17921635680.0,Pengembangan
BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14T00:00:00,92399999996.0,Utama
BNBA,Bank Bumi Arta Tbk.,2006-06-01T00:00:00,3354120000.0,Pengembangan
BNGA,Bank CIMB Niaga Tbk.,1989-11-29T00:00:00,24890783784.0,Utama
BNII,Bank Maybank Indonesia Tbk.,1989-11-21T00:00:00,75357433911.0,Utama
BNLI,Bank Permata Tbk.,1990-01-15T00:00:00,35819545925.0,Pengembangan
BPFI,Woori Finance Indonesia Tbk.,2009-06-01T00:00:00,2673995362.0,Pengembangan
BPII,Batavia Prosperindo Internasio,2014-07-08T00:00:00,10309973240.0,Pengembangan
BRIS,Bank Syariah Indonesia Tbk.,2018-05-09T00:00:00,45667877639.0,Utama
BSIM,Bank Sinarmas Tbk.,2010-12-13T00:00:00,19517921842.0,Utama
BSWD,Bank Of India Indonesia Tbk.,2002-05-01T00:00:00,3651978177.0,Pemantauan Khusus
BTPN,Bank BTPN Tbk.,2008-03-12T00:00:00,10536203690.0,Utama
BTPS,Bank BTPN Syariah Tbk.,2018-05-08T00:00:00,7626663000.0,Utama
BVIC,Bank Victoria International Tb,1999-06-30T00:00:00,15690045611.0,Utama
CASA,Capital Financial Indonesia Tb,2016-07-19T00:00:00,54476269803.0,Pengembangan
CFIN,Clipan Finance Indonesia Tbk.,1990-08-27T00:00:00,3984520457.0,Utama
DEFI,Danasupra Erapacific Tbk.,2001-07-06T00:00:00,687266666.0,Pemantauan Khusus
DNAR,Bank Oke Indonesia Tbk.,2014-07-11T00:00:00,16867292274.0,Pengembangan
DNET,Indoritel Makmur Internasional,2000-12-11T00:00:00,14184000000.0,Pengembangan
FUJI,Fuji Finance Indonesia Tbk.,2019-07-09T00:00:00,1300000000.0,Pengembangan
GSMF,Equity Development Investment ,1989-10-23T00:00:00,14230399705.0,Pengembangan
HDFA,Radana Bhaskara Finance Tbk.,2011-05-10T00:00:00,6542445783.0,Pengembangan
INPC,Bank Artha Graha Internasional,1990-08-23T00:00:00,20021178779.0,Utama
JMAS,Asuransi Jiwa Syariah Jasa Mit,2017-12-18T00:00:00,1000000000.0,Pengembangan
LIFE,MSIG Life Insurance Indonesia ,2019-07-09T00:00:00,2100000000.0,Pengembangan
LPGI,Lippo General Insurance Tbk.,1997-07-22T00:00:00,300000000.0,Pengembangan
LPPS,Lenox Pasifik Investama Tbk.,1994-03-28T00:00:00,2588250000.0,Pengembangan
MASB,Bank Multiarta Sentosa Tbk.,2021-06-30T00:00:00,1387737233.0,Pengembangan
MAYA,Bank Mayapada Internasional Tb,1997-08-29T00:00:00,25906179152.0,Utama
MCOR,Bank China Construction Bank I,2007-07-03T00:00:00,37540533209.0,Utama
MEGA,Bank Mega Tbk.,2000-04-17T00:00:00,11623514905.0,Utama
MFIN,Mandala Multifinance Tbk.,2005-09-06T00:00:00,2650000000.0,Utama
MREI,Maskapai Reasuransi Indonesia ,1989-09-04T00:00:00,517791681.0,Pengembangan
MTWI,Malacca Trust Wuwungan Insuran,2017-10-12T00:00:00,2924486639.0,Pengembangan
NICK,Charnic Capital Tbk.,2018-05-02T00:00:00,651150000.0,Pengembangan
