date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,890.0,895.0,895.0,915.0,880.0,895.0,5.0,63726900.0,57320743000.0,3922.0,590.1,900.0,323400.0,895.0,2407000.0,24030764725.0,24030764725.0,24030764725.0,794500.0,7628600.0,,13737100.0,9801583100.0,4.0
2019-07-30,895.0,905.0,905.0,940.0,905.0,935.0,40.0,84114000.0,78058671000.0,5300.0,616.5,940.0,4885100.0,935.0,490200.0,24030764725.0,24030764725.0,24030764725.0,2683700.0,2203900.0,,460000.0,425800000.0,2.0
2019-07-31,935.0,940.0,945.0,945.0,925.0,935.0,0.0,48705800.0,45649342500.0,3598.0,616.5,940.0,2374900.0,935.0,1387300.0,24030764725.0,24030764725.0,24030764725.0,6255200.0,854000.0,,53260233.0,39923442855.0,9.0
2019-08-01,935.0,935.0,935.0,940.0,920.0,925.0,-10.0,46309500.0,43027395500.0,2744.0,609.9,925.0,2433100.0,920.0,2105800.0,24030764725.0,24030764725.0,24030764725.0,5147700.0,350000.0,,28255636.0,25193541610.0,24.0
2019-08-02,925.0,905.0,905.0,920.0,890.0,900.0,-25.0,100773500.0,90954401500.0,4217.0,593.4,905.0,2944000.0,900.0,819700.0,24030764725.0,24030764725.0,24030764725.0,18544300.0,4642000.0,,17973343.0,16378716200.0,4.0
2019-08-05,900.0,900.0,895.0,900.0,855.0,860.0,-40.0,83532300.0,73286013000.0,4835.0,567.0,865.0,317500.0,860.0,1388600.0,24030764725.0,24030764725.0,24030764725.0,1374100.0,5363200.0,,529936.0,461453420.0,4.0
2019-08-06,860.0,850.0,850.0,945.0,830.0,940.0,80.0,247604900.0,225619187000.0,11575.0,619.8,940.0,4231800.0,935.0,1477100.0,24030764725.0,24030764725.0,24030764725.0,7940100.0,3286800.0,,4808400.0,4185024000.0,5.0
2019-08-07,940.0,945.0,945.0,1030.0,940.0,1005.0,65.0,487598800.0,486525378000.0,24494.0,662.6,1005.0,1455700.0,1000.0,3285700.0,24030764725.0,24030764725.0,24030764725.0,17951700.0,8974700.0,,244362785.0,211784370249.0,65.0
2019-08-08,1005.0,1050.0,1055.0,1075.0,1010.0,1020.0,15.0,257680900.0,269092790500.0,12611.0,672.5,1025.0,5440800.0,1020.0,22621600.0,24030764725.0,24030764725.0,24030764725.0,23037300.0,3286700.0,,159495028.0,153225354848.0,27.0
2019-08-09,1020.0,1030.0,1035.0,1080.0,1015.0,1065.0,45.0,240007000.0,252514027500.0,12461.0,702.2,1065.0,4777600.0,1060.0,663100.0,24030764725.0,24030764725.0,24030764725.0,12563300.0,4352500.0,,10152040.0,8793021185.0,7.0
