date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1305.0,0.0,0.0,1320.0,1270.0,1305.0,0.0,1523100.0,1966672500.0,686.0,25.1,1310.0,15000.0,1305.0,9100.0,2703620000.0,2703620000.0,2703620000.0,159300.0,10000.0,,0.0,0.0,0.0
2019-07-30,1305.0,0.0,0.0,1310.0,1290.0,1305.0,0.0,2995800.0,3909223500.0,198.0,25.1,1310.0,40600.0,1305.0,438600.0,2703620000.0,2703620000.0,2703620000.0,2690800.0,0.0,,0.0,0.0,0.0
2019-07-31,1305.0,0.0,0.0,1340.0,1300.0,1325.0,20.0,978800.0,1294656000.0,366.0,25.5,1330.0,25900.0,1325.0,40000.0,2703620000.0,2703620000.0,2703620000.0,95000.0,0.0,,0.0,0.0,0.0
2019-08-01,1325.0,0.0,0.0,1345.0,1300.0,1325.0,0.0,2025000.0,2682853500.0,444.0,25.5,1330.0,15100.0,1325.0,27000.0,2703620000.0,2703620000.0,2703620000.0,144600.0,22500.0,,0.0,0.0,0.0
2019-08-02,1325.0,0.0,0.0,1325.0,1285.0,1290.0,-35.0,546600.0,707332500.0,361.0,24.8,1295.0,3400.0,1290.0,33800.0,2703620000.0,2703620000.0,2703620000.0,53300.0,5000.0,,0.0,0.0,0.0
2019-08-05,1290.0,0.0,0.0,1295.0,1265.0,1290.0,0.0,1031800.0,1324293000.0,306.0,24.8,1290.0,28900.0,1285.0,30000.0,2703620000.0,2703620000.0,2703620000.0,106800.0,0.0,,0.0,0.0,0.0
2019-08-06,1290.0,0.0,0.0,1290.0,1205.0,1285.0,-5.0,5334600.0,6659346000.0,1198.0,24.7,1290.0,24200.0,1285.0,228800.0,2703620000.0,2703620000.0,2703620000.0,2390700.0,12500.0,,0.0,0.0,0.0
2019-08-07,1285.0,0.0,0.0,1365.0,1285.0,1365.0,80.0,3482400.0,4695859000.0,1014.0,26.3,1365.0,73400.0,1360.0,20900.0,2703620000.0,2703620000.0,2703620000.0,383000.0,10000.0,,43.0,53965.0,1.0
2019-08-08,1365.0,0.0,0.0,1375.0,1335.0,1365.0,0.0,4559200.0,6170610000.0,553.0,26.3,1370.0,85000.0,1365.0,209100.0,2703620000.0,2703620000.0,2703620000.0,422600.0,0.0,,0.0,0.0,0.0
2019-08-09,1365.0,0.0,0.0,1380.0,1310.0,1365.0,0.0,3072200.0,4149235000.0,702.0,26.3,1370.0,40800.0,1365.0,37600.0,2703620000.0,2703620000.0,2703620000.0,805400.0,0.0,,0.0,0.0,0.0
