date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,2920.0,2920.0,2940.0,2950.0,2860.0,2910.0,-10.0,7284600.0,21164641000.0,1934.0,1187.8,2920.0,95000.0,2910.0,128700.0,9936338720.0,9936338720.0,9936338720.0,391100.0,430200.0,,0.0,0.0,0.0
2019-07-30,2910.0,2960.0,2960.0,3060.0,2950.0,3010.0,100.0,17856000.0,53860003000.0,3569.0,1228.6,3020.0,138200.0,3010.0,301500.0,9936338720.0,9936338720.0,9936338720.0,2629700.0,1137700.0,,414412.0,1260881920.0,9.0
2019-07-31,3010.0,3020.0,3020.0,3050.0,2990.0,3030.0,20.0,6827500.0,20599599000.0,1376.0,1236.7,3040.0,473900.0,3030.0,797500.0,9936338720.0,9936338720.0,9936338720.0,122500.0,238400.0,,200000.0,606000000.0,1.0
2019-08-01,3030.0,3050.0,3050.0,3060.0,2920.0,2940.0,-90.0,20277100.0,60651110000.0,2757.0,1200.0,2950.0,100000.0,2940.0,337900.0,9936338720.0,9936338720.0,9936338720.0,3795900.0,1595500.0,,186840.0,562385600.0,2.0
2019-08-02,2940.0,2900.0,2900.0,2950.0,2860.0,2890.0,-50.0,19010000.0,55118504000.0,2928.0,1179.6,2900.0,100000.0,2890.0,189700.0,9936338720.0,9936338720.0,9936338720.0,5615100.0,2604200.0,,150.0,433500.0,2.0
2019-08-05,2890.0,2850.0,2850.0,2880.0,2810.0,2810.0,-80.0,19650100.0,55733104000.0,2694.0,1146.9,2820.0,178100.0,2810.0,219400.0,9936338720.0,9936338720.0,9936338720.0,8720500.0,3277000.0,,145355.0,448278750.0,4.0
2019-08-06,2810.0,2800.0,2790.0,2980.0,2750.0,2950.0,140.0,22419700.0,64686336000.0,3701.0,1204.1,2950.0,137900.0,2940.0,204900.0,9936338720.0,9936338720.0,9936338720.0,1866600.0,244300.0,,2501.0,7002810.0,2.0
2019-08-07,2950.0,2960.0,2970.0,3040.0,2960.0,2990.0,40.0,22849500.0,68534911000.0,3317.0,1220.4,2990.0,63400.0,2980.0,134300.0,9936338720.0,9936338720.0,9936338720.0,661300.0,168000.0,,2314700.0,6901358800.0,3.0
2019-08-08,2990.0,3130.0,3130.0,3220.0,3080.0,3110.0,120.0,35416900.0,110956097000.0,5002.0,1269.4,3120.0,205300.0,3110.0,478600.0,9936338720.0,9936338720.0,9936338720.0,3110800.0,2449900.0,,0.0,0.0,0.0
2019-08-09,3110.0,3170.0,3170.0,3260.0,3100.0,3250.0,140.0,40393000.0,128973413000.0,6164.0,1326.5,3260.0,470800.0,3250.0,36200.0,9936338720.0,9936338720.0,9936338720.0,3854700.0,2695300.0,,133076.0,462937000.0,4.0
