date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,26525.0,26525.0,26525.0,26525.0,25525.0,25575.0,-950.0,3932800.0,101720437500.0,4852.0,30446.4,25600.0,15000.0,25575.0,1084500.0,3730135136.0,3730135136.0,3730135136.0,2232900.0,728900.0,,412034.0,10640316300.0,19.0
2019-07-30,25575.0,25600.0,25675.0,25725.0,25500.0,25500.0,-75.0,4539500.0,116094922500.0,3952.0,30357.1,25525.0,700.0,25500.0,470000.0,3730135136.0,3730135136.0,3730135136.0,2119400.0,1739200.0,,141539.0,3602115475.0,6.0
2019-07-31,25500.0,25375.0,25350.0,25375.0,24875.0,24925.0,-575.0,6533500.0,162971622500.0,5933.0,29672.6,24950.0,16100.0,24925.0,514500.0,3730135136.0,3730135136.0,3730135136.0,3843300.0,2346600.0,,740041.0,18582107425.0,24.0
2019-08-01,24925.0,24875.0,24925.0,25175.0,24425.0,24450.0,-475.0,5933100.0,146530655000.0,6358.0,29107.1,24475.0,1150600.0,24450.0,89200.0,3730135136.0,3730135136.0,3730135136.0,2556400.0,1316100.0,,265.0,6493025.0,5.0
2019-08-02,24450.0,24300.0,24400.0,24725.0,24300.0,24575.0,125.0,6272600.0,153855152500.0,4477.0,29256.0,24600.0,30300.0,24575.0,153700.0,3730135136.0,3730135136.0,3730135136.0,2626900.0,937600.0,,205.0,5065175.0,3.0
2019-08-05,24575.0,24575.0,24575.0,24575.0,23850.0,23875.0,-700.0,4959800.0,119505717500.0,4679.0,28422.6,23900.0,3400.0,23875.0,57000.0,3730135136.0,3730135136.0,3730135136.0,1927700.0,825500.0,,328244.0,8065589200.0,7.0
2019-08-06,23875.0,23500.0,23500.0,23500.0,22600.0,22750.0,-1125.0,8463100.0,194682882500.0,8073.0,27083.3,22775.0,4400.0,22750.0,1170000.0,3730135136.0,3730135136.0,3730135136.0,4708500.0,2228000.0,,392467.0,9792418750.0,5.0
2019-08-07,22750.0,23250.0,23250.0,23375.0,22725.0,22800.0,50.0,6163900.0,142057245000.0,5761.0,27142.9,22850.0,5000.0,22800.0,111800.0,3730135136.0,3730135136.0,3730135136.0,2689500.0,1952700.0,,215216.0,4960553200.0,6.0
2019-08-08,22800.0,22900.0,23000.0,23300.0,22900.0,23200.0,400.0,4011800.0,92721265000.0,4175.0,27619.0,23225.0,40300.0,23200.0,36500.0,3730135136.0,3730135136.0,3730135136.0,2239000.0,2035800.0,,191915.0,4488434225.0,4.0
2019-08-09,23200.0,23300.0,23350.0,23475.0,23075.0,23175.0,-25.0,2970500.0,69005745000.0,4093.0,27589.3,23225.0,29300.0,23175.0,300.0,3730135136.0,3730135136.0,3730135136.0,2102900.0,781100.0,,422296.0,9815219400.0,4.0
2019-08-12,23175.0,23125.0,23125.0,23175.0,21625.0,21700.0,-1475.0,12763700.0,282696760000.0,12467.0,25833.3,21725.0,2800.0,21700.0,241900.0,3730135136.0,3730135136.0,3730135136.0,5809900.0,1227900.0,,316369.0,7041083625.0,17.0
2019-08-13,21700.0,21700.0,21725.0,21725.0,21200.0,21225.0,-475.0,9243100.0,197509727500.0,8990.0,25267.9,21275.0,1000.0,21225.0,180700.0,3730135136.0,3730135136.0,3730135136.0,6104300.0,3099400.0,,10073.0,214622625.0,3.0
2019-08-14,21225.0,21500.0,21500.0,21725.0,21425.0,21575.0,350.0,3772300.0,81347185000.0,4695.0,25684.5,21600.0,5700.0,21575.0,326800.0,3730135136.0,3730135136.0,3730135136.0,2052800.0,1321800.0,,485398.0,10345360000.0,5.0
2019-08-15,21575.0,21000.0,20900.0,21150.0,20600.0,20750.0,-825.0,6923800.0,144292415000.0,7015.0,24702.4,20775.0,4400.0,20750.0,26400.0,3730135136.0,3730135136.0,3730135136.0,4321700.0,2032000.0,,1017200.0,21821696000.0,9.0
2019-08-16,20750.0,20700.0,20750.0,21400.0,20400.0,20500.0,-250.0,11691500.0,242245562500.0,9992.0,24404.8,20525.0,200.0,20500.0,429600.0,3730135136.0,3730135136.0,3730135136.0,6204600.0,2736400.0,,775080.0,15931736900.0,7.0
2019-08-19,20500.0,20750.0,20750.0,20900.0,20600.0,20700.0,200.0,2639300.0,54731085000.0,4292.0,24642.9,20725.0,22800.0,20700.0,15600.0,3730135136.0,3730135136.0,3730135136.0,1100100.0,1151800.0,,120622.0,2504588975.0,6.0
2019-08-20,20700.0,20850.0,20850.0,20875.0,20500.0,20550.0,-150.0,4671300.0,96352667500.0,6278.0,24464.3,20600.0,3000.0,20550.0,50400.0,3730135136.0,3730135136.0,3730135136.0,3567300.0,1791600.0,,280072.0,5787943000.0,3.0
2019-08-21,20550.0,20500.0,20650.0,20675.0,20025.0,20025.0,-525.0,5765200.0,116335755000.0,5417.0,23839.3,20025.0,348100.0,20000.0,277900.0,3730135136.0,3730135136.0,3730135136.0,3549400.0,1934500.0,,237489.0,4869358700.0,4.0
2019-08-22,20025.0,20100.0,20150.0,20150.0,19650.0,19975.0,-50.0,5291300.0,105284392500.0,6075.0,23779.8,20000.0,26800.0,19975.0,9800.0,3730135136.0,3730135136.0,3730135136.0,1919700.0,2458100.0,,25414.0,604016550.0,6.0
2019-08-23,19975.0,20000.0,20025.0,20575.0,19875.0,20500.0,525.0,6016300.0,122728545000.0,8034.0,24404.8,20500.0,5800.0,20475.0,32100.0,3730135136.0,3730135136.0,3730135136.0,2104600.0,3439400.0,,203600.0,4159951400.0,7.0
2019-08-26,20500.0,20100.0,20050.0,20175.0,19850.0,20125.0,-375.0,5070500.0,101663577500.0,6532.0,23958.3,20150.0,33200.0,20125.0,101500.0,3730135136.0,3730135136.0,3730135136.0,3160600.0,2501500.0,,675174.0,13605159000.0,35.0
2019-08-27,20125.0,20125.0,20125.0,20700.0,20125.0,20700.0,575.0,10417700.0,214525662500.0,6686.0,24642.9,20725.0,10500.0,20700.0,96200.0,3730135136.0,3730135136.0,3730135136.0,6240900.0,8338400.0,,2259.0,46555700.0,4.0
