date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,167.0,0.0,0.0,168.0,165.0,168.0,1.0,10700.0,1782800.0,27.0,76.4,168.0,900.0,162.0,600.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,168.0,0.0,0.0,168.0,167.0,167.0,-1.0,5700.0,953000.0,11.0,75.9,167.0,100.0,166.0,600.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,167.0,0.0,0.0,169.0,165.0,169.0,2.0,25900.0,4291100.0,12.0,76.8,170.0,5300.0,169.0,14400.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,169.0,0.0,0.0,170.0,169.0,170.0,1.0,11500.0,1952200.0,8.0,77.3,169.0,200.0,166.0,59400.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,170.0,0.0,0.0,173.0,169.0,171.0,1.0,3700.0,634300.0,5.0,77.7,171.0,3500.0,170.0,13400.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,171.0,0.0,0.0,171.0,170.0,170.0,-1.0,7400.0,1261200.0,4.0,77.3,171.0,600.0,168.0,100.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,170.0,0.0,0.0,170.0,165.0,166.0,-4.0,3300.0,546800.0,6.0,75.5,175.0,200.0,166.0,900.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,166.0,0.0,0.0,166.0,165.0,165.0,-1.0,6000.0,991000.0,2.0,75.0,182.0,900.0,168.0,1000.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,165.0,0.0,0.0,177.0,170.0,170.0,5.0,13300.0,2289300.0,13.0,77.3,170.0,300.0,166.0,6000.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,170.0,0.0,0.0,175.0,175.0,175.0,5.0,3100.0,542500.0,7.0,79.5,174.0,100.0,168.0,2000.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,175.0,0.0,0.0,175.0,174.0,175.0,0.0,1800.0,314400.0,5.0,79.5,174.0,1000.0,170.0,1100.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,175.0,0.0,0.0,170.0,168.0,170.0,-5.0,700.0,117800.0,3.0,77.3,174.0,500.0,170.0,900.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,170.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,77.3,171.0,500.0,170.0,800.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,170.0,0.0,0.0,170.0,170.0,170.0,0.0,14700.0,2499000.0,3.0,77.3,177.0,500.0,170.0,30200.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,170.0,0.0,0.0,174.0,174.0,174.0,4.0,4700.0,817800.0,8.0,79.1,175.0,600.0,174.0,100.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,174.0,0.0,0.0,167.0,164.0,164.0,-10.0,11200.0,1853100.0,9.0,74.5,173.0,500.0,165.0,500.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,164.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,74.5,172.0,900.0,165.0,2000.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,164.0,0.0,0.0,172.0,166.0,171.0,7.0,6900.0,1178100.0,11.0,77.7,171.0,2400.0,166.0,1300.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,171.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,77.7,173.0,500.0,166.0,500.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,171.0,0.0,0.0,165.0,165.0,165.0,-6.0,2000.0,330000.0,1.0,75.0,169.0,300.0,165.0,100.0,1075760000.0,1075760000.0,1075760000.0,0.0,0.0,,0.0,0.0,0.0
