date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,880.0,0.0,0.0,805.0,790.0,805.0,-75.0,5100.0,4048000.0,6.0,115.0,810.0,1000.0,790.0,1000.0,1875010000.0,1875010000.0,1875010000.0,0.0,2500.0,,0.0,0.0,0.0
2019-07-30,805.0,0.0,0.0,880.0,805.0,870.0,65.0,9800.0,8319000.0,13.0,124.3,870.0,10400.0,855.0,600.0,1875010000.0,1875010000.0,1875010000.0,2500.0,0.0,,0.0,0.0,0.0
2019-07-31,870.0,0.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0,0.0,124.3,860.0,1000.0,800.0,1000.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,870.0,0.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0,0.0,124.3,860.0,1500.0,710.0,500.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,870.0,0.0,0.0,860.0,850.0,850.0,-20.0,5200.0,4422000.0,7.0,121.4,850.0,400.0,775.0,10000.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,850.0,0.0,0.0,800.0,800.0,800.0,-50.0,1400.0,1120000.0,3.0,114.3,830.0,100.0,800.0,600.0,1875010000.0,1875010000.0,1875010000.0,0.0,800.0,,0.0,0.0,0.0
2019-08-06,800.0,0.0,0.0,800.0,800.0,800.0,0.0,100.0,80000.0,1.0,114.3,825.0,100.0,800.0,300.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,800.0,0.0,0.0,830.0,800.0,830.0,30.0,900.0,732000.0,2.0,118.6,830.0,100.0,800.0,700.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,830.0,0.0,0.0,790.0,790.0,790.0,-40.0,100.0,79000.0,1.0,112.9,825.0,100.0,800.0,500.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,790.0,0.0,0.0,840.0,840.0,840.0,50.0,1000.0,840000.0,2.0,120.0,830.0,100.0,790.0,1000.0,1875010000.0,1875010000.0,1875010000.0,500.0,0.0,,0.0,0.0,0.0
2019-08-12,840.0,0.0,0.0,835.0,835.0,835.0,-5.0,100.0,83500.0,1.0,119.3,835.0,500.0,805.0,500.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,835.0,0.0,0.0,805.0,800.0,800.0,-35.0,1100.0,880500.0,3.0,114.3,830.0,1000.0,795.0,1100.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,800.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,114.3,845.0,700.0,800.0,1000.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,800.0,0.0,0.0,780.0,780.0,780.0,-20.0,1000.0,780000.0,2.0,111.4,800.0,500.0,780.0,300.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,780.0,0.0,0.0,770.0,770.0,770.0,-10.0,100.0,77000.0,1.0,110.0,840.0,1000.0,785.0,1000.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,770.0,0.0,0.0,860.0,800.0,860.0,90.0,42800.0,34363500.0,7.0,122.9,860.0,9700.0,845.0,700.0,1875010000.0,1875010000.0,1875010000.0,40300.0,0.0,,0.0,0.0,0.0
2019-08-20,860.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,0.0,122.9,850.0,500.0,800.0,100.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,860.0,0.0,0.0,860.0,860.0,860.0,0.0,100.0,86000.0,1.0,122.9,870.0,10000.0,815.0,2000.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,860.0,0.0,0.0,815.0,810.0,815.0,-45.0,900.0,733000.0,2.0,116.4,860.0,500.0,815.0,300.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,815.0,0.0,0.0,850.0,850.0,850.0,35.0,100.0,85000.0,1.0,121.4,850.0,5300.0,645.0,2000.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,850.0,0.0,0.0,910.0,895.0,895.0,45.0,800.0,718000.0,3.0,127.9,890.0,400.0,840.0,100.0,1875010000.0,1875010000.0,1875010000.0,0.0,0.0,,0.0,0.0,0.0
