date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-07-20,140.0,0.0,0.0,189.0,160.0,189.0,49.0,75657800.0,14126133000.0,5867.0,135.0,0.0,0.0,189.0,250520200.0,5840126500.0,1040126500.0,1173246500.0,106500.0,0.0,,4977300.0,935230300.0,4.0
2022-07-21,189.0,0.0,0.0,254.0,210.0,240.0,51.0,923526700.0,222409913600.0,83533.0,171.4,240.0,18705700.0,238.0,2917500.0,5840126500.0,1040126500.0,1173246500.0,1423400.0,2379600.0,,1800.0,440400.0,2.0
2022-07-22,240.0,0.0,0.0,234.0,224.0,224.0,-16.0,52580400.0,11826966000.0,3583.0,160.0,224.0,23453500.0,0.0,0.0,5840126500.0,1040126500.0,1173246500.0,0.0,22000.0,,0.0,0.0,0.0
2022-07-25,224.0,0.0,0.0,222.0,210.0,210.0,-14.0,124405600.0,26303565800.0,7905.0,150.0,210.0,5268200.0,0.0,0.0,5840126500.0,1040126500.0,1173246500.0,238800.0,10000.0,,0.0,0.0,0.0
2022-07-26,210.0,0.0,0.0,228.0,196.0,216.0,6.0,115143700.0,24416942000.0,10888.0,154.3,218.0,880000.0,216.0,1723800.0,5840126500.0,1040126500.0,1173246500.0,1498600.0,80000.0,,0.0,0.0,0.0
2022-07-27,216.0,0.0,0.0,242.0,214.0,238.0,22.0,200266800.0,46350750400.0,14915.0,170.0,240.0,1437000.0,238.0,32100.0,5840126500.0,1040126500.0,1173246500.0,286500.0,460500.0,,0.0,0.0,0.0
2022-07-28,238.0,0.0,0.0,250.0,228.0,234.0,-4.0,123659400.0,29600573800.0,7360.0,167.1,236.0,1039000.0,234.0,765700.0,5840126500.0,1040126500.0,1173246500.0,479500.0,442500.0,,10000.0,2300000.0,1.0
2022-07-29,234.0,0.0,0.0,284.0,232.0,276.0,42.0,385490900.0,102305007200.0,15858.0,197.1,276.0,513700.0,274.0,1244500.0,5840126500.0,1040126500.0,1173246500.0,222000.0,543100.0,,1950000.0,430950000.0,1.0
2022-08-01,276.0,0.0,0.0,290.0,270.0,278.0,2.0,124327800.0,34758064400.0,9130.0,198.6,278.0,956300.0,276.0,703100.0,5840126500.0,1040126500.0,1173246500.0,2774600.0,5749800.0,,0.0,0.0,0.0
2022-08-02,278.0,0.0,0.0,288.0,270.0,272.0,-6.0,88029400.0,24571217400.0,5953.0,194.3,272.0,195500.0,270.0,1045900.0,5840126500.0,1040126500.0,1173246500.0,4259500.0,4968700.0,,10000.0,2840000.0,1.0
2022-08-03,272.0,0.0,0.0,276.0,264.0,268.0,-4.0,33729700.0,9105072000.0,2768.0,191.4,270.0,799900.0,268.0,866500.0,5840126500.0,1040126500.0,1173246500.0,1187000.0,1938600.0,,0.0,0.0,0.0
2022-08-04,268.0,0.0,0.0,284.0,268.0,284.0,16.0,68069200.0,18863018600.0,3147.0,202.9,284.0,143300.0,282.0,198900.0,5840126500.0,1040126500.0,1173246500.0,1827700.0,2577100.0,,0.0,0.0,0.0
2022-08-05,284.0,0.0,0.0,322.0,282.0,296.0,12.0,257832800.0,78897584800.0,14386.0,211.4,298.0,87500.0,296.0,200.0,5840126500.0,1040126500.0,1173246500.0,8957900.0,10702600.0,,965000.0,271165000.0,1.0
2022-08-08,296.0,0.0,0.0,300.0,282.0,288.0,-8.0,73866600.0,21520358400.0,4393.0,205.7,288.0,1484000.0,286.0,867600.0,5840126500.0,1040126500.0,1173246500.0,2067800.0,2901200.0,,0.0,0.0,0.0
2022-08-09,288.0,0.0,0.0,300.0,284.0,288.0,0.0,59327900.0,17386689200.0,4127.0,205.7,290.0,897400.0,288.0,90000.0,5840126500.0,1040126500.0,1173246500.0,2798700.0,4152400.0,,0.0,0.0,0.0
