date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,89.0,0.0,0.0,90.0,89.0,89.0,0.0,12100.0,1078700.0,16.0,59.3,89.0,5400.0,88.0,2100.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30T00:00:00,89.0,0.0,0.0,90.0,82.0,88.0,-1.0,33800.0,3007200.0,23.0,58.7,90.0,54200.0,88.0,11900.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31T00:00:00,88.0,0.0,0.0,91.0,89.0,89.0,1.0,108300.0,9740300.0,22.0,59.3,89.0,2000.0,88.0,3500.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01T00:00:00,89.0,0.0,0.0,91.0,89.0,90.0,1.0,11000.0,988000.0,23.0,60.0,90.0,6800.0,89.0,2000.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02T00:00:00,90.0,0.0,0.0,91.0,90.0,91.0,1.0,53600.0,4872200.0,24.0,60.7,91.0,16000.0,90.0,7000.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05T00:00:00,91.0,0.0,0.0,90.0,64.0,89.0,-2.0,92300.0,7941700.0,34.0,59.3,89.0,400.0,88.0,600.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06T00:00:00,89.0,0.0,0.0,90.0,87.0,90.0,1.0,95700.0,8401900.0,46.0,60.0,90.0,77300.0,88.0,2000.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,1100000.0,93500000.0,2.0
2019-08-07T00:00:00,90.0,0.0,0.0,91.0,88.0,90.0,0.0,82400.0,7382300.0,44.0,60.0,90.0,29500.0,89.0,300.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08T00:00:00,90.0,0.0,0.0,90.0,88.0,90.0,0.0,16300.0,1440500.0,11.0,60.0,90.0,10900.0,89.0,2400.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09T00:00:00,90.0,0.0,0.0,91.0,90.0,91.0,1.0,77300.0,6981300.0,13.0,60.7,91.0,9100.0,89.0,1000.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12T00:00:00,91.0,0.0,0.0,91.0,90.0,90.0,-1.0,84000.0,7578100.0,19.0,60.0,90.0,25400.0,89.0,4400.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13T00:00:00,90.0,0.0,0.0,91.0,90.0,90.0,0.0,20700.0,1863200.0,19.0,60.0,91.0,46200.0,90.0,300.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14T00:00:00,90.0,0.0,0.0,91.0,90.0,90.0,0.0,800.0,72100.0,5.0,60.0,90.0,13100.0,89.0,2700.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15T00:00:00,90.0,0.0,0.0,90.0,89.0,90.0,0.0,2000.0,179300.0,9.0,60.0,90.0,29100.0,89.0,20600.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16T00:00:00,90.0,0.0,0.0,90.0,89.0,90.0,0.0,17100.0,1537300.0,16.0,60.0,90.0,23600.0,89.0,8500.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19T00:00:00,90.0,0.0,0.0,91.0,73.0,84.0,-6.0,28800.0,2498800.0,20.0,56.0,85.0,3300.0,84.0,20100.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,2210000.0,187850000.0,2.0
2019-08-20T00:00:00,84.0,0.0,0.0,90.0,87.0,88.0,4.0,28600.0,2527500.0,21.0,58.7,88.0,500.0,87.0,12000.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21T00:00:00,88.0,0.0,0.0,89.0,88.0,89.0,1.0,3200.0,283200.0,8.0,59.3,89.0,1000.0,88.0,100.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22T00:00:00,89.0,0.0,0.0,89.0,85.0,85.0,-4.0,13900.0,1187100.0,11.0,56.7,89.0,500.0,85.0,4400.0,661784520.0,661784520.0,661784520.0,0.0,0.0,,10580000.0,899300000.0,2.0
