date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-03-03,200.0,0.0,0.0,266.0,204.0,230.0,30.0,383268200.0,94614694200.0,47221.0,115.0,238.0,4700.0,230.0,10676400.0,4707100000.0,1175100000.0,706100000.0,1848100.0,10161000.0,,180000.0,36000000.0,3.0
2023-03-06,230.0,0.0,0.0,254.0,220.0,246.0,16.0,145709000.0,35334007000.0,17502.0,123.0,246.0,1554900.0,244.0,339000.0,4707100000.0,1175100000.0,706100000.0,9253400.0,13106200.0,,0.0,0.0,0.0
2023-03-07,246.0,0.0,0.0,252.0,236.0,240.0,-6.0,42581600.0,10425999600.0,6544.0,120.0,240.0,1321300.0,238.0,466900.0,4707100000.0,1175100000.0,706100000.0,121800.0,2668300.0,,0.0,0.0,0.0
2023-03-08,240.0,0.0,0.0,240.0,224.0,230.0,-10.0,33875400.0,7740523200.0,3992.0,115.0,230.0,548900.0,228.0,853100.0,4707100000.0,1175100000.0,706100000.0,229100.0,209200.0,,0.0,0.0,0.0
2023-03-09,230.0,0.0,0.0,258.0,226.0,258.0,28.0,108799700.0,27133809600.0,12710.0,129.0,260.0,1630400.0,258.0,817400.0,4707100000.0,1175100000.0,706100000.0,2738400.0,5941000.0,,5800.0,1426800.0,1.0
2023-03-10,258.0,0.0,0.0,274.0,248.0,252.0,-6.0,111297800.0,29045869600.0,10371.0,126.0,252.0,1297800.0,250.0,285000.0,4707100000.0,1175100000.0,706100000.0,492300.0,1953000.0,,0.0,0.0,0.0
2023-03-13,252.0,0.0,0.0,266.0,244.0,258.0,6.0,25380200.0,6475312800.0,3642.0,129.0,258.0,361000.0,256.0,252800.0,4707100000.0,1175100000.0,706100000.0,434100.0,1324100.0,,0.0,0.0,0.0
2023-03-14,258.0,0.0,0.0,264.0,242.0,246.0,-12.0,20693500.0,5213032800.0,3004.0,123.0,246.0,710500.0,244.0,975600.0,4707100000.0,1175100000.0,706100000.0,197700.0,981000.0,,0.0,0.0,0.0
2023-03-15,246.0,0.0,0.0,272.0,246.0,264.0,18.0,57767800.0,15134877800.0,5601.0,132.0,266.0,1208200.0,264.0,45400.0,4707100000.0,1175100000.0,706100000.0,1155100.0,1036800.0,,0.0,0.0,0.0
2023-03-16,264.0,0.0,0.0,268.0,254.0,262.0,-2.0,23522200.0,6104806000.0,2439.0,131.0,262.0,11800.0,260.0,762200.0,4707100000.0,1175100000.0,706100000.0,968100.0,1474900.0,,0.0,0.0,0.0
2023-03-17,262.0,0.0,0.0,280.0,258.0,268.0,6.0,32216500.0,8709614600.0,3980.0,134.0,270.0,137700.0,268.0,32700.0,4707100000.0,1175100000.0,706100000.0,967900.0,1125300.0,,0.0,0.0,0.0
2023-03-20,268.0,0.0,0.0,270.0,258.0,264.0,-4.0,12371800.0,3257623600.0,1493.0,132.0,266.0,645200.0,264.0,175200.0,4707100000.0,1175100000.0,706100000.0,114900.0,581100.0,,0.0,0.0,0.0
2023-03-21,264.0,0.0,0.0,268.0,252.0,252.0,-12.0,17551400.0,4544539600.0,2072.0,126.0,254.0,110900.0,252.0,126900.0,4707100000.0,1175100000.0,706100000.0,375900.0,55900.0,,0.0,0.0,0.0
2023-03-24,252.0,0.0,0.0,264.0,252.0,254.0,2.0,11465500.0,2948022000.0,1402.0,127.0,256.0,357200.0,254.0,472300.0,4707100000.0,1175100000.0,706100000.0,54000.0,37500.0,,0.0,0.0,0.0
2023-03-27,254.0,0.0,0.0,262.0,252.0,258.0,4.0,8944000.0,2283682200.0,1199.0,129.0,258.0,248800.0,256.0,199100.0,4707100000.0,1175100000.0,706100000.0,347500.0,23200.0,,0.0,0.0,0.0
2023-03-28,258.0,0.0,0.0,260.0,252.0,254.0,-4.0,5856300.0,1490701600.0,722.0,127.0,256.0,117900.0,254.0,219500.0,4707100000.0,1175100000.0,706100000.0,326100.0,5900.0,,0.0,0.0,0.0
2023-03-29,254.0,0.0,0.0,258.0,250.0,254.0,0.0,10254600.0,2592057600.0,833.0,127.0,256.0,405700.0,254.0,40300.0,4707100000.0,1175100000.0,706100000.0,341400.0,0.0,,0.0,0.0,0.0
2023-03-30,254.0,0.0,0.0,258.0,244.0,252.0,-2.0,12609600.0,3167511000.0,1174.0,126.0,254.0,313700.0,252.0,970500.0,4707100000.0,1175100000.0,706100000.0,63600.0,22800.0,,0.0,0.0,0.0
2023-03-31,252.0,0.0,0.0,264.0,250.0,256.0,4.0,10672100.0,2739863600.0,1187.0,128.0,256.0,933700.0,254.0,2500.0,4707100000.0,1175100000.0,706100000.0,13800.0,21500.0,,0.0,0.0,0.0
2023-04-03,256.0,0.0,0.0,262.0,250.0,258.0,2.0,12338100.0,3160325200.0,1101.0,129.0,260.0,1007900.0,258.0,330600.0,4707100000.0,1175100000.0,706065000.0,380500.0,0.0,,0.0,0.0,0.0
2023-04-04,258.0,0.0,0.0,268.0,256.0,258.0,0.0,12926700.0,3382838000.0,1254.0,129.0,260.0,181600.0,258.0,46300.0,4707100000.0,1175100000.0,706065000.0,637700.0,12500.0,,300.0,77400.0,1.0
2023-04-05,258.0,0.0,0.0,262.0,254.0,256.0,-2.0,3871800.0,996346600.0,589.0,128.0,258.0,237100.0,256.0,158000.0,4707100000.0,1175100000.0,706065000.0,172500.0,0.0,,0.0,0.0,0.0
2023-04-06,256.0,0.0,0.0,262.0,254.0,256.0,0.0,4759000.0,1222923400.0,522.0,128.0,258.0,8900.0,256.0,626900.0,4707100000.0,1175100000.0,706065000.0,22600.0,17500.0,,0.0,0.0,0.0
2023-04-10,256.0,0.0,0.0,258.0,252.0,256.0,0.0,3933900.0,997556600.0,481.0,128.0,256.0,363800.0,254.0,1000.0,4707100000.0,1175100000.0,706065000.0,157400.0,0.0,,0.0,0.0,0.0
