date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-03-09,105.0,0.0,0.0,178.0,178.0,178.0,73.0,316500.0,56337000.0,30.0,169.5,0.0,0.0,178.0,9735600.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,5950000.0,624750000.0,4.0
2020-03-10,178.0,0.0,0.0,240.0,163.0,200.0,22.0,197412500.0,41074270700.0,4810.0,190.5,202.0,33100.0,200.0,6800.0,3400000000.0,700000000.0,3400000000.0,116900.0,216900.0,,0.0,0.0,0.0
2020-03-11,200.0,0.0,0.0,226.0,192.0,202.0,2.0,415547500.0,85151159300.0,3485.0,192.4,202.0,17400.0,200.0,55200.0,3400000000.0,700000000.0,3400000000.0,7000.0,110000.0,,0.0,0.0,0.0
2020-03-12,202.0,0.0,0.0,220.0,183.0,208.0,6.0,29808000.0,6224109400.0,2816.0,198.1,208.0,658800.0,206.0,574500.0,3400000000.0,700000000.0,3400000000.0,26000.0,26000.0,,0.0,0.0,0.0
2020-03-13,208.0,0.0,0.0,206.0,194.0,200.0,-8.0,7647400.0,1522892100.0,941.0,190.5,202.0,50000.0,200.0,11900.0,3400000000.0,700000000.0,3400000000.0,203000.0,0.0,,0.0,0.0,0.0
2020-03-16,200.0,0.0,0.0,199.0,186.0,190.0,-10.0,1426000.0,271280900.0,168.0,181.0,190.0,175000.0,188.0,18700.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-17,190.0,0.0,0.0,190.0,177.0,189.0,-1.0,362000.0,64508300.0,53.0,180.0,189.0,116400.0,183.0,200.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-18,189.0,0.0,0.0,185.0,176.0,180.0,-9.0,692500.0,124881300.0,100.0,171.4,180.0,30000.0,178.0,200.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-19,180.0,0.0,0.0,210.0,168.0,197.0,17.0,20465400.0,4015667300.0,2735.0,187.6,197.0,60200.0,196.0,105800.0,3400000000.0,700000000.0,3400000000.0,70000.0,70000.0,,0.0,0.0,0.0
2020-03-20,197.0,0.0,0.0,204.0,184.0,200.0,3.0,15140200.0,2993650400.0,1429.0,190.5,200.0,114200.0,199.0,11200.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-23,200.0,0.0,0.0,202.0,193.0,193.0,-7.0,2931200.0,587016300.0,274.0,183.8,194.0,90000.0,193.0,500.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-24,193.0,0.0,0.0,197.0,191.0,193.0,0.0,1164800.0,226433200.0,122.0,183.8,193.0,27300.0,192.0,10000.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-26,193.0,0.0,0.0,220.0,191.0,210.0,17.0,16021700.0,3387788600.0,915.0,200.0,210.0,119200.0,208.0,10000.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-27,210.0,0.0,0.0,260.0,208.0,248.0,38.0,29247700.0,6997770800.0,1246.0,236.2,248.0,154900.0,246.0,150100.0,3400000000.0,700000000.0,3400000000.0,0.0,1000.0,,0.0,0.0,0.0
2020-03-30,248.0,0.0,0.0,262.0,240.0,242.0,-6.0,9985900.0,2498036000.0,1084.0,230.5,242.0,2800.0,240.0,176500.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-31,242.0,0.0,0.0,262.0,234.0,238.0,-4.0,6605400.0,1660690600.0,536.0,226.7,242.0,49600.0,238.0,35900.0,3400000000.0,700000000.0,3400000000.0,1000.0,0.0,,0.0,0.0,0.0
2020-04-01,238.0,0.0,0.0,244.0,228.0,228.0,-10.0,1763600.0,424642000.0,179.0,217.1,228.0,6900.0,226.0,122200.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-02,228.0,0.0,0.0,234.0,224.0,226.0,-2.0,4638400.0,1064661000.0,237.0,215.2,230.0,6800.0,226.0,46900.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-03,226.0,0.0,0.0,268.0,224.0,268.0,42.0,22794500.0,5670783600.0,1199.0,255.2,270.0,82100.0,268.0,12600.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-06,268.0,0.0,0.0,300.0,250.0,268.0,0.0,43612400.0,12245028800.0,1730.0,255.2,268.0,71900.0,266.0,13300.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-07,268.0,0.0,0.0,282.0,250.0,250.0,-18.0,21595000.0,5488496600.0,763.0,238.1,250.0,114400.0,0.0,0.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-08,250.0,0.0,0.0,248.0,234.0,240.0,-10.0,2105300.0,512607400.0,237.0,228.6,244.0,3900.0,238.0,10000.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-09,240.0,0.0,0.0,254.0,238.0,242.0,2.0,5980300.0,1478972800.0,463.0,230.5,250.0,15600.0,240.0,16800.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-13,242.0,0.0,0.0,252.0,238.0,238.0,-4.0,2618000.0,644539200.0,253.0,226.7,242.0,30200.0,238.0,128800.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-14,238.0,0.0,0.0,240.0,232.0,240.0,2.0,1347700.0,322343200.0,114.0,228.6,242.0,30600.0,240.0,28600.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-15,240.0,0.0,0.0,254.0,230.0,250.0,10.0,16053600.0,3971105000.0,545.0,238.1,250.0,13500.0,248.0,23100.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-16,250.0,0.0,0.0,250.0,240.0,248.0,-2.0,9295300.0,2306147200.0,125.0,236.2,250.0,67700.0,240.0,24700.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-17,248.0,0.0,0.0,252.0,234.0,246.0,-2.0,10546600.0,2597688600.0,166.0,234.3,248.0,6300.0,246.0,400.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-20,246.0,0.0,0.0,246.0,230.0,240.0,-6.0,11067200.0,2653756000.0,216.0,228.6,240.0,12800.0,238.0,500.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-21,240.0,0.0,0.0,244.0,224.0,236.0,-4.0,16183100.0,3779360000.0,372.0,224.8,238.0,190300.0,236.0,94500.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-22,236.0,0.0,0.0,240.0,226.0,240.0,4.0,15017400.0,3584470800.0,169.0,228.6,240.0,5700.0,238.0,12700.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-23,240.0,0.0,0.0,244.0,230.0,230.0,-10.0,13479900.0,3162516400.0,167.0,219.0,230.0,73300.0,228.0,50300.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-24,230.0,0.0,0.0,244.0,214.0,236.0,6.0,27441200.0,6457806200.0,398.0,224.8,240.0,51000.0,236.0,1000.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,68000000.0,15640000000.0,2.0
2020-04-27,236.0,0.0,0.0,238.0,224.0,232.0,-4.0,52686300.0,12337853000.0,668.0,221.0,232.0,1000.0,230.0,225600.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,100000000.0,23000000000.0,2.0
2020-04-28,232.0,0.0,0.0,236.0,218.0,228.0,-4.0,10378600.0,2316695000.0,438.0,217.1,228.0,100500.0,226.0,196600.0,3400000000.0,700000000.0,3400000000.0,0.0,2900.0,,0.0,0.0,0.0
2020-04-29,228.0,0.0,0.0,240.0,226.0,240.0,12.0,7960500.0,1866361400.0,490.0,228.6,240.0,475900.0,232.0,187400.0,3400000000.0,700000000.0,3400000000.0,8000.0,20100.0,,169000000.0,38870000000.0,3.0
2020-04-30,240.0,0.0,0.0,244.0,230.0,244.0,4.0,6952100.0,1646182600.0,302.0,232.4,244.0,160500.0,242.0,166400.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-05-04,244.0,0.0,0.0,256.0,238.0,248.0,4.0,10668700.0,2634627200.0,532.0,236.2,248.0,33500.0,246.0,133200.0,3400000000.0,700000000.0,3400000000.0,0.0,22300.0,,0.0,0.0,0.0
2020-05-05,248.0,0.0,0.0,260.0,246.0,254.0,6.0,7336700.0,1870036800.0,484.0,241.9,254.0,249300.0,252.0,241600.0,3400000000.0,700000000.0,3400000000.0,63800.0,26500.0,,0.0,0.0,0.0
2020-05-06,254.0,0.0,0.0,256.0,242.0,246.0,-8.0,2369700.0,591647400.0,150.0,234.3,246.0,9500.0,244.0,100.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-05-08,246.0,0.0,0.0,260.0,238.0,252.0,6.0,7671000.0,1925641400.0,428.0,240.0,252.0,219500.0,250.0,139800.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
2020-05-11,252.0,0.0,0.0,254.0,246.0,246.0,-6.0,1504000.0,373287400.0,98.0,234.3,248.0,62800.0,246.0,124500.0,3400000000.0,700000000.0,3400000000.0,0.0,0.0,,0.0,0.0,0.0
