date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,202.0,0.0,0.0,214.0,196.0,212.0,10.0,4000.0,801800.0,8.0,21.2,212.0,1700.0,198.0,1900.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30T00:00:00,212.0,0.0,0.0,210.0,210.0,210.0,-2.0,2600.0,546000.0,10.0,21.0,210.0,200.0,202.0,5000.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31T00:00:00,210.0,0.0,0.0,216.0,210.0,216.0,6.0,800.0,172000.0,4.0,21.6,216.0,14600.0,210.0,19900.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01T00:00:00,216.0,0.0,0.0,214.0,202.0,214.0,-2.0,2900.0,592400.0,6.0,21.4,214.0,1900.0,210.0,800.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02T00:00:00,214.0,0.0,0.0,216.0,200.0,206.0,-8.0,5000.0,1053000.0,9.0,20.6,214.0,1100.0,206.0,1000.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05T00:00:00,206.0,0.0,0.0,216.0,212.0,216.0,10.0,3500.0,754000.0,5.0,21.6,214.0,100.0,200.0,2900.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06T00:00:00,216.0,0.0,0.0,214.0,200.0,214.0,-2.0,500.0,105000.0,4.0,21.4,214.0,1600.0,206.0,100.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07T00:00:00,214.0,0.0,0.0,234.0,214.0,214.0,0.0,102200.0,22139000.0,13.0,21.4,224.0,20000.0,214.0,69700.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08T00:00:00,214.0,0.0,0.0,222.0,214.0,216.0,2.0,71200.0,15239600.0,6.0,21.6,220.0,500.0,214.0,30100.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09T00:00:00,216.0,0.0,0.0,214.0,214.0,214.0,-2.0,85100.0,18211400.0,2.0,21.4,216.0,100.0,214.0,14900.0,592280000.0,592280000.0,592280000.0,0.0,0.0,,0.0,0.0,0.0
