date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-03-21,170.0,0.0,0.0,228.0,200.0,228.0,58.0,86838500.0,19501240200.0,9022.0,134.1,0.0,0.0,228.0,64836300.0,1293334000.0,323334000.0,711334000.0,357300.0,100000.0,,100000.0,17000000.0,1.0
2022-03-22,228.0,0.0,0.0,284.0,256.0,284.0,56.0,233346600.0,64158435200.0,30581.0,167.1,0.0,0.0,284.0,59788900.0,1293334000.0,323334000.0,711334000.0,2881100.0,2753800.0,,0.0,0.0,0.0
2022-03-23,284.0,0.0,0.0,324.0,266.0,266.0,-18.0,130312400.0,35608519200.0,13600.0,156.5,266.0,2435500.0,0.0,0.0,1293334000.0,323334000.0,711334000.0,591000.0,672500.0,,0.0,0.0,0.0
2022-03-24,266.0,0.0,0.0,258.0,248.0,248.0,-18.0,13404900.0,3327138000.0,1869.0,145.9,248.0,9835800.0,0.0,0.0,1293334000.0,323334000.0,711334000.0,0.0,0.0,,0.0,0.0,0.0
2022-03-25,248.0,0.0,0.0,250.0,232.0,234.0,-14.0,72432300.0,17341807000.0,7360.0,137.6,234.0,1066200.0,232.0,1478000.0,1293334000.0,323334000.0,711334000.0,215900.0,0.0,,0.0,0.0,0.0
2022-03-28,234.0,0.0,0.0,238.0,222.0,228.0,-6.0,21721400.0,5020860400.0,3341.0,134.1,230.0,573600.0,228.0,9800.0,1293334000.0,323334000.0,711334000.0,2000.0,0.0,,0.0,0.0,0.0
2022-03-29,228.0,0.0,0.0,232.0,214.0,214.0,-14.0,21561200.0,4745850000.0,2487.0,125.9,214.0,10422700.0,0.0,0.0,1293334000.0,323334000.0,711334000.0,0.0,22100.0,,0.0,0.0,0.0
2022-03-30,214.0,0.0,0.0,216.0,200.0,202.0,-12.0,27333600.0,5581600400.0,3474.0,118.8,204.0,1043800.0,202.0,588200.0,1293334000.0,323334000.0,711334000.0,22100.0,0.0,,0.0,0.0,0.0
2022-03-31,202.0,0.0,0.0,208.0,190.0,198.0,-4.0,26740900.0,5207480600.0,2921.0,116.5,198.0,1100.0,197.0,54700.0,1293334000.0,323334000.0,711334000.0,20000.0,20000.0,,0.0,0.0,0.0
2022-04-01,198.0,0.0,0.0,206.0,189.0,206.0,8.0,31987300.0,6298373700.0,2884.0,121.2,206.0,515600.0,204.0,71700.0,1293334000.0,323334000.0,323333500.0,0.0,0.0,,0.0,0.0,0.0
2022-04-04,206.0,0.0,0.0,208.0,197.0,197.0,-9.0,10561900.0,2100452900.0,1417.0,115.9,198.0,56500.0,197.0,4900.0,1293334000.0,323334000.0,323333500.0,0.0,0.0,,0.0,0.0,0.0
2022-04-05,197.0,0.0,0.0,206.0,192.0,200.0,3.0,16313200.0,3224281600.0,2283.0,117.6,202.0,126300.0,200.0,1010700.0,1293334000.0,323334000.0,323333500.0,1112500.0,1616400.0,,0.0,0.0,0.0
2022-04-06,200.0,0.0,0.0,202.0,196.0,196.0,-4.0,22723100.0,4510285500.0,1742.0,115.3,197.0,1500.0,196.0,1010000.0,1293334000.0,323334000.0,323333500.0,979200.0,549900.0,,0.0,0.0,0.0
2022-04-07,196.0,0.0,0.0,199.0,183.0,184.0,-12.0,31942800.0,5906548300.0,2225.0,108.2,185.0,135200.0,184.0,11000.0,1293334000.0,323334000.0,323333500.0,338200.0,349200.0,,500000.0,97500000.0,1.0
2022-04-08,184.0,0.0,0.0,185.0,175.0,176.0,-8.0,24786700.0,4396592500.0,1877.0,103.5,177.0,1200.0,176.0,607400.0,1293334000.0,323334000.0,323333500.0,1170400.0,1111400.0,,0.0,0.0,0.0
2022-04-11,176.0,0.0,0.0,182.0,175.0,177.0,1.0,25871500.0,4592509600.0,2926.0,104.1,178.0,18100.0,177.0,102400.0,1293334000.0,323334000.0,323333500.0,1180200.0,1833100.0,,0.0,0.0,0.0
2022-04-12,177.0,0.0,0.0,182.0,176.0,180.0,3.0,23114900.0,4139406900.0,1481.0,105.9,181.0,352500.0,180.0,886600.0,1293334000.0,323334000.0,323333500.0,229100.0,2213400.0,,0.0,0.0,0.0
2022-04-13,180.0,0.0,0.0,184.0,175.0,181.0,1.0,14499300.0,2616875100.0,1172.0,106.5,182.0,54800.0,181.0,30700.0,1293334000.0,323334000.0,323333500.0,439400.0,1242700.0,,0.0,0.0,0.0
2022-04-14,181.0,0.0,0.0,195.0,181.0,190.0,9.0,18134400.0,3391824800.0,1653.0,111.8,191.0,147400.0,190.0,3802300.0,1293334000.0,323334000.0,323333500.0,1347200.0,1235800.0,,0.0,0.0,0.0
2022-04-18,190.0,0.0,0.0,194.0,177.0,178.0,-12.0,8886300.0,1611961500.0,1094.0,104.7,179.0,36500.0,178.0,19600.0,1293334000.0,323334000.0,323333500.0,1865500.0,0.0,,0.0,0.0,0.0
2022-04-19,178.0,0.0,0.0,178.0,166.0,166.0,-12.0,12347600.0,2060931600.0,703.0,97.6,166.0,8294300.0,0.0,0.0,1293334000.0,323334000.0,323333500.0,5300.0,232100.0,,0.0,0.0,0.0
2022-04-20,166.0,0.0,0.0,175.0,155.0,172.0,6.0,27510600.0,4501377600.0,2371.0,101.2,174.0,47500.0,172.0,65400.0,1293334000.0,323334000.0,323333500.0,1964800.0,595900.0,,0.0,0.0,0.0
2022-04-21,172.0,0.0,0.0,191.0,168.0,176.0,4.0,42672400.0,7810011300.0,3208.0,103.5,179.0,90200.0,176.0,3500.0,1293334000.0,323334000.0,323333500.0,2574700.0,2260200.0,,0.0,0.0,0.0
2022-04-22,176.0,0.0,0.0,199.0,176.0,199.0,23.0,35010900.0,6719753900.0,2350.0,117.1,200.0,732700.0,199.0,3001200.0,1293334000.0,323334000.0,323333500.0,423300.0,5176900.0,,500.0,90000.0,1.0
