date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,300.0,0.0,0.0,300.0,300.0,300.0,0.0,100.0,30000.0,1.0,93.8,304.0,33300.0,300.0,1000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,300.0,0.0,0.0,304.0,302.0,304.0,4.0,1100.0,334200.0,2.0,95.0,302.0,1000.0,300.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,304.0,0.0,0.0,300.0,300.0,300.0,-4.0,1100.0,330000.0,3.0,93.8,300.0,1100.0,298.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,300.0,0.0,0.0,300.0,300.0,300.0,0.0,2400.0,720000.0,4.0,93.8,304.0,28000.0,300.0,7900.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,300.0,0.0,0.0,304.0,302.0,304.0,4.0,12100.0,3672400.0,8.0,95.0,304.0,32000.0,300.0,300.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,304.0,0.0,0.0,304.0,304.0,304.0,0.0,100.0,30400.0,1.0,95.0,304.0,61900.0,300.0,1100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,304.0,0.0,0.0,304.0,290.0,290.0,-14.0,5100.0,1484800.0,13.0,90.6,290.0,400.0,282.0,3500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,290.0,0.0,0.0,300.0,280.0,300.0,10.0,1400.0,405600.0,5.0,93.8,300.0,32600.0,282.0,600.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,300.0,0.0,0.0,300.0,300.0,300.0,0.0,100.0,30000.0,1.0,93.8,300.0,10500.0,288.0,200.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,1000.0,294.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,300.0,0.0,0.0,300.0,300.0,300.0,0.0,300.0,90000.0,1.0,93.8,300.0,200.0,294.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,300.0,0.0,0.0,300.0,300.0,300.0,0.0,2200.0,660000.0,3.0,93.8,300.0,1000.0,290.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,20000.0,290.0,300.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,17500.0,284.0,200.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,30000.0,282.0,5000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,300.0,0.0,0.0,300.0,300.0,300.0,0.0,1100.0,330000.0,2.0,93.8,300.0,32600.0,284.0,500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,300.0,0.0,0.0,300.0,300.0,300.0,0.0,200.0,60000.0,1.0,93.8,300.0,31900.0,290.0,5100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,300.0,0.0,0.0,300.0,300.0,300.0,0.0,500.0,150000.0,1.0,93.8,300.0,30000.0,290.0,5000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,42400.0,290.0,2500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,30600.0,284.0,500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,30500.0,290.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,300.0,0.0,0.0,300.0,300.0,300.0,0.0,200.0,60000.0,1.0,93.8,300.0,31300.0,286.0,1000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,62600.0,280.0,3400.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,63100.0,290.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30,300.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,93.8,300.0,62600.0,290.0,200.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,300.0,0.0,0.0,300.0,300.0,300.0,0.0,900.0,270000.0,2.0,93.8,300.0,62700.0,284.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,300.0,0.0,0.0,300.0,280.0,298.0,-2.0,2900.0,828400.0,4.0,93.1,298.0,200.0,286.0,2900.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,298.0,0.0,0.0,298.0,298.0,298.0,0.0,200.0,59600.0,1.0,93.1,298.0,25700.0,288.0,500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05,298.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,93.1,296.0,10000.0,290.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-06,298.0,0.0,0.0,298.0,298.0,298.0,0.0,200.0,59600.0,2.0,93.1,298.0,10300.0,284.0,300.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-09,298.0,0.0,0.0,298.0,298.0,298.0,0.0,100.0,29800.0,1.0,93.1,298.0,9900.0,284.0,300.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-10,298.0,0.0,0.0,300.0,288.0,288.0,-10.0,1900.0,558800.0,5.0,90.0,296.0,200.0,288.0,6600.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-11,288.0,0.0,0.0,298.0,288.0,288.0,0.0,900.0,261600.0,4.0,90.0,296.0,200.0,288.0,1400.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-12,288.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,90.0,298.0,10000.0,284.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13,288.0,0.0,0.0,284.0,284.0,284.0,-4.0,100.0,28400.0,1.0,88.8,288.0,500.0,284.0,8000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-16,284.0,0.0,0.0,284.0,284.0,284.0,0.0,100.0,28400.0,1.0,88.8,284.0,400.0,280.0,2500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-17,284.0,0.0,0.0,284.0,278.0,280.0,-4.0,500.0,140400.0,5.0,87.5,294.0,100.0,280.0,400.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-18,280.0,0.0,0.0,284.0,282.0,282.0,2.0,5000.0,1410600.0,2.0,88.1,284.0,400.0,282.0,1600.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-19,282.0,0.0,0.0,282.0,282.0,282.0,0.0,11000.0,3102000.0,1.0,88.1,286.0,1100.0,280.0,1500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-20,282.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,88.1,286.0,10000.0,280.0,5000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-23,282.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,88.1,282.0,200.0,280.0,4000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,500000.0,106000000.0,1.0
2019-09-24,282.0,0.0,0.0,282.0,282.0,282.0,0.0,14300.0,4032600.0,8.0,88.1,282.0,5700.0,280.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-25,282.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,88.1,284.0,10000.0,264.0,1000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-26,282.0,0.0,0.0,282.0,282.0,282.0,0.0,100.0,28200.0,1.0,88.1,282.0,21100.0,272.0,300.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-27,282.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,88.1,282.0,11300.0,274.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-09-30,282.0,0.0,0.0,282.0,282.0,282.0,0.0,400.0,112800.0,1.0,88.1,282.0,10300.0,260.0,1000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-01,282.0,0.0,0.0,274.0,274.0,274.0,-8.0,100.0,27400.0,1.0,85.6,280.0,100.0,272.0,300.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,4600.0,1380000.0,1.0
2019-10-02,274.0,0.0,0.0,274.0,274.0,274.0,0.0,200.0,54800.0,1.0,85.6,274.0,10300.0,272.0,5000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-03,274.0,0.0,0.0,274.0,262.0,262.0,-12.0,10600.0,2880000.0,6.0,81.9,280.0,100.0,262.0,2500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-04,262.0,0.0,0.0,264.0,264.0,264.0,2.0,600.0,158400.0,3.0,82.5,270.0,84000.0,264.0,2000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,4600.0,1242000.0,1.0
2019-10-07,264.0,0.0,0.0,264.0,264.0,264.0,0.0,100.0,26400.0,1.0,82.5,264.0,30700.0,262.0,300.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-08,264.0,0.0,0.0,262.0,262.0,262.0,-2.0,2600.0,681200.0,5.0,81.9,262.0,83800.0,260.0,7300.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-09,262.0,0.0,0.0,260.0,244.0,244.0,-18.0,7400.0,1916000.0,5.0,76.3,260.0,77300.0,244.0,32400.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-10,244.0,0.0,0.0,246.0,240.0,244.0,0.0,5600.0,1365800.0,6.0,76.3,244.0,25400.0,240.0,4400.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-11,244.0,0.0,0.0,242.0,240.0,240.0,-4.0,8200.0,1970200.0,8.0,75.0,240.0,46000.0,238.0,100.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-14,240.0,0.0,0.0,294.0,238.0,292.0,52.0,68800.0,16727400.0,19.0,91.3,292.0,71000.0,246.0,500.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-15,292.0,0.0,0.0,300.0,246.0,294.0,2.0,21300.0,6239000.0,23.0,91.9,294.0,64400.0,262.0,1000.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-16,294.0,0.0,0.0,292.0,274.0,286.0,-8.0,3700.0,1064800.0,10.0,89.4,284.0,10500.0,258.0,400.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
2019-10-17,286.0,0.0,0.0,290.0,274.0,278.0,-8.0,1500.0,420200.0,9.0,86.9,276.0,100.0,274.0,200.0,4399026922.0,4399026922.0,4399026922.0,0.0,0.0,,0.0,0.0,0.0
