date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-06-23T00:00:00,90.0,0.0,0.0,118.0,91.0,105.0,15.0,5467444200.0,585362026900.0,65536.0,17.7,105.0,64513300.0,104.0,10870300.0,93907762380.0,93907762380.0,93907762380.0,258870800.0,67278100.0,,1200051.0,117000765.0,3.0
2021-06-24T00:00:00,105.0,0.0,0.0,111.0,101.0,105.0,0.0,2055613600.0,217626609600.0,28286.0,17.7,105.0,29709500.0,104.0,16672400.0,93907762380.0,93907762380.0,93907762380.0,35752400.0,27280700.0,,4400000.0,488400000.0,1.0
2021-06-25T00:00:00,105.0,0.0,0.0,114.0,106.0,107.0,2.0,1583663800.0,173586431500.0,23964.0,18.0,108.0,8424900.0,107.0,14494400.0,93907762380.0,93907762380.0,93907762380.0,94714100.0,35423100.0,,58962000.0,6249972000.0,2.0
2021-06-28T00:00:00,107.0,0.0,0.0,111.0,101.0,102.0,-5.0,1225150900.0,128204016000.0,16146.0,17.2,102.0,26153000.0,101.0,114314300.0,93907762380.0,93907762380.0,93907762380.0,54697400.0,44625000.0,,0.0,0.0,0.0
2021-06-29T00:00:00,102.0,0.0,0.0,124.0,100.0,121.0,19.0,3684017000.0,415887294700.0,41336.0,20.4,121.0,61974400.0,120.0,38730100.0,93907762380.0,93907762380.0,93907762380.0,161535900.0,127556700.0,,83823500.0,8499997000.0,2.0
2021-06-30T00:00:00,121.0,0.0,0.0,132.0,115.0,119.0,-2.0,5417672800.0,666922129800.0,71198.0,20.0,120.0,15431800.0,119.0,1087300.0,93907762380.0,93907762380.0,93907762380.0,133322800.0,185746000.0,,0.0,0.0,0.0
2021-07-01T00:00:00,119.0,0.0,0.0,124.0,111.0,111.0,-8.0,2173444100.0,252115941600.0,37307.0,18.7,111.0,47786000.0,0.0,0.0,93907762380.0,93907762380.0,93907762380.0,144773900.0,30893200.0,,10.0,10.0,1.0
2021-07-02T00:00:00,111.0,0.0,0.0,113.0,104.0,105.0,-6.0,2038797900.0,218940173800.0,30495.0,17.7,106.0,22400500.0,105.0,22252400.0,93907762380.0,93907762380.0,93907762380.0,114261000.0,76052500.0,,0.0,0.0,0.0
2021-07-05T00:00:00,105.0,0.0,0.0,110.0,104.0,107.0,2.0,1317206900.0,141373798300.0,21449.0,18.0,108.0,16361700.0,107.0,64974100.0,93907762380.0,93907762380.0,93907762380.0,36168800.0,35029700.0,,0.0,0.0,0.0
2021-07-06T00:00:00,107.0,0.0,0.0,114.0,107.0,110.0,3.0,1022692300.0,112953740300.0,17628.0,18.5,111.0,15482800.0,110.0,7994800.0,93907762380.0,93907762380.0,93907762380.0,33793200.0,43150400.0,,0.0,0.0,0.0
2021-07-07T00:00:00,110.0,0.0,0.0,112.0,105.0,107.0,-3.0,556710200.0,60162592600.0,10009.0,18.0,108.0,4631000.0,107.0,953400.0,93907762380.0,93907762380.0,93907762380.0,10772700.0,23993200.0,,422750000.0,46502500000.0,1.0
2021-07-08T00:00:00,107.0,0.0,0.0,111.0,106.0,108.0,1.0,617017100.0,66853551900.0,8931.0,18.2,108.0,11044400.0,107.0,123108300.0,93907762380.0,93907762380.0,93907762380.0,27132700.0,45203400.0,,0.0,0.0,0.0
2021-07-09T00:00:00,108.0,0.0,0.0,112.0,105.0,106.0,-2.0,677387500.0,73579316200.0,10828.0,17.8,107.0,6965400.0,106.0,18238600.0,93907762380.0,93907762380.0,93907762380.0,15289000.0,50973000.0,,0.0,0.0,0.0
