date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,3690.0,3710.0,3710.0,3730.0,3600.0,3610.0,-80.0,19107100.0,69578833000.0,3196.0,282.7,3610.0,90800.0,3600.0,532700.0,17801438250.0,17801438250.0,17801438250.0,2438600.0,2510600.0,,0.0,0.0,0.0
2019-07-30,3610.0,3600.0,3600.0,3680.0,3580.0,3600.0,-10.0,14619800.0,53184870000.0,2688.0,281.9,3600.0,210600.0,3590.0,47100.0,17801438250.0,17801438250.0,17801438250.0,1975300.0,1431000.0,,3018.0,11014980.0,2.0
2019-07-31,3600.0,3610.0,3620.0,3910.0,3610.0,3880.0,280.0,34588800.0,130930321000.0,7911.0,303.9,3890.0,133700.0,3880.0,16800.0,17801438250.0,17801438250.0,17801438250.0,2817500.0,15392200.0,,330235.0,1199888580.0,13.0
2019-08-01,3880.0,3880.0,3890.0,3940.0,3800.0,3850.0,-30.0,15790700.0,61512655000.0,5076.0,301.5,3860.0,193500.0,3850.0,104600.0,17801438250.0,17801438250.0,17801438250.0,2701000.0,3555600.0,,527.0,2056755.0,4.0
2019-08-02,3850.0,3850.0,3840.0,3890.0,3710.0,3770.0,-80.0,25530900.0,96660860000.0,5795.0,295.2,3780.0,693300.0,3770.0,190900.0,17801438250.0,17801438250.0,17801438250.0,7320200.0,1410500.0,,2166602.0,8209895240.0,8.0
2019-08-05,3770.0,3770.0,3770.0,3820.0,3630.0,3670.0,-100.0,16985400.0,62863834000.0,5631.0,287.4,3670.0,314600.0,3660.0,143300.0,17801438250.0,17801438250.0,17801438250.0,4307100.0,2408300.0,,118.0,436260.0,2.0
2019-08-06,735.0,720.0,720.0,730.0,670.0,720.0,-15.0,67734800.0,47969545500.0,6096.0,281.5,720.0,372800.0,715.0,1822000.0,89007215175.0,89007215175.0,89007215175.0,8956300.0,12495100.0,,95.0,68400.0,1.0
2019-08-07,720.0,730.0,730.0,740.0,710.0,720.0,0.0,88496300.0,64334245000.0,5299.0,281.5,720.0,579500.0,715.0,219700.0,89007215175.0,89007215175.0,89007215175.0,10157100.0,22959600.0,,306500.0,223657000.0,2.0
2019-08-08,720.0,725.0,725.0,770.0,720.0,765.0,45.0,70073500.0,52450037000.0,4763.0,299.1,770.0,1529400.0,765.0,1131800.0,89007215175.0,89007215175.0,89007215175.0,6015400.0,15176100.0,,217680.0,647542600.0,3.0
2019-08-09,765.0,765.0,765.0,815.0,765.0,785.0,20.0,90582200.0,72018073500.0,9476.0,307.0,790.0,445800.0,785.0,12700.0,89007215175.0,89007215175.0,89007215175.0,11926700.0,17106700.0,,24.0,18840.0,1.0
2019-08-12,785.0,785.0,785.0,805.0,765.0,765.0,-20.0,56160900.0,44060461500.0,5122.0,299.1,765.0,166600.0,760.0,2027600.0,89008720645.0,89008720645.0,89008720645.0,6140300.0,4417100.0,,4865611.0,3651178855.0,4.0
