date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1695.0,0.0,0.0,1725.0,1695.0,1725.0,30.0,16300.0,27929000.0,14.0,292.4,1725.0,400.0,1685.0,500.0,2640452000.0,2640452000.0,2640452000.0,1200.0,0.0,,0.0,0.0,0.0
2019-07-30,1725.0,0.0,0.0,1800.0,1700.0,1770.0,45.0,33900.0,58525000.0,28.0,300.0,1770.0,500.0,1690.0,3000.0,2640452000.0,2640452000.0,2640452000.0,500.0,500.0,,0.0,0.0,0.0
2019-07-31,1770.0,0.0,0.0,1750.0,1700.0,1700.0,-70.0,15800.0,26885000.0,13.0,288.1,1730.0,2000.0,1655.0,1300.0,2640452000.0,2640452000.0,2640452000.0,100.0,1000.0,,0.0,0.0,0.0
2019-08-01,1700.0,0.0,0.0,1715.0,1710.0,1715.0,15.0,1200.0,2056000.0,4.0,290.7,1710.0,4000.0,1700.0,900.0,2640452000.0,2640452000.0,2640452000.0,900.0,0.0,,0.0,0.0,0.0
2019-08-02,1715.0,0.0,0.0,1700.0,1695.0,1695.0,-20.0,4200.0,7120000.0,2.0,287.3,1695.0,3500.0,1475.0,200.0,2640452000.0,2640452000.0,2640452000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,1695.0,0.0,0.0,1695.0,1650.0,1650.0,-45.0,4000.0,6690000.0,3.0,279.7,1695.0,4000.0,1620.0,100.0,2640452000.0,2640452000.0,2640452000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,1650.0,0.0,0.0,1650.0,1645.0,1645.0,-5.0,5200.0,8555000.0,4.0,278.8,1645.0,2500.0,1590.0,1100.0,2640452000.0,2640452000.0,2640452000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,1645.0,0.0,0.0,1645.0,1645.0,1645.0,0.0,100.0,164500.0,1.0,278.8,1645.0,3300.0,1600.0,300.0,2640452000.0,2640452000.0,2640452000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,1645.0,0.0,0.0,1765.0,1765.0,1765.0,120.0,100.0,176500.0,1.0,299.2,1645.0,3000.0,1620.0,100.0,2640452000.0,2640452000.0,2640452000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,1765.0,0.0,0.0,1755.0,1695.0,1695.0,-70.0,2500.0,4280000.0,7.0,287.3,1695.0,400.0,1690.0,200.0,2640452000.0,2640452000.0,2640452000.0,600.0,1000.0,,0.0,0.0,0.0
