date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,146.0,0.0,0.0,163.0,142.0,163.0,17.0,9000.0,1293100.0,11.0,81.5,157.0,300.0,143.0,1100.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30T00:00:00,163.0,0.0,0.0,173.0,158.0,158.0,-5.0,5800.0,941200.0,11.0,79.0,156.0,900.0,146.0,200.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31T00:00:00,158.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,79.0,155.0,100.0,144.0,300.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01T00:00:00,158.0,0.0,0.0,152.0,141.0,143.0,-15.0,6400.0,913100.0,6.0,71.5,170.0,400.0,143.0,1000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02T00:00:00,143.0,0.0,0.0,151.0,143.0,143.0,0.0,2200.0,330600.0,4.0,71.5,151.0,400.0,143.0,100.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05T00:00:00,143.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,71.5,159.0,400.0,141.0,2500.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06T00:00:00,143.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,71.5,160.0,400.0,141.0,3000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07T00:00:00,143.0,0.0,0.0,160.0,151.0,155.0,12.0,6400.0,987200.0,7.0,77.5,151.0,100.0,141.0,10000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08T00:00:00,155.0,0.0,0.0,163.0,163.0,163.0,8.0,100.0,16300.0,1.0,81.5,147.0,100.0,131.0,5100.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09T00:00:00,163.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,81.5,153.0,100.0,143.0,100.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12T00:00:00,163.0,0.0,0.0,220.0,147.0,220.0,57.0,103500.0,18436300.0,92.0,110.0,0.0,0.0,220.0,290200.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13T00:00:00,220.0,0.0,0.0,272.0,226.0,232.0,12.0,248100.0,59488600.0,148.0,116.0,242.0,500.0,232.0,300.0,833440000.0,833440000.0,833440000.0,5700.0,5700.0,,0.0,0.0,0.0
2019-08-14T00:00:00,232.0,0.0,0.0,220.0,210.0,220.0,-12.0,7700.0,1635000.0,8.0,110.0,220.0,1600.0,212.0,500.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15T00:00:00,220.0,0.0,0.0,200.0,200.0,200.0,-20.0,1100.0,220000.0,4.0,100.0,200.0,6100.0,190.0,900.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16T00:00:00,200.0,0.0,0.0,210.0,210.0,210.0,10.0,11700.0,2457000.0,9.0,105.0,220.0,8000.0,136.0,5500.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19T00:00:00,210.0,0.0,0.0,210.0,170.0,188.0,-22.0,2300.0,431600.0,5.0,94.0,200.0,1000.0,188.0,2600.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20T00:00:00,188.0,0.0,0.0,186.0,160.0,186.0,-2.0,6500.0,1101500.0,9.0,93.0,186.0,3500.0,185.0,100.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21T00:00:00,186.0,0.0,0.0,248.0,170.0,193.0,7.0,13400.0,2885700.0,17.0,96.5,192.0,1200.0,175.0,600.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22T00:00:00,193.0,0.0,0.0,250.0,186.0,190.0,-3.0,24700.0,5012800.0,24.0,95.0,208.0,1900.0,186.0,200.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23T00:00:00,190.0,0.0,0.0,190.0,127.0,161.0,-29.0,1600.0,293300.0,6.0,80.5,191.0,100.0,165.0,200.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26T00:00:00,161.0,0.0,0.0,186.0,160.0,180.0,19.0,10400.0,1690100.0,10.0,90.0,179.0,8200.0,178.0,100.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27T00:00:00,180.0,0.0,0.0,240.0,170.0,185.0,5.0,17600.0,3351300.0,28.0,92.5,180.0,4300.0,171.0,7200.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28T00:00:00,185.0,0.0,0.0,210.0,184.0,197.0,12.0,2200.0,441800.0,9.0,98.5,189.0,2500.0,164.0,2600.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29T00:00:00,197.0,0.0,0.0,188.0,188.0,188.0,-9.0,300.0,56400.0,1.0,94.0,186.0,2800.0,162.0,10000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30T00:00:00,188.0,0.0,0.0,188.0,161.0,161.0,-27.0,22100.0,3613700.0,7.0,80.5,187.0,2400.0,161.0,2600.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02T00:00:00,161.0,0.0,0.0,216.0,160.0,197.0,36.0,20100.0,3841500.0,16.0,98.5,196.0,2800.0,161.0,15000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03T00:00:00,197.0,0.0,0.0,197.0,185.0,185.0,-12.0,15000.0,2895000.0,8.0,92.5,197.0,4400.0,176.0,1000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04T00:00:00,185.0,0.0,0.0,184.0,176.0,176.0,-9.0,3500.0,628000.0,5.0,88.0,185.0,200.0,176.0,15500.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05T00:00:00,176.0,0.0,0.0,176.0,170.0,170.0,-6.0,11100.0,1905000.0,9.0,85.0,184.0,5000.0,170.0,800.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-06T00:00:00,170.0,0.0,0.0,185.0,184.0,184.0,14.0,2800.0,516300.0,3.0,92.0,184.0,3300.0,170.0,1600.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-09T00:00:00,184.0,0.0,0.0,190.0,183.0,190.0,6.0,16600.0,3068800.0,10.0,95.0,188.0,8200.0,170.0,2800.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-10T00:00:00,190.0,0.0,0.0,208.0,130.0,202.0,12.0,81100.0,13412000.0,76.0,101.0,180.0,1200.0,160.0,3100.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-11T00:00:00,202.0,0.0,0.0,250.0,160.0,176.0,-26.0,22200.0,4032400.0,20.0,88.0,176.0,1500.0,164.0,2300.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-12T00:00:00,176.0,0.0,0.0,198.0,166.0,170.0,-6.0,38100.0,6966200.0,23.0,85.0,191.0,100.0,171.0,5500.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13T00:00:00,170.0,0.0,0.0,178.0,176.0,178.0,8.0,34900.0,6202200.0,8.0,89.0,189.0,7700.0,178.0,13600.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-16T00:00:00,178.0,0.0,0.0,178.0,178.0,178.0,0.0,1000.0,178000.0,2.0,89.0,180.0,400.0,178.0,1800.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-17T00:00:00,178.0,0.0,0.0,189.0,151.0,189.0,11.0,9200.0,1451300.0,9.0,94.5,187.0,10500.0,186.0,200.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-18T00:00:00,189.0,0.0,0.0,189.0,185.0,185.0,-4.0,300.0,55900.0,2.0,92.5,185.0,10300.0,154.0,5000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-19T00:00:00,185.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,92.5,184.0,10200.0,158.0,5000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-20T00:00:00,185.0,0.0,0.0,195.0,195.0,195.0,10.0,100.0,19500.0,1.0,97.5,184.0,5000.0,160.0,3000.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-23T00:00:00,195.0,0.0,0.0,230.0,187.0,200.0,5.0,3400.0,658500.0,11.0,100.0,180.0,5000.0,171.0,3300.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-24T00:00:00,200.0,0.0,0.0,220.0,190.0,200.0,0.0,300.0,61000.0,3.0,100.0,199.0,12300.0,131.0,11100.0,833440000.0,833440000.0,833440000.0,0.0,0.0,,0.0,0.0,0.0
