date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,88.0,0.0,0.0,89.0,86.0,87.0,-1.0,5513300.0,479694900.0,504.0,556.8,87.0,892100.0,86.0,771700.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30T00:00:00,87.0,0.0,0.0,88.0,86.0,88.0,1.0,3426800.0,298005800.0,219.0,563.2,88.0,403700.0,87.0,705700.0,31183464900.0,31183464900.0,31183464900.0,46300.0,0.0,,0.0,0.0,0.0
2019-07-31T00:00:00,88.0,0.0,0.0,89.0,87.0,87.0,-1.0,1879000.0,164345900.0,76.0,556.8,88.0,909700.0,87.0,1156700.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01T00:00:00,87.0,0.0,0.0,88.0,86.0,87.0,0.0,2915000.0,253135300.0,116.0,556.8,87.0,512600.0,86.0,5626000.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02T00:00:00,87.0,0.0,0.0,87.0,86.0,87.0,0.0,2467000.0,213321900.0,61.0,556.8,87.0,2335600.0,86.0,5338100.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05T00:00:00,87.0,0.0,0.0,87.0,85.0,85.0,-2.0,9314800.0,795628200.0,219.0,544.0,86.0,3934900.0,85.0,2210200.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06T00:00:00,85.0,0.0,0.0,86.0,82.0,84.0,-1.0,6170700.0,514074500.0,224.0,537.6,84.0,665300.0,83.0,589200.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07T00:00:00,84.0,0.0,0.0,84.0,83.0,84.0,0.0,3066900.0,255257300.0,129.0,537.6,84.0,1132500.0,83.0,510400.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08T00:00:00,84.0,0.0,0.0,84.0,83.0,84.0,0.0,2765700.0,230022200.0,129.0,537.6,84.0,1508900.0,83.0,1188000.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09T00:00:00,84.0,0.0,0.0,91.0,83.0,85.0,1.0,55555900.0,4855325800.0,1593.0,544.0,85.0,921300.0,84.0,4770700.0,31183464900.0,31183464900.0,31183464900.0,0.0,0.0,,0.0,0.0,0.0
