date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1480.0,0.0,0.0,1470.0,1425.0,1455.0,-25.0,89000.0,127810000.0,11.0,139.2,1460.0,500.0,1430.0,10700.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,1455.0,0.0,0.0,1495.0,1455.0,1455.0,0.0,3400.0,4989000.0,12.0,139.2,1480.0,12600.0,1455.0,400.0,3620831944.0,3345831944.0,3620831944.0,100.0,0.0,,0.0,0.0,0.0
2019-07-31,1455.0,0.0,0.0,1500.0,1350.0,1360.0,-95.0,151100.0,210485000.0,67.0,130.1,1390.0,700.0,1355.0,10400.0,3620831944.0,3345831944.0,3620831944.0,0.0,1200.0,,0.0,0.0,0.0
2019-08-01,1360.0,0.0,0.0,1480.0,1370.0,1445.0,85.0,887800.0,1262882000.0,97.0,138.3,1455.0,52200.0,1445.0,199800.0,3620831944.0,3345831944.0,3620831944.0,519700.0,0.0,,0.0,0.0,0.0
2019-08-02,1445.0,0.0,0.0,1450.0,1425.0,1450.0,5.0,247300.0,356909000.0,36.0,138.7,1450.0,1200.0,1445.0,1000.0,3620831944.0,3345831944.0,3620831944.0,115800.0,0.0,,0.0,0.0,0.0
2019-08-05,1450.0,0.0,0.0,1440.0,1400.0,1410.0,-40.0,422000.0,601661000.0,31.0,134.9,1415.0,400.0,1410.0,57700.0,3620831944.0,3345831944.0,3620831944.0,347500.0,0.0,,0.0,0.0,0.0
2019-08-06,1410.0,0.0,0.0,1410.0,1365.0,1395.0,-15.0,236700.0,329608000.0,56.0,133.5,1410.0,700.0,1395.0,24600.0,3620831944.0,3345831944.0,3620831944.0,2100.0,0.0,,0.0,0.0,0.0
2019-08-07,1395.0,0.0,0.0,1430.0,1400.0,1430.0,35.0,33300.0,46943000.0,11.0,136.8,1430.0,800.0,1420.0,300.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,1430.0,0.0,0.0,1450.0,1430.0,1430.0,0.0,154700.0,221546000.0,25.0,136.8,1440.0,5300.0,1430.0,2400.0,3620831944.0,3345831944.0,3620831944.0,112700.0,0.0,,0.0,0.0,0.0
2019-08-09,1430.0,0.0,0.0,1430.0,1430.0,1430.0,0.0,23300.0,33319000.0,6.0,136.8,1440.0,100.0,1420.0,100.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,1430.0,0.0,0.0,1435.0,1380.0,1405.0,-25.0,143800.0,204334500.0,66.0,134.4,1420.0,2400.0,1405.0,6000.0,3620831944.0,3345831944.0,3620831944.0,139000.0,0.0,,0.0,0.0,0.0
2019-08-13,1405.0,0.0,0.0,1430.0,1400.0,1400.0,-5.0,6500.0,9103000.0,7.0,134.0,1420.0,200.0,1400.0,3800.0,3620831944.0,3345831944.0,3620831944.0,300.0,0.0,,0.0,0.0,0.0
2019-08-14,1400.0,0.0,0.0,1450.0,1400.0,1450.0,50.0,4200.0,5935000.0,15.0,138.7,1450.0,11600.0,1400.0,600.0,3620831944.0,3345831944.0,3620831944.0,700.0,0.0,,0.0,0.0,0.0
2019-08-15,1450.0,0.0,0.0,1400.0,1380.0,1400.0,-50.0,26800.0,37355500.0,119.0,134.0,1420.0,2000.0,1400.0,11100.0,3620831944.0,3345831944.0,3620831944.0,20600.0,0.0,,0.0,0.0,0.0
2019-08-16,1400.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,134.0,1430.0,1000.0,1405.0,2000.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,1400.0,0.0,0.0,1400.0,1400.0,1400.0,0.0,1100.0,1540000.0,2.0,134.0,1420.0,1600.0,1400.0,5000.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,1400.0,0.0,0.0,1400.0,1385.0,1400.0,0.0,48100.0,66940500.0,14.0,134.0,1400.0,400.0,1395.0,20000.0,3620831944.0,3345831944.0,3620831944.0,5000.0,500.0,,0.0,0.0,0.0
2019-08-21,1400.0,0.0,0.0,1450.0,1405.0,1450.0,50.0,558400.0,792725000.0,41.0,138.7,1450.0,31100.0,1410.0,21100.0,3620831944.0,3345831944.0,3620831944.0,456100.0,0.0,,0.0,0.0,0.0
2019-08-22,1450.0,0.0,0.0,1455.0,1410.0,1450.0,0.0,10600.0,15238000.0,15.0,138.7,1440.0,10800.0,1415.0,13400.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,1450.0,0.0,0.0,1470.0,1410.0,1470.0,20.0,41400.0,59991500.0,24.0,140.7,1470.0,54900.0,1445.0,2500.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,1470.0,0.0,0.0,1495.0,1450.0,1465.0,-5.0,22200.0,32524000.0,19.0,140.2,1465.0,44500.0,1435.0,10000.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,1465.0,0.0,0.0,1500.0,1420.0,1470.0,5.0,3100.0,4567000.0,7.0,140.7,1470.0,56700.0,1420.0,9500.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,1470.0,0.0,0.0,1490.0,1470.0,1490.0,20.0,300.0,443000.0,2.0,142.6,1475.0,11900.0,1440.0,10000.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,1490.0,0.0,0.0,1475.0,1435.0,1475.0,-15.0,16600.0,24022000.0,20.0,141.1,1475.0,6400.0,1440.0,1500.0,3620831944.0,3345831944.0,3620831944.0,0.0,700.0,,0.0,0.0,0.0
2019-08-30,1475.0,0.0,0.0,1495.0,1475.0,1480.0,5.0,3700.0,5473000.0,6.0,141.6,1475.0,4500.0,1450.0,1100.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,1480.0,0.0,0.0,1485.0,1435.0,1445.0,-35.0,242600.0,349976500.0,29.0,138.3,1460.0,1000.0,1445.0,800.0,3620831944.0,3345831944.0,3620831944.0,175400.0,0.0,,0.0,0.0,0.0
2019-09-03,1445.0,0.0,0.0,1445.0,1440.0,1440.0,-5.0,1400.0,2017000.0,4.0,137.8,1445.0,10100.0,1440.0,400.0,3620831944.0,3345831944.0,3620831944.0,0.0,0.0,,0.0,0.0,0.0
