date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-09-08,680.0,0.0,0.0,850.0,700.0,850.0,170.0,84199200.0,69830738500.0,7132.0,125.0,0.0,0.0,850.0,30211800.0,17125504000.0,2162600000.0,17125504000.0,1032100.0,771700.0,,417800.0,285413000.0,4.0
2021-09-09,850.0,0.0,0.0,950.0,800.0,860.0,10.0,79280900.0,68508552500.0,13935.0,126.5,865.0,72300.0,860.0,3068500.0,17125504000.0,2162600000.0,17125504000.0,2968600.0,1437100.0,,0.0,0.0,0.0
2021-09-10,860.0,0.0,0.0,865.0,805.0,820.0,-40.0,14105800.0,11688291000.0,1777.0,120.6,820.0,422400.0,815.0,233200.0,17125504000.0,2162600000.0,17125504000.0,208700.0,10000.0,,0.0,0.0,0.0
2021-09-13,820.0,0.0,0.0,820.0,785.0,805.0,-15.0,7922500.0,6348973500.0,1230.0,118.4,805.0,272800.0,800.0,995200.0,17125504000.0,2162600000.0,17125504000.0,34000.0,21000.0,,0.0,0.0,0.0
2021-09-14,805.0,0.0,0.0,815.0,800.0,815.0,10.0,5772200.0,4675825500.0,677.0,119.9,820.0,643700.0,815.0,454300.0,17125504000.0,2162600000.0,17125504000.0,56000.0,0.0,,0.0,0.0,0.0
2021-09-15,815.0,0.0,0.0,850.0,805.0,840.0,25.0,42961000.0,35580750000.0,1963.0,123.5,840.0,522700.0,835.0,2806300.0,17125504000.0,2162600000.0,17125504000.0,470900.0,17500.0,,0.0,0.0,0.0
2021-09-16,840.0,0.0,0.0,870.0,830.0,860.0,20.0,39646100.0,33650369000.0,1731.0,126.5,860.0,197000.0,855.0,3304100.0,17125504000.0,2162600000.0,17125504000.0,891800.0,7500.0,,0.0,0.0,0.0
2021-09-17,860.0,0.0,0.0,865.0,845.0,865.0,5.0,53091300.0,45281917500.0,1400.0,127.2,870.0,1557700.0,865.0,1324400.0,17125504000.0,2162600000.0,17125504000.0,1388400.0,3000000.0,,0.0,0.0,0.0
2021-09-20,865.0,0.0,0.0,895.0,870.0,890.0,25.0,41008800.0,36261155000.0,1586.0,130.9,895.0,3675600.0,890.0,175000.0,17125504000.0,2162600000.0,17125504000.0,530000.0,25000.0,,0.0,0.0,0.0
2021-09-21,890.0,0.0,0.0,910.0,895.0,910.0,20.0,33299100.0,30129640500.0,1269.0,133.8,915.0,2776000.0,910.0,454600.0,17125504000.0,2162600000.0,17125504000.0,1596100.0,1836000.0,,0.0,0.0,0.0
2021-09-22,910.0,0.0,0.0,945.0,905.0,945.0,35.0,40179800.0,37001246000.0,1382.0,139.0,945.0,3103200.0,940.0,405300.0,17125504000.0,2162600000.0,17125504000.0,1213300.0,7000.0,,0.0,0.0,0.0
2021-09-23,945.0,0.0,0.0,950.0,940.0,940.0,-5.0,28241100.0,26694403000.0,1226.0,138.2,945.0,6700.0,940.0,867700.0,17125504000.0,2162600000.0,17125504000.0,95900.0,1050000.0,,0.0,0.0,0.0
2021-09-24,940.0,0.0,0.0,960.0,945.0,960.0,20.0,26863700.0,25538417500.0,1134.0,141.2,960.0,1000000.0,955.0,2013400.0,17125504000.0,2162600000.0,17125504000.0,67600.0,354500.0,,0.0,0.0,0.0
2021-09-27,960.0,0.0,0.0,970.0,950.0,960.0,0.0,28751800.0,27655562500.0,1135.0,141.2,965.0,1867200.0,960.0,9600.0,17125504000.0,2162600000.0,17125504000.0,2932000.0,1270200.0,,35664700.0,33703141500.0,4.0
2021-09-28,960.0,0.0,0.0,980.0,960.0,980.0,20.0,28266100.0,27454538000.0,1025.0,144.1,980.0,257400.0,975.0,1320400.0,17125504000.0,2162600000.0,17125504000.0,701200.0,1044700.0,,0.0,0.0,0.0
2021-09-29,980.0,0.0,0.0,980.0,955.0,960.0,-20.0,27714800.0,26710792500.0,1169.0,141.2,960.0,1066300.0,955.0,1283700.0,17125504000.0,2162600000.0,17125504000.0,480800.0,290400.0,,0.0,0.0,0.0
2021-09-30,960.0,0.0,0.0,960.0,950.0,960.0,0.0,28097000.0,26896924000.0,872.0,141.2,960.0,1507900.0,955.0,654900.0,17125504000.0,2162600000.0,17125504000.0,219400.0,5000.0,,0.0,0.0,0.0
2021-10-01,960.0,0.0,0.0,960.0,945.0,960.0,0.0,30257800.0,28800536500.0,1012.0,141.2,960.0,1883500.0,955.0,1227900.0,17125504000.0,2162600000.0,12503330470.0,561100.0,316700.0,,0.0,0.0,0.0
2021-10-04,960.0,0.0,0.0,965.0,955.0,960.0,0.0,26065800.0,25008652000.0,955.0,141.2,960.0,87700.0,955.0,1683500.0,17125504000.0,2162600000.0,12503330470.0,625000.0,295000.0,,0.0,0.0,0.0
