date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,930.0,0.0,0.0,930.0,925.0,930.0,0.0,3259100.0,3030953000.0,280.0,469.7,930.0,44700.0,925.0,118100.0,508000000.0,168000000.0,508000000.0,0.0,52300.0,,5610900.0,5179943000.0,4.0
2019-07-30,930.0,0.0,0.0,930.0,930.0,930.0,0.0,3274000.0,3044820000.0,347.0,469.7,930.0,111200.0,925.0,121200.0,508000000.0,168000000.0,508000000.0,0.0,0.0,,7150500.0,6649965000.0,2.0
2019-07-31,930.0,0.0,0.0,930.0,925.0,925.0,-5.0,2715300.0,2525198500.0,294.0,467.2,930.0,100100.0,925.0,114000.0,508000000.0,168000000.0,508000000.0,0.0,6400.0,,0.0,0.0,0.0
2019-08-01,925.0,0.0,0.0,930.0,920.0,925.0,0.0,2467200.0,2293848000.0,235.0,467.2,930.0,40100.0,925.0,117300.0,508000000.0,168000000.0,508000000.0,0.0,0.0,,6451300.0,5999709000.0,6.0
2019-08-02,925.0,0.0,0.0,935.0,930.0,935.0,10.0,2601800.0,2419677000.0,379.0,472.2,935.0,86700.0,930.0,6700.0,508000000.0,168000000.0,508000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,935.0,0.0,0.0,935.0,930.0,930.0,-5.0,2404400.0,2236128500.0,344.0,469.7,930.0,1600.0,925.0,120100.0,508000000.0,168000000.0,508000000.0,22700.0,0.0,,0.0,0.0,0.0
2019-08-06,930.0,0.0,0.0,930.0,920.0,920.0,-10.0,2864900.0,2663638500.0,237.0,464.6,925.0,57200.0,920.0,141000.0,508000000.0,168000000.0,508000000.0,71100.0,0.0,,0.0,0.0,0.0
2019-08-07,920.0,0.0,0.0,925.0,915.0,925.0,5.0,3100400.0,2863223500.0,326.0,467.2,930.0,83000.0,925.0,97600.0,508000000.0,168000000.0,508000000.0,185500.0,0.0,,6010000.0,5589300000.0,22.0
2019-08-08,925.0,0.0,0.0,925.0,925.0,925.0,0.0,2002900.0,1852682500.0,171.0,467.2,925.0,47300.0,920.0,102600.0,508000000.0,168000000.0,508000000.0,0.0,0.0,,7204100.0,6699813000.0,5.0
2019-08-09,925.0,0.0,0.0,925.0,920.0,920.0,-5.0,2100100.0,1942592000.0,311.0,464.6,925.0,50200.0,920.0,103100.0,508000000.0,168000000.0,508000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,920.0,0.0,0.0,925.0,920.0,920.0,0.0,2158000.0,1996111000.0,283.0,464.6,925.0,55400.0,920.0,94900.0,508000000.0,168000000.0,508000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,920.0,0.0,0.0,925.0,920.0,920.0,0.0,1808600.0,1672938500.0,295.0,464.6,925.0,45400.0,920.0,99400.0,508000000.0,168000000.0,508000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,920.0,0.0,0.0,925.0,920.0,920.0,0.0,1952200.0,1805775000.0,249.0,464.6,925.0,64100.0,920.0,100700.0,508000000.0,168000000.0,508000000.0,10200.0,0.0,,0.0,0.0,0.0
2019-08-15,920.0,0.0,0.0,925.0,920.0,925.0,5.0,2043600.0,1890228000.0,340.0,467.2,925.0,150100.0,920.0,82300.0,508000000.0,168000000.0,508000000.0,18500.0,0.0,,0.0,0.0,0.0
2019-08-16,925.0,0.0,0.0,925.0,920.0,925.0,0.0,2033600.0,1881062500.0,309.0,467.2,925.0,61700.0,920.0,99100.0,508000000.0,168000000.0,508000000.0,15000.0,0.0,,0.0,0.0,0.0
