date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,74.0,0.0,0.0,77.0,73.0,74.0,0.0,34023200.0,2546060200.0,2057.0,59.2,74.0,882700.0,73.0,1675000.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,74.0,0.0,0.0,75.0,73.0,74.0,0.0,7133700.0,527010500.0,1460.0,59.2,74.0,456800.0,73.0,2437500.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,74.0,0.0,0.0,75.0,73.0,73.0,-1.0,12384000.0,917203400.0,340.0,58.4,74.0,350800.0,73.0,2173500.0,2433375000.0,683375000.0,2433375000.0,150000.0,0.0,,0.0,0.0,0.0
2019-08-01,73.0,0.0,0.0,76.0,74.0,76.0,3.0,19061000.0,1431179300.0,468.0,60.8,76.0,2126200.0,75.0,640300.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,76.0,0.0,0.0,77.0,74.0,74.0,-2.0,6888600.0,512360100.0,355.0,59.2,75.0,139600.0,74.0,5899900.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,74.0,0.0,0.0,75.0,73.0,73.0,-1.0,8336600.0,616080800.0,186.0,58.4,74.0,703500.0,73.0,2899800.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,73.0,0.0,0.0,73.0,66.0,69.0,-4.0,20869400.0,1454381100.0,1067.0,55.2,70.0,551900.0,68.0,5185300.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,69.0,0.0,0.0,71.0,67.0,68.0,-1.0,10654700.0,728985100.0,3969.0,54.4,69.0,16100.0,68.0,796800.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,68.0,0.0,0.0,74.0,68.0,69.0,1.0,15286300.0,1080563200.0,529.0,55.2,70.0,24000.0,69.0,5804800.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,69.0,0.0,0.0,72.0,69.0,70.0,1.0,5080900.0,356728500.0,557.0,56.0,70.0,511400.0,69.0,1121400.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,70.0,0.0,0.0,72.0,69.0,69.0,-1.0,4524400.0,315348500.0,229.0,55.2,70.0,248200.0,69.0,551400.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,69.0,0.0,0.0,70.0,67.0,69.0,0.0,5283900.0,361565200.0,265.0,55.2,69.0,714300.0,68.0,355400.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,100.0,6000.0,1.0
2019-08-14,69.0,0.0,0.0,70.0,68.0,68.0,-1.0,5573900.0,381417500.0,4109.0,54.4,68.0,68700.0,67.0,1591900.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,68.0,0.0,0.0,69.0,66.0,67.0,-1.0,8583800.0,577298500.0,1751.0,53.6,68.0,271300.0,67.0,889700.0,2433375000.0,683375000.0,2433375000.0,0.0,100.0,,0.0,0.0,0.0
2019-08-16,67.0,0.0,0.0,69.0,66.0,67.0,0.0,6278900.0,422091700.0,2681.0,53.6,68.0,1033100.0,67.0,2250600.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,67.0,0.0,0.0,68.0,65.0,66.0,-1.0,5282700.0,349341700.0,436.0,52.8,67.0,953600.0,66.0,1229900.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,66.0,0.0,0.0,68.0,65.0,66.0,0.0,4418000.0,291385000.0,280.0,52.8,66.0,1100.0,65.0,777300.0,2433375000.0,683375000.0,2433375000.0,0.0,0.0,,0.0,0.0,0.0
