date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,50.0,0.0,0.0,50.0,50.0,50.0,0.0,12500.0,625000.0,17.0,45.5,50.0,165863300.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,107700000.0,5385000000.0,2.0
2019-07-30,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.5,50.0,56510800.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,560000.0,28000000.0,2.0
2019-07-31,50.0,0.0,0.0,50.0,50.0,50.0,0.0,15300.0,765000.0,8.0,45.5,50.0,165619400.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,80116800.0,3994480000.0,5.0
2019-08-01,50.0,0.0,0.0,50.0,50.0,50.0,0.0,38100.0,1905000.0,22.0,45.5,50.0,56419300.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,325000.0,10400000.0,1.0
2019-08-02,50.0,0.0,0.0,50.0,50.0,50.0,0.0,800.0,40000.0,2.0,45.5,50.0,174061800.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,107900000.0,5395000000.0,2.0
2019-08-05,50.0,0.0,0.0,50.0,50.0,50.0,0.0,5200.0,260000.0,2.0,45.5,50.0,51672500.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,1932500.0,69975000.0,2.0
2019-08-06,50.0,0.0,0.0,50.0,50.0,50.0,0.0,2500.0,125000.0,1.0,45.5,50.0,165434700.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,80532900.0,4011979300.0,3.0
2019-08-07,50.0,0.0,0.0,50.0,50.0,50.0,0.0,500.0,25000.0,1.0,45.5,50.0,60066100.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,50.0,0.0,0.0,50.0,50.0,50.0,0.0,3300.0,165000.0,5.0,45.5,50.0,165878800.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,108000000.0,5403000000.0,2.0
2019-08-09,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,45.5,50.0,69046500.0,0.0,0.0,59572382787.0,59572382787.0,59572382787.0,0.0,0.0,,601500.0,30075000.0,2.0
