date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-08-10,150.0,0.0,0.0,202.0,202.0,202.0,52.0,43573900.0,8801927800.0,7161.0,134.7,0.0,0.0,202.0,116330300.0,1950000000.0,390000000.0,390000000.0,397100.0,0.0,,170100.0,27097500.0,3.0
2022-08-11,202.0,0.0,0.0,252.0,188.0,214.0,12.0,388270700.0,86606764200.0,47501.0,142.7,214.0,1121100.0,212.0,626900.0,1950000000.0,390000000.0,390000000.0,1707300.0,513100.0,,0.0,0.0,0.0
2022-08-12,214.0,0.0,0.0,234.0,204.0,214.0,0.0,62099900.0,13616011800.0,7503.0,142.7,216.0,479400.0,214.0,3580700.0,1950000000.0,390000000.0,390000000.0,25600.0,4000.0,,0.0,0.0,0.0
2022-08-15,214.0,0.0,0.0,234.0,208.0,216.0,2.0,46696400.0,10083767200.0,10713.0,144.0,218.0,203800.0,216.0,56900.0,1950000000.0,390000000.0,390000000.0,5600.0,80000.0,,0.0,0.0,0.0
2022-08-16,216.0,0.0,0.0,236.0,216.0,234.0,18.0,101375100.0,22964829600.0,8877.0,156.0,236.0,2353400.0,234.0,7371800.0,1950000000.0,390000000.0,390000000.0,642500.0,250000.0,,0.0,0.0,0.0
2022-08-18,234.0,0.0,0.0,292.0,222.0,272.0,38.0,291065500.0,77430659600.0,32135.0,181.3,274.0,1900.0,272.0,977800.0,1950000000.0,390000000.0,390000000.0,1079100.0,2375100.0,,0.0,0.0,0.0
2022-08-19,272.0,0.0,0.0,316.0,264.0,312.0,40.0,305411900.0,90495036400.0,36655.0,208.0,314.0,528500.0,312.0,6694500.0,1950000000.0,390000000.0,390000000.0,2304500.0,650100.0,,0.0,0.0,0.0
2022-08-22,312.0,0.0,0.0,312.0,292.0,292.0,-20.0,23146500.0,6893050000.0,2608.0,194.7,292.0,14613200.0,0.0,0.0,1950000000.0,390000000.0,390000000.0,50600.0,21100.0,,0.0,0.0,0.0
2022-08-23,292.0,0.0,0.0,306.0,272.0,272.0,-20.0,110906800.0,31483155800.0,11886.0,181.3,272.0,758000.0,0.0,0.0,1950000000.0,390000000.0,390000000.0,1658700.0,5638200.0,,0.0,0.0,0.0
2022-08-24,272.0,0.0,0.0,296.0,272.0,282.0,10.0,82705500.0,23608721800.0,9710.0,188.0,284.0,280900.0,282.0,887700.0,1950000000.0,390000000.0,390000000.0,4457600.0,935500.0,,0.0,0.0,0.0
2022-08-25,282.0,0.0,0.0,288.0,274.0,276.0,-6.0,32610500.0,9121904800.0,3777.0,184.0,278.0,35500.0,276.0,197200.0,1950000000.0,390000000.0,390000000.0,96000.0,2728700.0,,0.0,0.0,0.0
2022-08-26,276.0,0.0,0.0,292.0,268.0,270.0,-6.0,52913100.0,14859600600.0,5480.0,180.0,270.0,1332600.0,268.0,474200.0,1950000000.0,390000000.0,390000000.0,3675800.0,1398900.0,,950000.0,267900000.0,1.0
2022-08-29,270.0,0.0,0.0,276.0,252.0,252.0,-18.0,35490900.0,9243571400.0,3993.0,168.0,252.0,523800.0,0.0,0.0,1950000000.0,390000000.0,390000000.0,1972600.0,3581400.0,,0.0,0.0,0.0
2022-08-30,252.0,0.0,0.0,262.0,236.0,240.0,-12.0,24678200.0,6082880600.0,2610.0,160.0,242.0,451900.0,240.0,15600.0,1950000000.0,390000000.0,390000000.0,271900.0,1613200.0,,0.0,0.0,0.0
