date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,498.0,0.0,0.0,505.0,498.0,505.0,7.0,168200.0,83870000.0,26.0,254.8,505.0,500.0,496.0,200.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,505.0,0.0,0.0,510.0,500.0,500.0,-5.0,181500.0,92558500.0,26.0,252.3,500.0,3500.0,498.0,1000.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,500.0,0.0,0.0,510.0,510.0,510.0,10.0,191100.0,97461000.0,24.0,257.4,510.0,500.0,505.0,100.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,510.0,0.0,0.0,520.0,510.0,520.0,10.0,178600.0,92869000.0,27.0,262.4,520.0,4700.0,510.0,100.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,520.0,0.0,0.0,515.0,515.0,515.0,-5.0,201200.0,103618000.0,25.0,259.9,515.0,100.0,500.0,500.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,515.0,0.0,0.0,515.0,500.0,500.0,-15.0,220000.0,112845000.0,31.0,252.3,500.0,19700.0,498.0,15700.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,500.0,0.0,0.0,510.0,498.0,510.0,10.0,161200.0,81417000.0,30.0,257.4,510.0,24700.0,500.0,10000.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,510.0,0.0,0.0,515.0,500.0,515.0,5.0,195700.0,99810000.0,30.0,259.9,515.0,17700.0,500.0,19700.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,515.0,0.0,0.0,510.0,510.0,510.0,-5.0,186800.0,95268000.0,23.0,257.4,510.0,1300.0,500.0,11000.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,510.0,0.0,0.0,510.0,505.0,510.0,0.0,152500.0,77017500.0,26.0,257.4,510.0,16200.0,496.0,1000.0,4458352920.0,4053052920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,510.0,0.0,0.0,505.0,496.0,505.0,-5.0,175700.0,88724900.0,28.0,254.8,505.0,16000.0,496.0,700.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,505.0,0.0,0.0,505.0,500.0,505.0,0.0,191200.0,95602500.0,26.0,254.8,505.0,14800.0,500.0,600.0,4458352920.0,4458352920.0,4458352920.0,500.0,0.0,,0.0,0.0,0.0
2019-08-14,505.0,0.0,0.0,510.0,492.0,494.0,-11.0,188400.0,95636000.0,40.0,249.3,494.0,1700.0,492.0,2500.0,4458352920.0,4458352920.0,4458352920.0,14500.0,0.0,,0.0,0.0,0.0
2019-08-15,494.0,0.0,0.0,505.0,494.0,494.0,0.0,197900.0,99752500.0,29.0,249.3,505.0,600.0,494.0,9000.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,494.0,0.0,0.0,500.0,448.0,460.0,-34.0,1539000.0,723658000.0,141.0,232.1,460.0,5200.0,454.0,100.0,4458352920.0,4458352920.0,4458352920.0,0.0,9800.0,,0.0,0.0,0.0
2019-08-19,460.0,0.0,0.0,480.0,460.0,480.0,20.0,281000.0,131033600.0,51.0,242.2,490.0,34100.0,480.0,1900.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,480.0,0.0,0.0,484.0,480.0,482.0,2.0,222800.0,107396400.0,40.0,243.2,482.0,1461700.0,480.0,2700.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,482.0,0.0,0.0,482.0,476.0,478.0,-4.0,304000.0,145484000.0,49.0,241.2,478.0,1457000.0,476.0,6600.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,478.0,0.0,0.0,480.0,450.0,480.0,2.0,493500.0,233368600.0,87.0,242.2,482.0,9800.0,452.0,3200.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,480.0,0.0,0.0,488.0,488.0,488.0,8.0,217300.0,106042400.0,6.0,246.3,488.0,57700.0,458.0,100.0,4458352920.0,4458352920.0,4458352920.0,0.0,217300.0,,0.0,0.0,0.0
2019-08-26,488.0,0.0,0.0,478.0,478.0,478.0,-10.0,129100.0,61709800.0,24.0,241.2,480.0,27500.0,478.0,7200.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,478.0,0.0,0.0,480.0,464.0,480.0,2.0,224700.0,107390200.0,33.0,242.2,478.0,500.0,470.0,10000.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,480.0,0.0,0.0,480.0,456.0,480.0,0.0,151300.0,72006000.0,33.0,242.2,480.0,20400.0,456.0,1000.0,4458352920.0,4458352920.0,4458352920.0,0.0,0.0,,8000000.0,3840000000.0,2.0
