date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-02-14,102.0,0.0,0.0,173.0,162.0,173.0,71.0,48085200.0,8312863000.0,1333.0,169.6,0.0,0.0,173.0,473800.0,7177000000.0,2147000000.0,7177000000.0,26600000.0,205000.0,,200000000.0,34000000000.0,2.0
2020-02-17,173.0,0.0,0.0,185.0,146.0,151.0,-22.0,79914500.0,13064218300.0,8343.0,148.0,154.0,19100.0,151.0,114600.0,7177000000.0,2147000000.0,7177000000.0,7205000.0,3195900.0,,0.0,0.0,0.0
2020-02-18,151.0,0.0,0.0,165.0,140.0,158.0,7.0,37196300.0,5612252200.0,4797.0,154.9,158.0,175700.0,157.0,200000.0,7177000000.0,2147000000.0,7177000000.0,705000.0,7005900.0,,0.0,0.0,0.0
2020-02-19,158.0,0.0,0.0,171.0,158.0,164.0,6.0,48941900.0,8076436200.0,4624.0,160.8,164.0,308400.0,163.0,355600.0,7177000000.0,2147000000.0,7177000000.0,1501500.0,7294400.0,,0.0,0.0,0.0
2020-02-20,164.0,0.0,0.0,168.0,158.0,162.0,-2.0,26996200.0,4420964400.0,2818.0,158.8,162.0,84000.0,161.0,25200.0,7177000000.0,2147000000.0,7177000000.0,500000.0,2632600.0,,0.0,0.0,0.0
2020-02-21,162.0,0.0,0.0,162.0,151.0,157.0,-5.0,35825300.0,5612051700.0,2153.0,153.9,157.0,28500.0,156.0,201900.0,7177000000.0,2147000000.0,7177000000.0,1000000.0,1818500.0,,0.0,0.0,0.0
2020-02-24,157.0,0.0,0.0,158.0,144.0,151.0,-6.0,17702400.0,2650969000.0,1312.0,148.0,151.0,145600.0,150.0,3300.0,7177000000.0,2147000000.0,7177000000.0,0.0,961900.0,,0.0,0.0,0.0
2020-02-25,151.0,0.0,0.0,160.0,143.0,149.0,-2.0,19634000.0,2992495600.0,1141.0,146.1,149.0,61300.0,148.0,28700.0,7177000000.0,2147000000.0,7177000000.0,1700000.0,2389200.0,,0.0,0.0,0.0
2020-02-26,149.0,0.0,0.0,151.0,137.0,138.0,-11.0,20908600.0,3003496800.0,1884.0,135.3,138.0,27000.0,137.0,81100.0,7177000000.0,2147000000.0,7177000000.0,0.0,465300.0,,0.0,0.0,0.0
2020-02-27,138.0,0.0,0.0,157.0,134.0,136.0,-2.0,22941900.0,3296648400.0,1895.0,133.3,136.0,114800.0,135.0,5100.0,7177000000.0,2147000000.0,7177000000.0,3000.0,1063000.0,,0.0,0.0,0.0
2020-02-28,136.0,0.0,0.0,135.0,103.0,112.0,-24.0,22512700.0,2597137100.0,1458.0,109.8,116.0,24000.0,112.0,35000.0,7177000000.0,2147000000.0,7177000000.0,4668000.0,4182000.0,,0.0,0.0,0.0
2020-03-02,112.0,0.0,0.0,151.0,108.0,151.0,39.0,52769400.0,7111794600.0,4007.0,148.0,0.0,0.0,151.0,88700.0,7177000000.0,2147000000.0,7177000000.0,735800.0,14238800.0,,0.0,0.0,0.0
2020-03-03,151.0,0.0,0.0,183.0,140.0,165.0,14.0,32449000.0,5250316900.0,4459.0,161.8,165.0,19300.0,164.0,6000.0,7177000000.0,2147000000.0,7177000000.0,1303000.0,2100000.0,,0.0,0.0,0.0
2020-03-04,165.0,0.0,0.0,180.0,144.0,160.0,-5.0,33467900.0,5464562500.0,4209.0,156.9,161.0,2000.0,160.0,238900.0,7177000000.0,2147000000.0,7177000000.0,600000.0,5172100.0,,0.0,0.0,0.0
2020-03-05,160.0,0.0,0.0,185.0,159.0,170.0,10.0,25285700.0,4317138200.0,2890.0,166.7,172.0,11300.0,170.0,137600.0,7177000000.0,2147000000.0,7177000000.0,1990000.0,1003000.0,,0.0,0.0,0.0
2020-03-06,170.0,0.0,0.0,171.0,159.0,164.0,-6.0,14550800.0,2374152400.0,1902.0,160.8,165.0,119000.0,162.0,50000.0,7177000000.0,2147000000.0,7177000000.0,1480000.0,0.0,,0.0,0.0,0.0
2020-03-09,164.0,0.0,0.0,220.0,160.0,214.0,50.0,28121400.0,5205033300.0,2702.0,209.8,214.0,224300.0,212.0,24800.0,7177000000.0,2147000000.0,7177000000.0,3330000.0,0.0,,0.0,0.0,0.0
2020-03-10,214.0,0.0,0.0,266.0,197.0,266.0,52.0,23345300.0,5687317200.0,2460.0,260.8,0.0,0.0,266.0,52100.0,7177000000.0,2147000000.0,7177000000.0,50000.0,1400000.0,,0.0,0.0,0.0
2020-03-11,266.0,0.0,0.0,300.0,266.0,296.0,30.0,23036800.0,6535289200.0,3489.0,290.2,298.0,25700.0,296.0,97400.0,7177000000.0,2147000000.0,7177000000.0,1003000.0,940700.0,,0.0,0.0,0.0
