date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-01-22T00:00:00,915.0,0.0,0.0,1370.0,1370.0,1370.0,455.0,3660600.0,5015022000.0,705.0,149.7,0.0,0.0,1370.0,17904200.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,300.0,274500.0,3.0
2020-01-23T00:00:00,1370.0,0.0,0.0,1695.0,1420.0,1530.0,160.0,16315700.0,25350592000.0,8333.0,167.2,1535.0,12200.0,1530.0,100000.0,9468359000.0,9464897500.0,9468359000.0,14000.0,20400.0,,0.0,0.0,0.0
2020-01-24T00:00:00,1530.0,0.0,0.0,1600.0,1350.0,1350.0,-180.0,5645200.0,8007061500.0,2780.0,147.5,1355.0,6000.0,1350.0,3500.0,9468359000.0,9464897500.0,9468359000.0,4400.0,138000.0,,0.0,0.0,0.0
2020-01-27T00:00:00,1350.0,0.0,0.0,1370.0,1075.0,1095.0,-255.0,3089600.0,3573854500.0,2051.0,119.7,1095.0,31100.0,1080.0,4300.0,9468359000.0,9464897500.0,9468359000.0,1400.0,0.0,,0.0,0.0,0.0
2020-01-28T00:00:00,1095.0,0.0,0.0,1185.0,1050.0,1075.0,-20.0,1136600.0,1263211000.0,910.0,117.5,1085.0,11800.0,1075.0,10500.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,0.0,0.0,0.0
2020-01-29T00:00:00,1075.0,0.0,0.0,1110.0,1000.0,1010.0,-65.0,1028000.0,1070241500.0,741.0,110.4,1010.0,1500.0,1000.0,19000.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,0.0,0.0,0.0
2020-01-30T00:00:00,1010.0,0.0,0.0,1030.0,945.0,950.0,-60.0,1416800.0,1365159500.0,919.0,103.8,955.0,5800.0,950.0,6000.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,0.0,0.0,0.0
2020-01-31T00:00:00,950.0,0.0,0.0,965.0,915.0,930.0,-20.0,692200.0,645206000.0,431.0,101.6,935.0,1400.0,930.0,41400.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-03T00:00:00,930.0,0.0,0.0,1100.0,920.0,1015.0,85.0,1924800.0,1983595000.0,1654.0,110.9,1020.0,200.0,1015.0,500.0,9468359000.0,9464897500.0,9468359000.0,0.0,1000.0,,0.0,0.0,0.0
2020-02-04T00:00:00,1015.0,0.0,0.0,1085.0,1020.0,1080.0,65.0,528300.0,561854500.0,527.0,118.0,1085.0,17900.0,1080.0,11100.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-05T00:00:00,1080.0,0.0,0.0,1140.0,980.0,1000.0,-80.0,924600.0,996687000.0,754.0,109.3,1000.0,20700.0,995.0,2800.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-06T00:00:00,1000.0,0.0,0.0,1005.0,950.0,990.0,-10.0,376700.0,371606000.0,255.0,108.2,995.0,1000.0,990.0,19800.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-07T00:00:00,990.0,0.0,0.0,1010.0,990.0,990.0,0.0,114500.0,114274000.0,120.0,108.2,995.0,11600.0,990.0,20600.0,9468359000.0,9464897500.0,9468359000.0,0.0,1000.0,,0.0,0.0,0.0
2020-02-10T00:00:00,990.0,0.0,0.0,990.0,935.0,935.0,-55.0,378700.0,360013000.0,250.0,102.2,945.0,10600.0,935.0,6700.0,9468359000.0,9464897500.0,9468359000.0,2000.0,2000.0,,0.0,0.0,0.0
2020-02-11T00:00:00,935.0,0.0,0.0,985.0,930.0,955.0,20.0,187800.0,179482000.0,160.0,104.4,960.0,5400.0,955.0,10000.0,9468359000.0,9464897500.0,9468359000.0,3600.0,0.0,,0.0,0.0,0.0
2020-02-12T00:00:00,955.0,0.0,0.0,940.0,925.0,925.0,-30.0,220700.0,205300500.0,154.0,101.1,935.0,12800.0,925.0,51400.0,9468359000.0,9464897500.0,9468359000.0,3800.0,0.0,,0.0,0.0,0.0
2020-02-13T00:00:00,925.0,0.0,0.0,950.0,915.0,920.0,-5.0,150300.0,138308500.0,122.0,100.5,920.0,2400.0,915.0,77500.0,9468359000.0,9464897500.0,9468359000.0,2200.0,200.0,,0.0,0.0,0.0
2020-02-14T00:00:00,920.0,0.0,0.0,950.0,915.0,925.0,5.0,52800.0,48613500.0,61.0,101.1,930.0,1600.0,920.0,26800.0,9468359000.0,9464897500.0,9468359000.0,800.0,0.0,,0.0,0.0,0.0
2020-02-17T00:00:00,925.0,0.0,0.0,940.0,920.0,925.0,0.0,52600.0,48662000.0,65.0,101.1,930.0,5900.0,925.0,17700.0,9468359000.0,9464897500.0,9468359000.0,900.0,0.0,,0.0,0.0,0.0
2020-02-18T00:00:00,925.0,0.0,0.0,960.0,915.0,950.0,25.0,262500.0,246699000.0,184.0,103.8,950.0,17400.0,935.0,19000.0,9468359000.0,9464897500.0,9468359000.0,9700.0,0.0,,0.0,0.0,0.0
2020-02-19T00:00:00,950.0,0.0,0.0,975.0,915.0,950.0,0.0,78800.0,73848000.0,117.0,103.8,950.0,20600.0,930.0,151000.0,9468359000.0,9464897500.0,9468359000.0,6800.0,0.0,,0.0,0.0,0.0
2020-02-20T00:00:00,950.0,0.0,0.0,950.0,925.0,950.0,0.0,273900.0,257125500.0,113.0,103.8,950.0,38400.0,930.0,10500.0,9468359000.0,9464897500.0,9468359000.0,7500.0,0.0,,0.0,0.0,0.0
2020-02-21T00:00:00,950.0,0.0,0.0,950.0,920.0,935.0,-15.0,75700.0,70061500.0,68.0,102.2,935.0,20200.0,920.0,25800.0,9468359000.0,9464897500.0,9468359000.0,3400.0,0.0,,0.0,0.0,0.0
2020-02-24T00:00:00,935.0,0.0,0.0,935.0,910.0,915.0,-20.0,205600.0,188015000.0,76.0,100.0,935.0,18900.0,915.0,43600.0,9468359000.0,9464897500.0,9468359000.0,1700.0,0.0,,0.0,0.0,0.0
2020-02-25T00:00:00,915.0,0.0,0.0,920.0,895.0,915.0,0.0,462100.0,417407000.0,115.0,100.0,920.0,26200.0,915.0,107800.0,9468359000.0,9464897500.0,9468359000.0,7800.0,0.0,,0.0,0.0,0.0
2020-02-26T00:00:00,915.0,0.0,0.0,920.0,905.0,910.0,-5.0,61300.0,55812500.0,41.0,99.5,910.0,600.0,905.0,31400.0,9468359000.0,9464897500.0,9468359000.0,0.0,0.0,,0.0,0.0,0.0
