date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,270.0,0.0,0.0,274.0,262.0,274.0,4.0,24300.0,6632400.0,11.0,249.1,270.0,1400.0,264.0,2000.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,145401089.0,55118761553.0,2.0
2019-07-30,274.0,0.0,0.0,274.0,274.0,274.0,0.0,600.0,164400.0,4.0,249.1,270.0,4600.0,266.0,3100.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,274.0,0.0,0.0,272.0,260.0,272.0,-2.0,7300.0,1975000.0,9.0,247.3,272.0,800.0,260.0,6900.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,272.0,0.0,0.0,262.0,258.0,262.0,-10.0,1300.0,338000.0,3.0,238.2,272.0,100.0,264.0,100.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,262.0,0.0,0.0,272.0,262.0,272.0,10.0,3300.0,870000.0,5.0,247.3,272.0,3400.0,262.0,34300.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,272.0,0.0,0.0,276.0,260.0,260.0,-12.0,200.0,53600.0,2.0,236.4,268.0,100.0,260.0,1100.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,260.0,0.0,0.0,272.0,270.0,270.0,10.0,1200.0,324200.0,3.0,245.5,268.0,25000.0,262.0,3000.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,270.0,0.0,0.0,278.0,270.0,270.0,0.0,29200.0,7884800.0,4.0,245.5,272.0,10000.0,270.0,400.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,270.0,0.0,0.0,270.0,270.0,270.0,0.0,10000.0,2700000.0,2.0,245.5,274.0,600.0,268.0,10000.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,270.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,245.5,274.0,500.0,260.0,500.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,270.0,0.0,0.0,270.0,270.0,270.0,0.0,5100.0,1377000.0,2.0,245.5,274.0,300.0,270.0,4900.0,6255638604.0,6255638604.0,6255638604.0,0.0,0.0,,0.0,0.0,0.0
