date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,2250.0,0.0,0.0,2250.0,2200.0,2250.0,0.0,50400.0,113395000.0,5.0,828.2,2250.0,4100.0,2230.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,2250.0,0.0,0.0,2250.0,2210.0,2220.0,-30.0,700.0,1565000.0,7.0,817.2,2220.0,100.0,2210.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,2220.0,0.0,0.0,2240.0,2230.0,2240.0,20.0,10300.0,23068000.0,6.0,824.5,2240.0,1400.0,2220.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,2240.0,0.0,0.0,2240.0,2230.0,2230.0,-10.0,19900.0,44378000.0,7.0,820.8,2230.0,7900.0,2220.0,10000.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,2230.0,0.0,0.0,2230.0,2220.0,2230.0,0.0,5200.0,11560000.0,10.0,820.8,2230.0,1800.0,2210.0,2900.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,2230.0,0.0,0.0,2210.0,2100.0,2160.0,-70.0,60500.0,129082000.0,23.0,795.1,2180.0,300.0,2160.0,1100.0,1120000000.0,1120000000.0,1120000000.0,35000.0,0.0,,0.0,0.0,0.0
2019-08-06,2160.0,0.0,0.0,2200.0,2160.0,2170.0,10.0,10900.0,23552000.0,10.0,798.8,2200.0,1500.0,2160.0,5400.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,2170.0,0.0,0.0,2200.0,2170.0,2200.0,30.0,300.0,657000.0,3.0,809.8,2240.0,200.0,2170.0,700.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,2200.0,0.0,0.0,2200.0,2200.0,2200.0,0.0,100.0,220000.0,1.0,809.8,2290.0,700.0,2180.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,2200.0,0.0,0.0,2230.0,2230.0,2230.0,30.0,300.0,669000.0,2.0,820.8,2230.0,400.0,2200.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,2230.0,0.0,0.0,2240.0,2230.0,2230.0,0.0,1000.0,2236000.0,6.0,820.8,2230.0,14000.0,2220.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,2230.0,0.0,0.0,2230.0,2230.0,2230.0,0.0,3400.0,7582000.0,4.0,820.8,2280.0,100.0,2230.0,2800.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,2230.0,0.0,0.0,2290.0,2230.0,2290.0,60.0,300.0,675000.0,2.0,842.9,2290.0,600.0,2200.0,13300.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,2290.0,0.0,0.0,2280.0,2270.0,2280.0,-10.0,800.0,1822000.0,6.0,839.2,2280.0,1800.0,2260.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,2280.0,0.0,0.0,2280.0,2270.0,2270.0,-10.0,600.0,1364000.0,3.0,835.6,2280.0,200.0,2270.0,1200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,2270.0,0.0,0.0,2260.0,2260.0,2260.0,-10.0,1200.0,2712000.0,6.0,831.9,2300.0,3400.0,2250.0,800.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,2260.0,0.0,0.0,2260.0,2220.0,2220.0,-40.0,3900.0,8801000.0,11.0,817.2,2220.0,235200.0,2200.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,100.0,,0.0,0.0,0.0
2019-08-21,2220.0,0.0,0.0,2230.0,2200.0,2230.0,10.0,400.0,887000.0,4.0,820.8,2230.0,400.0,2200.0,10600.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,2230.0,0.0,0.0,2600.0,2250.0,2270.0,40.0,67500.0,159017000.0,32.0,835.6,2270.0,19600.0,2250.0,8300.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,2270.0,0.0,0.0,2300.0,2270.0,2300.0,30.0,3200.0,7280000.0,7.0,846.6,2300.0,3800.0,2260.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,2300.0,0.0,0.0,2300.0,2290.0,2300.0,0.0,600.0,1378000.0,4.0,846.6,2300.0,3100.0,2180.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,2300.0,0.0,0.0,2300.0,2300.0,2300.0,0.0,600.0,1380000.0,2.0,846.6,2300.0,4100.0,2150.0,10000.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,2300.0,0.0,0.0,2400.0,2200.0,2250.0,-50.0,20700.0,45902000.0,29.0,828.2,2250.0,23900.0,2200.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,2250.0,0.0,0.0,2250.0,2180.0,2240.0,-10.0,24300.0,53477000.0,7.0,824.5,2240.0,1000.0,2210.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30,2240.0,0.0,0.0,2210.0,2150.0,2200.0,-40.0,7700.0,16931000.0,7.0,809.8,2240.0,800.0,2200.0,300.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,2200.0,0.0,0.0,2270.0,2180.0,2250.0,50.0,14700.0,32062000.0,9.0,828.2,2250.0,2400.0,2190.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,2250.0,0.0,0.0,2250.0,2200.0,2200.0,-50.0,400.0,885000.0,2.0,809.8,2240.0,10000.0,2200.0,700.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,2200.0,0.0,0.0,2250.0,2150.0,2150.0,-50.0,28200.0,61011000.0,15.0,791.4,2240.0,100.0,2150.0,600.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05,2150.0,0.0,0.0,2250.0,2150.0,2240.0,90.0,3400.0,7575000.0,10.0,824.5,2260.0,2600.0,2160.0,1200.0,1120000000.0,1120000000.0,1120000000.0,0.0,200.0,,0.0,0.0,0.0
2019-09-06,2240.0,0.0,0.0,2240.0,2170.0,2170.0,-70.0,4800.0,10430000.0,4.0,798.8,2260.0,400.0,2170.0,16600.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-09,2170.0,0.0,0.0,2260.0,2200.0,2200.0,30.0,1900.0,4188000.0,7.0,809.8,2200.0,13500.0,2180.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-10,2200.0,0.0,0.0,2260.0,2210.0,2260.0,60.0,600.0,1331000.0,5.0,831.9,2250.0,300.0,2200.0,1400.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-11,2260.0,0.0,0.0,2260.0,2170.0,2260.0,0.0,600.0,1320000.0,6.0,831.9,2260.0,2500.0,2200.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-12,2260.0,0.0,0.0,2260.0,2200.0,2260.0,0.0,200.0,446000.0,2.0,831.9,2260.0,1600.0,2200.0,14600.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13,2260.0,0.0,0.0,2250.0,2200.0,2250.0,-10.0,25100.0,55235000.0,10.0,828.2,2250.0,2400.0,2200.0,11600.0,1120000000.0,1120000000.0,1120000000.0,5000.0,0.0,,0.0,0.0,0.0
2019-09-16,2250.0,0.0,0.0,2250.0,2150.0,2200.0,-50.0,16600.0,35769000.0,13.0,809.8,2200.0,100.0,2150.0,10300.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-17,2200.0,0.0,0.0,2230.0,2230.0,2230.0,30.0,100.0,223000.0,1.0,820.8,2230.0,2800.0,2150.0,10100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-18,2230.0,0.0,0.0,0.0,0.0,2230.0,0.0,0.0,0.0,0.0,820.8,2220.0,2800.0,2150.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-19,2230.0,0.0,0.0,2160.0,2160.0,2160.0,-70.0,100.0,216000.0,1.0,795.1,2220.0,100.0,2150.0,600.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-20,2160.0,0.0,0.0,2200.0,2200.0,2200.0,40.0,4800.0,10560000.0,2.0,809.8,2220.0,100.0,2160.0,10300.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-23,2200.0,0.0,0.0,2200.0,2170.0,2170.0,-30.0,15800.0,34335000.0,11.0,798.8,2230.0,500.0,2170.0,1400.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-24,2170.0,0.0,0.0,2220.0,2170.0,2210.0,40.0,13300.0,28877000.0,14.0,813.5,2210.0,400.0,2170.0,1100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-25,2210.0,0.0,0.0,2200.0,2180.0,2200.0,-10.0,200.0,438000.0,2.0,809.8,2200.0,2900.0,2180.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-26,2200.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,809.8,2220.0,400.0,2170.0,3900.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-27,2200.0,0.0,0.0,2170.0,2170.0,2170.0,-30.0,1900.0,4123000.0,1.0,798.8,2220.0,400.0,2170.0,4300.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-30,2170.0,0.0,0.0,2210.0,2160.0,2210.0,40.0,10800.0,23392000.0,11.0,813.5,2220.0,400.0,2170.0,300.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-01,2210.0,0.0,0.0,0.0,0.0,2210.0,0.0,0.0,0.0,0.0,813.5,2220.0,400.0,2170.0,3500.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-02,2210.0,0.0,0.0,2210.0,2170.0,2170.0,-40.0,14900.0,32341000.0,12.0,798.8,2170.0,300.0,2160.0,3500.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-03,2170.0,0.0,0.0,2190.0,2140.0,2190.0,20.0,27300.0,58752000.0,13.0,806.1,2190.0,2500.0,2140.0,8000.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-04,2190.0,0.0,0.0,2190.0,2190.0,2190.0,0.0,100.0,219000.0,1.0,806.1,2190.0,2300.0,2150.0,600.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-07,2190.0,0.0,0.0,0.0,0.0,2190.0,0.0,0.0,0.0,0.0,806.1,2190.0,500.0,2160.0,500.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-08,2190.0,0.0,0.0,2140.0,2130.0,2140.0,-50.0,800.0,1708000.0,4.0,787.7,2210.0,500.0,2150.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-09,2140.0,0.0,0.0,2170.0,2170.0,2170.0,30.0,100.0,217000.0,1.0,798.8,2210.0,100.0,2170.0,1600.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-10,2170.0,0.0,0.0,2220.0,2220.0,2220.0,50.0,1200.0,2664000.0,4.0,817.2,2220.0,4700.0,2170.0,500.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-11,2220.0,0.0,0.0,2200.0,2200.0,2200.0,-20.0,100.0,220000.0,1.0,809.8,2210.0,700.0,2160.0,2000.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-14,2200.0,0.0,0.0,2210.0,2200.0,2200.0,0.0,1800.0,3968000.0,6.0,809.8,2200.0,100.0,2120.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-15,2200.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,809.8,2200.0,2000.0,2130.0,5500.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-16,2200.0,0.0,0.0,2210.0,2210.0,2210.0,10.0,100.0,221000.0,1.0,813.5,2210.0,1800.0,2140.0,2000.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-17,2210.0,0.0,0.0,2190.0,2190.0,2190.0,-20.0,17600.0,38544000.0,6.0,806.1,2190.0,1700.0,2150.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-18,2190.0,0.0,0.0,2190.0,2190.0,2190.0,0.0,1700.0,3723000.0,5.0,806.1,2190.0,800.0,2180.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-21,2190.0,0.0,0.0,2190.0,2190.0,2190.0,0.0,13000.0,28470000.0,6.0,806.1,2190.0,3800.0,2180.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-22,2190.0,0.0,0.0,0.0,0.0,2190.0,0.0,0.0,0.0,0.0,806.1,2190.0,500.0,2180.0,100.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-23,2190.0,0.0,0.0,2220.0,2220.0,2220.0,30.0,1700.0,3774000.0,5.0,817.2,2200.0,100.0,2190.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-24,2220.0,0.0,0.0,2220.0,2220.0,2220.0,0.0,4400.0,9768000.0,8.0,817.2,2230.0,200.0,2220.0,800.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-25,2220.0,0.0,0.0,2240.0,2220.0,2230.0,10.0,15500.0,34604000.0,10.0,820.8,2230.0,9000.0,2200.0,2000.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-28,2230.0,0.0,0.0,2270.0,2230.0,2260.0,30.0,149700.0,336886000.0,33.0,831.9,2270.0,300.0,2230.0,8100.0,1120000000.0,1120000000.0,1120000000.0,3300.0,0.0,,0.0,0.0,0.0
2019-10-29,2260.0,0.0,0.0,2260.0,2220.0,2240.0,-20.0,5100.0,11442000.0,9.0,824.5,2240.0,3800.0,2230.0,100.0,1120000000.0,1120000000.0,1120000000.0,500.0,0.0,,0.0,0.0,0.0
2019-10-30,2240.0,0.0,0.0,2250.0,2220.0,2240.0,0.0,92200.0,205681000.0,52.0,824.5,2240.0,2500.0,2220.0,2300.0,1120000000.0,1120000000.0,1120000000.0,10200.0,500.0,,0.0,0.0,0.0
2019-10-31,2240.0,0.0,0.0,2240.0,2220.0,2220.0,-20.0,14800.0,32899000.0,35.0,817.2,2240.0,1300.0,2220.0,200.0,1120000000.0,1120000000.0,1120000000.0,0.0,0.0,,0.0,0.0,0.0
