date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,109.0,0.0,0.0,143.0,109.0,119.0,10.0,8141600.0,1044145900.0,1548.0,79.3,120.0,22600.0,119.0,316200.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,119.0,0.0,0.0,139.0,115.0,136.0,17.0,5165700.0,688420500.0,944.0,90.7,137.0,98100.0,136.0,7800.0,8637564806.0,8637564806.0,8637564806.0,100000.0,0.0,,0.0,0.0,0.0
2019-07-31,136.0,0.0,0.0,151.0,121.0,151.0,15.0,2923000.0,414247300.0,367.0,100.7,151.0,72500.0,131.0,1200.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,151.0,0.0,0.0,150.0,140.0,145.0,-6.0,805900.0,117096000.0,237.0,96.7,145.0,300.0,144.0,45400.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,145.0,0.0,0.0,153.0,142.0,152.0,7.0,1305300.0,191301800.0,127.0,101.3,152.0,21000.0,148.0,400.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,152.0,0.0,0.0,160.0,145.0,155.0,3.0,416300.0,64244100.0,166.0,103.3,155.0,5000.0,149.0,32900.0,8637564806.0,8637564806.0,8637564806.0,15600.0,0.0,,0.0,0.0,0.0
2019-08-06,155.0,0.0,0.0,158.0,150.0,155.0,0.0,406800.0,63109700.0,132.0,103.3,155.0,20000.0,153.0,100.0,8637564806.0,8637564806.0,8637564806.0,8000.0,0.0,,0.0,0.0,0.0
2019-08-07,155.0,0.0,0.0,200.0,150.0,186.0,31.0,1849600.0,309244600.0,362.0,124.0,186.0,74700.0,185.0,1000.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,186.0,0.0,0.0,192.0,162.0,173.0,-13.0,2395900.0,417979600.0,561.0,115.3,173.0,6600.0,170.0,6700.0,8637564806.0,8637564806.0,8637564806.0,121200.0,0.0,,0.0,0.0,0.0
2019-08-09,173.0,0.0,0.0,178.0,159.0,161.0,-12.0,2188300.0,370981100.0,341.0,107.3,162.0,100.0,161.0,600.0,8637564806.0,8637564806.0,8637564806.0,0.0,25000.0,,0.0,0.0,0.0
2019-08-12,161.0,0.0,0.0,167.0,153.0,162.0,1.0,151400.0,24498300.0,131.0,108.0,164.0,1500.0,162.0,800.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,162.0,0.0,0.0,182.0,160.0,175.0,13.0,2767700.0,480793100.0,458.0,116.7,175.0,617700.0,174.0,2400.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,175.0,0.0,0.0,180.0,170.0,173.0,-2.0,899600.0,154034000.0,206.0,115.3,173.0,113000.0,172.0,2100.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,173.0,0.0,0.0,176.0,168.0,172.0,-1.0,3130500.0,546099700.0,280.0,114.7,174.0,10500.0,171.0,4400.0,8637564806.0,8637564806.0,8637564806.0,0.0,10000.0,,0.0,0.0,0.0
2019-08-16,172.0,0.0,0.0,175.0,169.0,172.0,0.0,351200.0,60666400.0,111.0,114.7,174.0,30000.0,172.0,300.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,172.0,0.0,0.0,176.0,164.0,172.0,0.0,697700.0,120321600.0,179.0,114.7,175.0,500.0,172.0,1000.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,172.0,0.0,0.0,190.0,172.0,188.0,16.0,1627100.0,294661400.0,423.0,125.3,188.0,42700.0,183.0,5200.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,188.0,0.0,0.0,195.0,177.0,190.0,2.0,1304800.0,244082800.0,399.0,126.7,190.0,77900.0,188.0,100.0,8637564806.0,8637564806.0,8637564806.0,379400.0,0.0,,1730000.0,519000000.0,1.0
2019-08-22,190.0,0.0,0.0,192.0,183.0,190.0,0.0,370800.0,69712500.0,161.0,126.7,190.0,95300.0,186.0,1000.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,190.0,0.0,0.0,204.0,186.0,200.0,10.0,1849800.0,364146200.0,245.0,133.3,202.0,51000.0,200.0,197400.0,8637564806.0,8637564806.0,8637564806.0,0.0,10000.0,,0.0,0.0,0.0
2019-08-26,200.0,0.0,0.0,256.0,200.0,234.0,34.0,10151900.0,2362150800.0,2409.0,156.0,236.0,28000.0,234.0,154000.0,8637564806.0,8637564806.0,8637564806.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,234.0,0.0,0.0,268.0,206.0,262.0,28.0,12757800.0,3050638600.0,1673.0,174.7,262.0,108500.0,260.0,170900.0,8637564806.0,8637564806.0,8637564806.0,20000.0,20000.0,,0.0,0.0,0.0
2019-08-28,262.0,0.0,0.0,290.0,256.0,274.0,12.0,9135200.0,2482747000.0,1393.0,182.7,274.0,268900.0,268.0,37300.0,8637564806.0,8637564806.0,8637564806.0,59200.0,265000.0,,0.0,0.0,0.0
2019-08-29,274.0,0.0,0.0,276.0,260.0,276.0,2.0,7021800.0,1900563000.0,561.0,184.0,276.0,615600.0,264.0,1000.0,8637564806.0,8637564806.0,8637564806.0,0.0,66800.0,,0.0,0.0,0.0
2019-08-30,276.0,0.0,0.0,276.0,262.0,272.0,-4.0,4797100.0,1289557400.0,267.0,181.3,272.0,250000.0,262.0,43700.0,8638664806.0,8638664806.0,8638664806.0,43000.0,20200.0,,0.0,0.0,0.0
2019-09-02,272.0,0.0,0.0,272.0,254.0,256.0,-16.0,4771900.0,1238575600.0,310.0,170.7,256.0,239600.0,254.0,38400.0,8638664806.0,8638664806.0,8638664806.0,0.0,6700.0,,0.0,0.0,0.0
2019-09-03,256.0,0.0,0.0,256.0,234.0,234.0,-22.0,2233400.0,538795400.0,258.0,156.0,236.0,12800.0,234.0,18100.0,8646036725.0,8646036725.0,8646036725.0,35000.0,30900.0,,0.0,0.0,0.0
2019-09-04,234.0,0.0,0.0,240.0,220.0,234.0,0.0,1507800.0,347295000.0,275.0,156.0,234.0,119000.0,232.0,128100.0,8646036725.0,8646036725.0,8646036725.0,0.0,20000.0,,0.0,0.0,0.0
