date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1890.0,1895.0,1895.0,1915.0,1845.0,1880.0,-10.0,11940500.0,22405718500.0,3280.0,188.0,1885.0,98500.0,1880.0,18700.0,3190000000.0,3190000000.0,3190000000.0,1945300.0,1550000.0,,793400.0,1475724000.0,1.0
2019-07-30,1880.0,1880.0,1885.0,2010.0,1860.0,1995.0,115.0,47691600.0,93729935000.0,8775.0,199.5,2000.0,3734900.0,1995.0,578000.0,3190000000.0,3190000000.0,3190000000.0,1246900.0,1973000.0,,200000.0,390000000.0,2.0
2019-07-31,1995.0,1980.0,1980.0,2130.0,1955.0,2100.0,105.0,82219700.0,170310438000.0,13133.0,210.0,2100.0,6189000.0,2090.0,1085800.0,3190000000.0,3190000000.0,3190000000.0,2607500.0,1095600.0,,27634.0,57757400.0,7.0
2019-08-01,2100.0,2090.0,2090.0,2160.0,1980.0,1990.0,-110.0,42100900.0,87413686000.0,7736.0,199.0,1990.0,2342400.0,1985.0,242000.0,3190000000.0,3190000000.0,3190000000.0,1975800.0,829900.0,,68.0,135320.0,1.0
2019-08-02,1990.0,1965.0,1960.0,2050.0,1905.0,2010.0,20.0,36141300.0,71848767500.0,7040.0,201.0,2020.0,678300.0,2010.0,20000.0,3190000000.0,3190000000.0,3190000000.0,1828800.0,2108400.0,,44.0,88440.0,2.0
2019-08-05,2010.0,2000.0,1995.0,2020.0,1850.0,1855.0,-155.0,29139200.0,56097057500.0,5745.0,185.5,1860.0,60000.0,1855.0,267600.0,3190000000.0,3190000000.0,3190000000.0,1202300.0,1173400.0,,200022.0,365640810.0,2.0
2019-08-06,1855.0,1805.0,1805.0,1915.0,1740.0,1840.0,-15.0,39631300.0,72769989500.0,6572.0,184.0,1845.0,92200.0,1840.0,270700.0,3190000000.0,3190000000.0,3190000000.0,2243300.0,4046200.0,,445007.0,864012985.0,3.0
2019-08-07,1840.0,1860.0,1865.0,1915.0,1850.0,1885.0,45.0,26695000.0,50349373500.0,4910.0,188.5,1890.0,223300.0,1885.0,210300.0,3190000000.0,3190000000.0,3190000000.0,1855700.0,802300.0,,0.0,0.0,0.0
2019-08-08,1885.0,1900.0,1905.0,1960.0,1890.0,1920.0,35.0,24917700.0,47887335500.0,5411.0,192.0,1925.0,235900.0,1920.0,184000.0,3190000000.0,3190000000.0,3190000000.0,1047500.0,705800.0,,500000.0,804500000.0,2.0
2019-08-09,1920.0,1935.0,1935.0,1970.0,1915.0,1915.0,-5.0,19448300.0,37668483500.0,4068.0,191.5,1920.0,82600.0,1915.0,224400.0,3190000000.0,3190000000.0,3190000000.0,384600.0,591400.0,,40784.0,78508360.0,2.0
2019-08-12,1915.0,1920.0,1925.0,2120.0,1920.0,2080.0,165.0,83165200.0,170112149500.0,11114.0,208.0,2090.0,952800.0,2080.0,1102900.0,3190000000.0,3190000000.0,3190000000.0,451300.0,2210500.0,,1674800.0,3467538400.0,4.0
2019-08-13,2080.0,2080.0,2080.0,2210.0,2050.0,2180.0,100.0,66897100.0,145168683000.0,12205.0,218.0,2180.0,1741600.0,2170.0,561400.0,3190000000.0,3190000000.0,3190000000.0,1524800.0,1007100.0,,4005800.0,8744285200.0,2.0
2019-08-14,2180.0,2200.0,2210.0,2250.0,2130.0,2160.0,-20.0,39148300.0,85701294000.0,8233.0,216.0,2160.0,137300.0,2150.0,468100.0,3190000000.0,3190000000.0,3190000000.0,1345900.0,1669500.0,,3059400.0,6729180000.0,2.0
2019-08-15,2160.0,2120.0,2110.0,2170.0,2080.0,2130.0,-30.0,25218900.0,53613594000.0,3724.0,213.0,2140.0,242700.0,2130.0,147600.0,3190000000.0,3190000000.0,3190000000.0,277800.0,663800.0,,0.0,0.0,0.0
2019-08-16,2130.0,2130.0,2120.0,2130.0,1965.0,2000.0,-130.0,71278400.0,143717398500.0,11054.0,200.0,2000.0,772500.0,1995.0,116800.0,3190000000.0,3190000000.0,3190000000.0,8066600.0,1064300.0,,1100000.0,2310000000.0,2.0
2019-08-19,2000.0,1970.0,1965.0,1970.0,1905.0,1930.0,-70.0,47139500.0,91163442000.0,10044.0,193.0,1930.0,261700.0,1925.0,435000.0,3190000000.0,3190000000.0,3190000000.0,966100.0,1636200.0,,310018.0,595734740.0,3.0
2019-08-20,1930.0,1935.0,1940.0,1965.0,1865.0,1875.0,-55.0,39544700.0,75185208000.0,8088.0,187.5,1880.0,46000.0,1875.0,7400.0,3190000000.0,3190000000.0,3190000000.0,1717300.0,1180200.0,,82100.0,162213000.0,3.0
2019-08-21,1875.0,1885.0,1885.0,1925.0,1815.0,1835.0,-40.0,51135500.0,95445488000.0,8615.0,183.5,1835.0,287100.0,1830.0,255100.0,3190000000.0,3190000000.0,3190000000.0,1345400.0,1112700.0,,300000.0,556000000.0,3.0
2019-08-22,1835.0,1830.0,1830.0,1830.0,1655.0,1655.0,-180.0,86086900.0,149752477000.0,16860.0,165.5,1660.0,405200.0,1655.0,1304800.0,3190000000.0,3190000000.0,3190000000.0,5582800.0,1775000.0,,15000.0,31500000.0,1.0
2019-08-23,1655.0,1660.0,1665.0,1680.0,1475.0,1480.0,-175.0,97513000.0,150652324500.0,15029.0,148.0,1480.0,179600.0,1475.0,374600.0,3190000000.0,3190000000.0,3190000000.0,6751800.0,9395100.0,,24800.0,38711000.0,5.0
2019-08-26,1480.0,1410.0,1420.0,1550.0,1405.0,1520.0,40.0,73752900.0,110936055500.0,12385.0,152.0,1525.0,225800.0,1520.0,594000.0,3190000000.0,3190000000.0,3190000000.0,2395400.0,5360900.0,,0.0,0.0,0.0
2019-08-27,1520.0,1535.0,1540.0,1680.0,1510.0,1625.0,105.0,126126100.0,203541848000.0,18043.0,162.5,1630.0,143300.0,1625.0,778900.0,3190000000.0,3190000000.0,3190000000.0,5813200.0,3052500.0,,2657500.0,4373812500.0,17.0
2019-08-28,1625.0,1640.0,1640.0,1655.0,1530.0,1550.0,-75.0,49014200.0,77396023000.0,9740.0,155.0,1555.0,132600.0,1550.0,1125600.0,3190000000.0,3190000000.0,3190000000.0,1273900.0,3764800.0,,3200.0,5024000.0,1.0
2019-08-29,1550.0,1560.0,1565.0,1615.0,1555.0,1575.0,25.0,30585200.0,48525777500.0,5398.0,157.5,1575.0,352600.0,1570.0,143500.0,3190000000.0,3190000000.0,3190000000.0,731500.0,2270200.0,,0.0,0.0,0.0
2019-08-30,1575.0,1585.0,1585.0,1600.0,1550.0,1550.0,-25.0,11911900.0,18700280000.0,3166.0,155.0,1550.0,706800.0,1545.0,224900.0,3190000000.0,3190000000.0,3190000000.0,279800.0,2163100.0,,1757064.0,2752872200.0,3.0
2019-09-02,1550.0,1560.0,1560.0,1610.0,1550.0,1550.0,0.0,23743800.0,37489531500.0,3689.0,155.0,1555.0,186800.0,1550.0,216900.0,3190000000.0,3190000000.0,3190000000.0,903600.0,402000.0,,14000.0,25200000.0,1.0
2019-09-03,1550.0,1555.0,1560.0,1575.0,1455.0,1470.0,-80.0,21611400.0,32212783000.0,5453.0,147.0,1475.0,29500.0,1470.0,52900.0,3190000000.0,3190000000.0,3190000000.0,804200.0,1619500.0,,0.0,0.0,0.0
2019-09-04,1470.0,1485.0,1480.0,1595.0,1460.0,1595.0,125.0,43898200.0,67882109000.0,11245.0,159.5,1600.0,1543400.0,1595.0,114800.0,3190000000.0,3190000000.0,3190000000.0,1555400.0,1847400.0,,3076900.0,4829990900.0,2.0
