date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,63.0,0.0,0.0,67.0,62.0,62.0,-1.0,4100.0,265400.0,6.0,5.1,65.0,100.0,62.0,3800.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,62.0,0.0,0.0,73.0,71.0,71.0,9.0,5700.0,405500.0,3.0,5.8,68.0,100.0,64.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,71.0,0.0,0.0,69.0,62.0,63.0,-8.0,7000.0,454700.0,20.0,5.2,68.0,5000.0,64.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,63.0,0.0,0.0,69.0,65.0,67.0,4.0,13000.0,875700.0,15.0,5.5,67.0,9200.0,65.0,2500.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,67.0,0.0,0.0,67.0,61.0,61.0,-6.0,6600.0,411800.0,10.0,5.0,67.0,3100.0,61.0,9000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,61.0,0.0,0.0,69.0,65.0,65.0,4.0,6400.0,417200.0,8.0,5.4,65.0,6700.0,64.0,10900.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,65.0,0.0,0.0,65.0,60.0,65.0,0.0,15400.0,945400.0,8.0,5.4,65.0,9000.0,57.0,30000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,65.0,0.0,0.0,70.0,66.0,70.0,5.0,20500.0,1354400.0,7.0,5.8,68.0,21600.0,65.0,11600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,70.0,0.0,0.0,78.0,69.0,69.0,-1.0,2700.0,194700.0,5.0,5.7,68.0,100.0,65.0,60100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,69.0,0.0,0.0,69.0,65.0,69.0,0.0,600.0,40000.0,5.0,5.7,68.0,6600.0,66.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,69.0,0.0,0.0,66.0,64.0,64.0,-5.0,41300.0,2644500.0,7.0,5.3,67.0,200.0,63.0,500.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,64.0,0.0,0.0,64.0,64.0,64.0,0.0,1700.0,108800.0,7.0,5.3,64.0,39000.0,62.0,1500.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,64.0,0.0,0.0,60.0,60.0,60.0,-4.0,1700.0,102000.0,3.0,4.9,64.0,41100.0,60.0,2500.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,60.0,0.0,0.0,60.0,54.0,60.0,0.0,2700.0,159000.0,8.0,4.9,66.0,38000.0,60.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,60.0,0.0,0.0,69.0,69.0,69.0,9.0,100.0,6900.0,1.0,5.7,65.0,100.0,59.0,200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,69.0,0.0,0.0,65.0,65.0,65.0,-4.0,22400.0,1456000.0,5.0,5.4,67.0,200.0,62.0,1000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,65.0,0.0,0.0,66.0,66.0,66.0,1.0,100.0,6600.0,1.0,5.4,66.0,59200.0,62.0,200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,5.4,65.0,100.0,60.0,28000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,66.0,0.0,0.0,65.0,55.0,60.0,-6.0,27200.0,1609400.0,4.0,4.9,65.0,18600.0,60.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,300000.0,15000000.0,1.0
2019-08-23,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,4.9,65.0,1500.0,60.0,1200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,60.0,0.0,0.0,65.0,61.0,64.0,4.0,400.0,25100.0,3.0,5.3,64.0,1200.0,63.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,64.0,0.0,0.0,65.0,60.0,65.0,1.0,25500.0,1541600.0,11.0,5.4,65.0,30600.0,61.0,2000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,65.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,5.4,65.0,33500.0,62.0,2000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,65.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,5.4,64.0,300.0,62.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30,65.0,0.0,0.0,64.0,62.0,62.0,-3.0,1300.0,80800.0,5.0,5.1,62.0,8600.0,55.0,1100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,62.0,0.0,0.0,56.0,56.0,56.0,-6.0,39900.0,2234400.0,4.0,4.6,56.0,27500.0,55.0,200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,56.0,0.0,0.0,57.0,55.0,55.0,-1.0,140400.0,7742000.0,30.0,4.5,55.0,9100.0,54.0,3200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,55.0,0.0,0.0,62.0,51.0,59.0,4.0,65600.0,3392800.0,17.0,4.9,58.0,32100.0,57.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05,59.0,0.0,0.0,60.0,52.0,58.0,-1.0,3700.0,198500.0,11.0,4.8,58.0,70600.0,57.0,100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-06,58.0,0.0,0.0,61.0,55.0,58.0,0.0,1400.0,79000.0,13.0,4.8,57.0,30000.0,53.0,50000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-09,58.0,0.0,0.0,61.0,53.0,54.0,-4.0,55700.0,3026200.0,23.0,4.4,56.0,23000.0,54.0,67200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-10,54.0,0.0,0.0,72.0,56.0,72.0,18.0,2494100.0,172418100.0,312.0,5.9,72.0,129400.0,71.0,929500.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-11,72.0,0.0,0.0,97.0,72.0,97.0,25.0,6457100.0,567471800.0,706.0,8.0,0.0,0.0,97.0,113200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-12,97.0,0.0,0.0,130.0,100.0,115.0,18.0,11756300.0,1397194400.0,1570.0,9.5,115.0,61000.0,113.0,91000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13,115.0,0.0,0.0,118.0,84.0,84.0,-31.0,5767300.0,535927100.0,760.0,6.9,86.0,11000.0,84.0,355700.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-16,84.0,0.0,0.0,91.0,67.0,82.0,-2.0,1785400.0,148256000.0,389.0,6.8,82.0,6600.0,81.0,10100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-17,82.0,0.0,0.0,109.0,79.0,96.0,14.0,12072000.0,1203155900.0,1469.0,7.9,97.0,122100.0,96.0,43800.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-18,96.0,0.0,0.0,104.0,89.0,90.0,-6.0,1763200.0,164743100.0,372.0,7.4,93.0,8700.0,90.0,47700.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-19,90.0,0.0,0.0,95.0,83.0,83.0,-7.0,853300.0,74703600.0,152.0,6.8,86.0,2000.0,83.0,115600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-20,83.0,0.0,0.0,95.0,80.0,81.0,-2.0,497800.0,41882700.0,78.0,6.7,85.0,5000.0,81.0,36400.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-23,81.0,0.0,0.0,93.0,81.0,87.0,6.0,843600.0,74524500.0,199.0,7.2,85.0,38300.0,84.0,2600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-24,87.0,0.0,0.0,88.0,81.0,83.0,-4.0,323000.0,27091800.0,56.0,6.8,84.0,57000.0,83.0,10400.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-25,83.0,0.0,0.0,90.0,81.0,82.0,-1.0,512600.0,42355400.0,122.0,6.8,83.0,10000.0,82.0,25000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-26,82.0,0.0,0.0,91.0,82.0,83.0,1.0,1377000.0,117238800.0,192.0,6.8,84.0,17300.0,83.0,7800.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-27,83.0,0.0,0.0,87.0,83.0,83.0,0.0,356600.0,29946600.0,74.0,6.8,84.0,1900.0,83.0,4900.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-30,83.0,0.0,0.0,85.0,80.0,81.0,-2.0,136700.0,11220600.0,24.0,6.7,84.0,43100.0,81.0,65400.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-01,81.0,0.0,0.0,103.0,81.0,91.0,10.0,8914100.0,828781400.0,1265.0,7.5,92.0,59600.0,91.0,4600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-02,91.0,0.0,0.0,94.0,86.0,87.0,-4.0,3311600.0,296643900.0,380.0,7.2,87.0,16300.0,86.0,98000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-03,87.0,0.0,0.0,92.0,81.0,81.0,-6.0,635800.0,54216800.0,142.0,6.7,81.0,79600.0,80.0,56900.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-04,81.0,0.0,0.0,87.0,80.0,85.0,4.0,430500.0,36178200.0,110.0,7.0,84.0,1300.0,82.0,5100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-07,85.0,0.0,0.0,89.0,80.0,80.0,-5.0,411300.0,34571200.0,114.0,6.6,82.0,20000.0,81.0,190200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-08,80.0,0.0,0.0,83.0,80.0,81.0,1.0,201200.0,16244500.0,60.0,6.7,81.0,13900.0,80.0,275100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-09,81.0,0.0,0.0,83.0,80.0,81.0,0.0,409100.0,33272200.0,36.0,6.7,82.0,300.0,81.0,108900.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-10,81.0,0.0,0.0,84.0,81.0,81.0,0.0,142400.0,11637600.0,32.0,6.7,83.0,19700.0,81.0,100500.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-11,81.0,0.0,0.0,84.0,80.0,83.0,2.0,54800.0,4525400.0,22.0,6.8,83.0,7300.0,81.0,80000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-14,83.0,0.0,0.0,84.0,82.0,82.0,-1.0,43900.0,3606900.0,9.0,6.8,84.0,63700.0,82.0,34000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-15,82.0,0.0,0.0,83.0,81.0,83.0,1.0,58000.0,4720800.0,19.0,6.8,83.0,27100.0,82.0,200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-16,83.0,0.0,0.0,87.0,80.0,80.0,-3.0,53800.0,4333800.0,28.0,6.6,82.0,27900.0,80.0,55300.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-17,80.0,0.0,0.0,80.0,80.0,80.0,0.0,11500.0,920000.0,13.0,6.6,81.0,1000.0,80.0,9300.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-18,80.0,0.0,0.0,81.0,79.0,81.0,1.0,101100.0,8115000.0,31.0,6.7,81.0,23400.0,80.0,33000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-21,81.0,0.0,0.0,81.0,80.0,80.0,-1.0,44300.0,3569900.0,19.0,6.6,80.0,159400.0,79.0,17600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-22,80.0,0.0,0.0,80.0,77.0,77.0,-3.0,143400.0,11105300.0,45.0,6.3,78.0,5500.0,77.0,5000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-23,77.0,0.0,0.0,78.0,77.0,78.0,1.0,89400.0,6951500.0,71.0,6.4,78.0,10300.0,77.0,34200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-24,78.0,0.0,0.0,79.0,77.0,78.0,0.0,15600.0,1218700.0,9.0,6.4,78.0,9200.0,77.0,35900.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-25,78.0,0.0,0.0,76.0,75.0,76.0,-2.0,47900.0,3640300.0,29.0,6.3,76.0,2800.0,75.0,27900.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-28,76.0,0.0,0.0,77.0,75.0,77.0,1.0,53400.0,4047900.0,23.0,6.3,77.0,1700.0,76.0,600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-29,77.0,0.0,0.0,82.0,76.0,78.0,1.0,217300.0,17188200.0,55.0,6.4,79.0,300.0,78.0,4200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-30,78.0,0.0,0.0,78.0,73.0,75.0,-3.0,85600.0,6415900.0,25.0,6.2,77.0,1700.0,75.0,39400.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-31,75.0,0.0,0.0,79.0,75.0,77.0,2.0,61100.0,4711600.0,16.0,6.3,78.0,232500.0,77.0,1500.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-01,77.0,0.0,0.0,76.0,68.0,70.0,-7.0,197600.0,13858900.0,50.0,5.8,71.0,100.0,70.0,9100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-04,70.0,0.0,0.0,70.0,64.0,68.0,-2.0,209100.0,14077400.0,43.0,5.6,68.0,2500.0,66.0,300.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-05,68.0,0.0,0.0,72.0,65.0,68.0,0.0,154300.0,10406300.0,31.0,5.6,69.0,8800.0,66.0,13400.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-06,68.0,0.0,0.0,81.0,64.0,70.0,2.0,842100.0,61050500.0,162.0,5.8,69.0,17500.0,68.0,26500.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-07,70.0,0.0,0.0,76.0,65.0,66.0,-4.0,355100.0,24498900.0,61.0,5.4,71.0,400.0,66.0,5700.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-08,66.0,0.0,0.0,67.0,67.0,67.0,1.0,19400.0,1299800.0,4.0,5.5,68.0,1000.0,67.0,181900.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-11,67.0,0.0,0.0,71.0,67.0,71.0,4.0,3400.0,235100.0,7.0,5.8,71.0,20200.0,67.0,400.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-12,71.0,0.0,0.0,95.0,69.0,95.0,24.0,11226800.0,982163800.0,1010.0,7.8,0.0,0.0,95.0,1764600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-13,95.0,0.0,0.0,110.0,81.0,82.0,-13.0,9545500.0,877040800.0,860.0,6.8,85.0,62100.0,81.0,113200.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-14,82.0,0.0,0.0,90.0,72.0,81.0,-1.0,2537400.0,216653200.0,393.0,6.7,83.0,4000.0,81.0,109600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-15,81.0,0.0,0.0,84.0,71.0,77.0,-4.0,508900.0,40065800.0,85.0,6.3,78.0,4300.0,77.0,10600.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-18,77.0,0.0,0.0,81.0,67.0,69.0,-8.0,2145000.0,157578300.0,247.0,5.7,70.0,1000.0,69.0,506000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-19,69.0,0.0,0.0,77.0,65.0,68.0,-1.0,3379000.0,237175000.0,292.0,5.6,69.0,500.0,68.0,5100.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-20,68.0,0.0,0.0,71.0,62.0,62.0,-6.0,885900.0,59250700.0,89.0,5.1,66.0,6500.0,62.0,40000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-21,62.0,0.0,0.0,82.0,63.0,74.0,12.0,6729500.0,495012000.0,948.0,6.1,75.0,67500.0,74.0,52800.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-22,74.0,0.0,0.0,83.0,69.0,69.0,-5.0,3799100.0,287460400.0,328.0,5.7,70.0,30800.0,69.0,40400.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-25,69.0,0.0,0.0,76.0,66.0,68.0,-1.0,1297700.0,91497600.0,103.0,5.6,69.0,61100.0,68.0,215000.0,968297000.0,968297000.0,968297000.0,0.0,0.0,,0.0,0.0,0.0
