date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,199.0,0.0,0.0,202.0,164.0,165.0,-34.0,510320700.0,88726132300.0,21956.0,9.2,166.0,606100.0,165.0,1871700.0,193167346812.0,193167346812.0,193167346812.0,4326100.0,12055700.0,,1510000.0,304350000.0,4.0
2019-07-30,165.0,0.0,0.0,200.0,162.0,181.0,16.0,944802900.0,173589682200.0,28099.0,10.1,182.0,2608900.0,181.0,38111000.0,193167346812.0,193167346812.0,193167346812.0,119862700.0,49377300.0,,370000.0,109340000.0,2.0
2019-07-31,181.0,0.0,0.0,189.0,172.0,173.0,-8.0,272875000.0,49084635800.0,13157.0,9.6,174.0,693500.0,173.0,5038300.0,195165577137.0,195165577137.0,195165577137.0,30332500.0,1114800.0,,1500.0,277500.0,1.0
2019-08-01,173.0,0.0,0.0,183.0,173.0,180.0,7.0,128664500.0,23004120100.0,7210.0,10.0,181.0,1846400.0,180.0,2402200.0,195165577137.0,195165577137.0,195165577137.0,2231800.0,17315900.0,,100000.0,20000000.0,1.0
2019-08-02,180.0,0.0,0.0,181.0,174.0,176.0,-4.0,68035500.0,12017292700.0,3644.0,9.8,176.0,3613400.0,175.0,2126200.0,195165577137.0,195165577137.0,195165577137.0,9629800.0,12855600.0,,1000000.0,203000000.0,2.0
2019-08-05,176.0,0.0,0.0,176.0,163.0,163.0,-13.0,86926600.0,14568841600.0,5689.0,9.1,164.0,601000.0,163.0,296200.0,195165577137.0,195165577137.0,195165577137.0,2286200.0,15778500.0,,0.0,0.0,0.0
2019-08-06,163.0,0.0,0.0,171.0,145.0,163.0,0.0,180886500.0,29105131400.0,8431.0,9.1,164.0,1851300.0,163.0,9012400.0,195165577137.0,195165577137.0,195165577137.0,3524200.0,10821200.0,,0.0,0.0,0.0
2019-08-07,163.0,0.0,0.0,171.0,163.0,166.0,3.0,106443500.0,17808032600.0,4713.0,9.2,166.0,1374800.0,165.0,758200.0,195165577137.0,195165577137.0,195165577137.0,6313900.0,7283200.0,,0.0,0.0,0.0
2019-08-08,166.0,0.0,0.0,176.0,166.0,170.0,4.0,131918400.0,22594424300.0,8028.0,9.4,171.0,1201400.0,170.0,2175700.0,195165577137.0,195165577137.0,195165577137.0,15326200.0,9720600.0,,1000000.0,203000000.0,2.0
2019-08-09,170.0,0.0,0.0,174.0,167.0,167.0,-3.0,75355600.0,12795146700.0,4370.0,9.3,167.0,858800.0,166.0,1694600.0,195165577137.0,195165577137.0,195165577137.0,19591000.0,10813800.0,,0.0,0.0,0.0
2019-08-12,167.0,0.0,0.0,176.0,167.0,170.0,3.0,148114400.0,25445662400.0,9191.0,9.4,171.0,10830900.0,170.0,597700.0,195165577137.0,195165577137.0,195165577137.0,25700400.0,12771500.0,,0.0,0.0,0.0
2019-08-13,170.0,0.0,0.0,173.0,163.0,166.0,-4.0,109520300.0,18468218000.0,5664.0,9.2,167.0,1696400.0,166.0,405000.0,195165577137.0,195165577137.0,195165577137.0,21728100.0,11877900.0,,0.0,0.0,0.0
2019-08-14,166.0,0.0,0.0,170.0,164.0,165.0,-1.0,60251600.0,10046838700.0,3926.0,9.2,166.0,1048100.0,165.0,3992000.0,195165577137.0,195165577137.0,195165577137.0,2357900.0,12658100.0,,1340000.0,259200000.0,4.0
2019-08-15,165.0,0.0,0.0,168.0,160.0,166.0,1.0,51068000.0,8408810900.0,3677.0,9.2,166.0,355300.0,165.0,1194500.0,195165577137.0,195165577137.0,195165577137.0,4416800.0,12782900.0,,32784400.0,5575383000.0,2.0
2019-08-16,166.0,0.0,0.0,181.0,164.0,171.0,5.0,374839000.0,65011669900.0,12538.0,9.5,171.0,5009700.0,170.0,2357000.0,195165577137.0,195165577137.0,195165577137.0,74244800.0,53294500.0,,200200000.0,32035200000.0,2.0
2019-08-19,171.0,0.0,0.0,174.0,164.0,165.0,-6.0,140247500.0,23725387200.0,5661.0,9.2,166.0,576600.0,165.0,2180700.0,195165577137.0,195165577137.0,195165577137.0,19774700.0,35366900.0,,0.0,0.0,0.0
2019-08-20,165.0,0.0,0.0,170.0,165.0,167.0,2.0,81452300.0,13607009800.0,4678.0,9.3,167.0,5530400.0,166.0,792600.0,195165577137.0,195165577137.0,195165577137.0,13018400.0,23643500.0,,1030000.0,206420000.0,3.0
2019-08-21,167.0,0.0,0.0,169.0,162.0,163.0,-4.0,67206300.0,11049314600.0,4459.0,9.1,164.0,584100.0,163.0,961800.0,195165577137.0,195165577137.0,195165577137.0,10087800.0,24041700.0,,0.0,0.0,0.0
2019-08-22,163.0,0.0,0.0,166.0,157.0,158.0,-5.0,111358300.0,17898933400.0,4545.0,8.8,159.0,332500.0,158.0,460900.0,195165577137.0,195165577137.0,195165577137.0,2961100.0,56570100.0,,535000.0,88470000.0,2.0
2019-08-23,158.0,0.0,0.0,162.0,153.0,156.0,-2.0,119936700.0,18883894000.0,4603.0,8.7,157.0,25000.0,156.0,144000.0,197874597137.0,197874597137.0,197874597137.0,815800.0,53322900.0,,0.0,0.0,0.0
2019-08-26,156.0,0.0,0.0,165.0,152.0,160.0,4.0,175262800.0,27999849500.0,5753.0,8.9,161.0,6948200.0,160.0,2241900.0,197874597237.0,197874597237.0,197874597237.0,43567400.0,39466200.0,,1000000.0,203000000.0,2.0
2019-08-27,160.0,0.0,0.0,162.0,157.0,158.0,-2.0,70409200.0,11286744500.0,4198.0,8.8,158.0,913500.0,157.0,2923000.0,197874597237.0,197874597237.0,197874597237.0,20856900.0,26771500.0,,445000.0,70310000.0,1.0
2019-08-28,158.0,0.0,0.0,160.0,153.0,155.0,-3.0,58834800.0,9148673900.0,5579.0,8.6,155.0,1160100.0,154.0,1237400.0,197874597337.0,197874597337.0,197874597337.0,22695900.0,22667100.0,,300000.0,50400000.0,1.0
2019-08-29,155.0,0.0,0.0,156.0,147.0,148.0,-7.0,86478500.0,13056769100.0,6559.0,8.2,149.0,3482900.0,148.0,11307300.0,197874597337.0,197874597337.0,197874597337.0,34034400.0,13150300.0,,2200000.0,222200000.0,1.0
2019-08-30,148.0,0.0,0.0,150.0,131.0,134.0,-14.0,206859900.0,28762520900.0,13307.0,7.4,134.0,1945700.0,133.0,2014900.0,197874597337.0,197874597337.0,197874597337.0,33996200.0,18806200.0,,1000000.0,199000000.0,1.0
2019-09-02,134.0,0.0,0.0,137.0,115.0,121.0,-13.0,364649600.0,45368906300.0,14326.0,6.7,121.0,305300.0,120.0,3577900.0,197874597337.0,197874597337.0,197874597337.0,72304000.0,25082600.0,,75000.0,10275000.0,1.0
2019-09-03,121.0,0.0,0.0,124.0,117.0,118.0,-3.0,87966600.0,10554477500.0,4357.0,6.6,118.0,700000.0,117.0,4059000.0,197874597337.0,197874597337.0,197874597337.0,22087300.0,18374600.0,,50300000.0,6048900000.0,2.0
2019-09-04,118.0,0.0,0.0,140.0,118.0,140.0,22.0,526695700.0,70063653900.0,16791.0,7.8,141.0,4599200.0,140.0,2317700.0,197874597337.0,197874597337.0,197874597337.0,20366700.0,25850400.0,,0.0,0.0,0.0
2019-09-05,140.0,0.0,0.0,143.0,131.0,132.0,-8.0,198508400.0,27041935300.0,8753.0,7.3,133.0,3054800.0,132.0,44592300.0,197874597337.0,197874597337.0,197874597337.0,18828600.0,20512300.0,,1000000.0,189000000.0,1.0
2019-09-06,132.0,0.0,0.0,146.0,132.0,139.0,7.0,300171200.0,42229972100.0,11288.0,7.7,140.0,759300.0,139.0,1138900.0,197874597337.0,197874597337.0,197874597337.0,13053300.0,32840600.0,,0.0,0.0,0.0
2019-09-09,139.0,0.0,0.0,148.0,136.0,145.0,6.0,202341800.0,29098810200.0,7885.0,8.1,145.0,6089900.0,144.0,547700.0,197874597337.0,197874597337.0,197874597337.0,25242200.0,35159100.0,,300000.0,50400000.0,1.0
2019-09-10,145.0,0.0,0.0,164.0,145.0,156.0,11.0,544637100.0,85554366300.0,19330.0,8.7,157.0,528300.0,156.0,4766700.0,197874597337.0,197874597337.0,197874597337.0,42812300.0,33036500.0,,0.0,0.0,0.0
2019-09-11,156.0,0.0,0.0,164.0,156.0,158.0,2.0,216544200.0,34650400500.0,8221.0,8.8,159.0,656000.0,158.0,5674200.0,197874597337.0,197874597337.0,197874597337.0,22320100.0,29556000.0,,1000000.0,200000000.0,1.0
2019-09-12,158.0,0.0,0.0,162.0,151.0,153.0,-5.0,83332400.0,12986612000.0,5086.0,8.5,154.0,2538200.0,153.0,40200.0,197874597337.0,197874597337.0,197874597337.0,6364100.0,11930700.0,,0.0,0.0,0.0
2019-09-13,153.0,0.0,0.0,159.0,147.0,148.0,-5.0,95296500.0,14574871100.0,4541.0,8.2,149.0,47300.0,148.0,7067900.0,202637627337.0,202637627337.0,202637627337.0,15359700.0,12210700.0,,0.0,0.0,0.0
2019-09-16,148.0,0.0,0.0,150.0,136.0,137.0,-11.0,90355200.0,12736733500.0,5014.0,7.6,138.0,140000.0,137.0,3377800.0,202637627837.0,202637627837.0,202637627837.0,12368300.0,7190100.0,,2250000.0,218250000.0,1.0
2019-09-17,137.0,0.0,0.0,148.0,137.0,142.0,5.0,83253500.0,11912268200.0,4137.0,7.9,143.0,1264900.0,142.0,4470900.0,202637627837.0,202637627837.0,202637627837.0,10503200.0,8711800.0,,1000000.0,184000000.0,1.0
2019-09-18,142.0,0.0,0.0,154.0,144.0,154.0,12.0,244762600.0,36938585200.0,9078.0,8.6,154.0,4809200.0,153.0,2054800.0,202637627837.0,202637627837.0,202637627837.0,33337500.0,30153900.0,,0.0,0.0,0.0
2019-09-19,154.0,0.0,0.0,163.0,151.0,163.0,9.0,335234600.0,53504969800.0,12869.0,9.1,164.0,7840800.0,163.0,414800.0,202637627837.0,202637627837.0,202637627837.0,22686500.0,45783100.0,,0.0,0.0,0.0
