date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,50.0,0.0,0.0,50.0,50.0,50.0,0.0,8200.0,410000.0,4.0,47.6,50.0,9313100.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1000.0,50000.0,3.0,47.6,50.0,9795700.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1900.0,95000.0,3.0,47.6,50.0,9932100.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,50.0,0.0,0.0,50.0,50.0,50.0,0.0,61000.0,3050000.0,8.0,47.6,50.0,9734000.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1700.0,85000.0,3.0,47.6,50.0,6509000.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1000.0,50000.0,2.0,47.6,50.0,9636400.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,2.0,47.6,50.0,10323900.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,55000000.0,2750000000.0,1.0
2019-08-07,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1200.0,60000.0,3.0,47.6,50.0,7781800.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,88635000.0,3988575000.0,1.0
2019-08-08,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1000.0,50000.0,1.0,47.6,50.0,8993700.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,50.0,0.0,0.0,50.0,50.0,50.0,0.0,3600.0,180000.0,6.0,47.6,50.0,9675700.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1000.0,50000.0,1.0,47.6,50.0,14883000.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1300.0,65000.0,4.0,47.6,50.0,14593200.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,47.6,50.0,11653300.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,50.0,0.0,0.0,50.0,50.0,50.0,0.0,3400.0,170000.0,3.0,47.6,50.0,12815600.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,47.6,50.0,14155200.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,47.6,50.0,7686300.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,55800000.0,2507000000.0,2.0
2019-08-20,50.0,0.0,0.0,50.0,50.0,50.0,0.0,33000.0,1650000.0,1.0,47.6,50.0,13467400.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,33000.0,,137010000.0,8905450000.0,2.0
2019-08-21,50.0,0.0,0.0,50.0,50.0,50.0,0.0,6100.0,305000.0,3.0,47.6,50.0,10295500.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,47000000.0,2115000000.0,2.0
2019-08-22,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,47.6,50.0,10576800.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,90000000.0,4050000000.0,1.0
2019-08-23,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,1.0,47.6,50.0,8647500.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,74250000.0,4826250000.0,1.0
2019-08-26,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,47.6,50.0,8840300.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,50.0,0.0,0.0,50.0,50.0,50.0,0.0,5000.0,250000.0,1.0,47.6,50.0,11626100.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,50.0,0.0,0.0,50.0,50.0,50.0,0.0,57600.0,2880000.0,225.0,47.6,50.0,14700600.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,90020000.0,5400600000.0,2.0
2019-08-29,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,47.6,50.0,14211100.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,110000000.0,4950000000.0,2.0
2019-08-30,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,1.0,47.6,50.0,14523900.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,23600.0,944000.0,1.0
2019-09-02,50.0,0.0,0.0,50.0,50.0,50.0,0.0,44100.0,2205000.0,34.0,47.6,50.0,7538600.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,13000000.0,715000000.0,1.0
2019-09-03,50.0,0.0,0.0,50.0,50.0,50.0,0.0,10100.0,505000.0,2.0,47.6,50.0,16130000.0,0.0,0.0,10011027656.0,10011027656.0,10011027656.0,0.0,0.0,,8000000.0,400000000.0,1.0
