date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,500.0,0.0,0.0,500.0,460.0,464.0,-36.0,127700.0,59427400.0,85.0,40.3,480.0,10000.0,464.0,20300.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,464.0,0.0,0.0,488.0,454.0,478.0,14.0,119000.0,56157600.0,96.0,41.6,478.0,4300.0,460.0,20000.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,478.0,0.0,0.0,486.0,432.0,464.0,-14.0,172300.0,78905600.0,91.0,40.3,476.0,7600.0,464.0,3900.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,464.0,0.0,0.0,580.0,458.0,480.0,16.0,806900.0,425744800.0,558.0,41.7,480.0,4000.0,478.0,11400.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,480.0,0.0,0.0,500.0,452.0,488.0,8.0,54700.0,25878400.0,66.0,42.4,484.0,10000.0,464.0,1000.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,488.0,0.0,0.0,488.0,464.0,464.0,-24.0,48100.0,22494800.0,53.0,40.3,476.0,6000.0,464.0,1900.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,464.0,0.0,0.0,480.0,442.0,478.0,14.0,34900.0,16352400.0,29.0,41.6,478.0,45400.0,458.0,200.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,478.0,0.0,0.0,500.0,470.0,494.0,16.0,173900.0,83638000.0,83.0,43.0,494.0,8500.0,474.0,100.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,494.0,0.0,0.0,520.0,476.0,490.0,-4.0,89300.0,44606400.0,65.0,42.6,492.0,1500.0,482.0,500.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,490.0,0.0,0.0,510.0,474.0,505.0,15.0,41700.0,20631700.0,29.0,43.9,505.0,28500.0,496.0,5000.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,505.0,0.0,0.0,510.0,460.0,496.0,-9.0,118400.0,57061800.0,59.0,43.1,496.0,97000.0,460.0,500.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,496.0,0.0,0.0,500.0,450.0,460.0,-36.0,159100.0,73557600.0,78.0,40.0,464.0,1000.0,460.0,5800.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,460.0,0.0,0.0,474.0,442.0,468.0,8.0,55700.0,25782200.0,32.0,40.7,468.0,38200.0,446.0,16200.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,468.0,0.0,0.0,468.0,430.0,432.0,-36.0,62200.0,27841200.0,32.0,37.6,450.0,2300.0,432.0,50300.0,1111112000.0,1111112000.0,1111112000.0,0.0,0.0,,0.0,0.0,0.0
