date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-09-08,100.0,0.0,0.0,93.0,93.0,93.0,-7.0,81597500.0,7588567500.0,18057.0,93.0,93.0,455331400.0,0.0,0.0,15819142767.0,15819142767.0,15819142767.0,0.0,20000.0,,1797619800.0,191645307000.0,5.0
2021-09-09,93.0,0.0,0.0,87.0,87.0,87.0,-6.0,11480800.0,998829600.0,1267.0,87.0,87.0,539449200.0,0.0,0.0,15819142767.0,15819142767.0,15819142767.0,0.0,0.0,,19025900.0,1296539600.0,12.0
2021-09-10,87.0,0.0,0.0,81.0,81.0,81.0,-6.0,10438300.0,845502300.0,861.0,81.0,81.0,442220800.0,0.0,0.0,15819142767.0,15819142767.0,15819142767.0,0.0,0.0,,21237500.0,1391883000.0,25.0
2021-09-13,81.0,0.0,0.0,85.0,76.0,81.0,0.0,1650889700.0,129128479200.0,33503.0,81.0,81.0,17904900.0,80.0,2835200.0,15819142767.0,15819142767.0,15819142767.0,7223300.0,650000.0,,1204900.0,97476900.0,4.0
2021-09-14,81.0,0.0,0.0,81.0,77.0,78.0,-3.0,201338800.0,15898441800.0,7291.0,78.0,79.0,7841600.0,78.0,1968000.0,15819142767.0,15819142767.0,15819142767.0,200000.0,30000.0,,0.0,0.0,0.0
2021-09-15,78.0,0.0,0.0,79.0,74.0,77.0,-1.0,107299600.0,8190486100.0,4756.0,77.0,77.0,8950400.0,76.0,15371500.0,15819142767.0,15819142767.0,15819142767.0,0.0,126600.0,,0.0,0.0,0.0
2021-09-16,77.0,0.0,0.0,78.0,74.0,75.0,-2.0,88415900.0,6679963100.0,3738.0,75.0,75.0,4750900.0,74.0,13696900.0,15819142767.0,15819142767.0,15819142767.0,0.0,71600.0,,0.0,0.0,0.0
2021-09-17,75.0,0.0,0.0,76.0,72.0,74.0,-1.0,66306700.0,4893612100.0,3285.0,74.0,75.0,9337100.0,74.0,5368300.0,15819142767.0,15819142767.0,15819142767.0,0.0,6000.0,,0.0,0.0,0.0
2021-09-20,74.0,0.0,0.0,80.0,71.0,77.0,3.0,297817400.0,22894543900.0,9640.0,77.0,78.0,2922900.0,77.0,2341300.0,15819142767.0,15819142767.0,15819142767.0,686600.0,27100.0,,0.0,0.0,0.0
2021-09-21,77.0,0.0,0.0,80.0,75.0,80.0,3.0,105413800.0,8187254500.0,3864.0,80.0,81.0,3515500.0,80.0,19554800.0,15819142767.0,15819142767.0,15819142767.0,326600.0,614400.0,,0.0,0.0,0.0
