date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-08-03,250.0,0.0,0.0,312.0,240.0,254.0,4.0,524689700.0,145522993400.0,75849.0,101.6,254.0,896800.0,252.0,1265300.0,1070362500.0,464072500.0,214072500.0,1630000.0,2431600.0,,0.0,0.0,0.0
2022-08-04,254.0,0.0,0.0,260.0,238.0,238.0,-16.0,64443600.0,15481315200.0,9971.0,95.2,238.0,504600.0,0.0,0.0,1070362500.0,464072500.0,214072500.0,10200.0,283700.0,,0.0,0.0,0.0
2022-08-05,238.0,0.0,0.0,246.0,222.0,230.0,-8.0,46839400.0,10898514200.0,7672.0,92.0,232.0,77000.0,230.0,654700.0,1070362500.0,464072500.0,214072500.0,0.0,100.0,,0.0,0.0,0.0
2022-08-08,230.0,0.0,0.0,256.0,228.0,240.0,10.0,70880900.0,17419219600.0,10388.0,96.0,242.0,132900.0,240.0,191600.0,1070362500.0,464072500.0,214072500.0,12500.0,110000.0,,0.0,0.0,0.0
2022-08-09,240.0,0.0,0.0,244.0,226.0,228.0,-12.0,27004500.0,6233529000.0,4133.0,91.2,230.0,159800.0,228.0,1399000.0,1070362500.0,464072500.0,214072500.0,0.0,71700.0,,0.0,0.0,0.0
2022-08-10,228.0,0.0,0.0,238.0,224.0,226.0,-2.0,13605100.0,3119389400.0,2028.0,90.4,228.0,131500.0,226.0,9300.0,1070362500.0,464072500.0,214072500.0,0.0,11000.0,,0.0,0.0,0.0
2022-08-11,226.0,0.0,0.0,230.0,214.0,214.0,-12.0,18570700.0,4025904000.0,3170.0,85.6,216.0,205700.0,214.0,91100.0,1070362500.0,464072500.0,214072500.0,26700.0,117600.0,,0.0,0.0,0.0
2022-08-12,214.0,0.0,0.0,218.0,214.0,214.0,0.0,4797000.0,1031996400.0,1341.0,85.6,216.0,621200.0,214.0,422400.0,1070362500.0,464072500.0,214072500.0,21900.0,26700.0,,0.0,0.0,0.0
2022-08-15,214.0,0.0,0.0,222.0,204.0,210.0,-4.0,7528600.0,1588498000.0,1774.0,84.0,212.0,240000.0,208.0,426700.0,1070362500.0,464072500.0,214072500.0,0.0,30800.0,,0.0,0.0,0.0
2022-08-16,210.0,0.0,0.0,214.0,204.0,214.0,4.0,5841500.0,1222837800.0,1302.0,85.6,214.0,316900.0,212.0,122800.0,1070362500.0,464072500.0,214072500.0,186900.0,3800.0,,0.0,0.0,0.0
2022-08-18,214.0,0.0,0.0,234.0,210.0,230.0,16.0,51048900.0,11566417400.0,7171.0,92.0,232.0,566200.0,230.0,6215600.0,1070362500.0,464072500.0,214072500.0,3800.0,84200.0,,0.0,0.0,0.0
2022-08-19,230.0,0.0,0.0,234.0,216.0,216.0,-14.0,24553500.0,5513064400.0,3920.0,86.4,218.0,247200.0,216.0,622000.0,1070362500.0,464072500.0,214072500.0,98100.0,70400.0,,0.0,0.0,0.0
2022-08-22,216.0,0.0,0.0,218.0,210.0,212.0,-4.0,7117000.0,1509714000.0,1270.0,84.8,214.0,215800.0,212.0,31300.0,1070362500.0,464072500.0,214072500.0,14500.0,0.0,,0.0,0.0,0.0
2022-08-23,212.0,0.0,0.0,226.0,210.0,218.0,6.0,10592400.0,2323862400.0,1768.0,87.2,220.0,436500.0,218.0,824000.0,1070362500.0,464072500.0,214072500.0,0.0,31800.0,,0.0,0.0,0.0
2022-08-24,218.0,0.0,0.0,220.0,214.0,216.0,-2.0,3516400.0,756560600.0,825.0,86.4,216.0,468400.0,214.0,29600.0,1070362500.0,464072500.0,214072500.0,31600.0,65500.0,,0.0,0.0,0.0
2022-08-25,216.0,0.0,0.0,218.0,210.0,214.0,-2.0,2640700.0,562476200.0,638.0,85.6,214.0,141000.0,212.0,368600.0,1070362500.0,464072500.0,214072500.0,5400.0,65400.0,,0.0,0.0,0.0
2022-08-26,214.0,0.0,0.0,216.0,210.0,210.0,-4.0,2546800.0,539655400.0,595.0,84.0,212.0,49800.0,210.0,961500.0,1070362500.0,464072500.0,214072500.0,3300.0,13700.0,,0.0,0.0,0.0
2022-08-29,210.0,0.0,0.0,214.0,208.0,210.0,0.0,3715400.0,779580600.0,692.0,84.0,212.0,593600.0,210.0,1200.0,1070362500.0,464072500.0,214072500.0,48700.0,20500.0,,0.0,0.0,0.0
2022-08-30,210.0,0.0,0.0,212.0,204.0,208.0,-2.0,5721900.0,1188372400.0,939.0,83.2,210.0,55200.0,208.0,433500.0,1070362500.0,464072500.0,214072500.0,10500.0,2700.0,,0.0,0.0,0.0
2022-08-31,208.0,0.0,0.0,214.0,206.0,208.0,0.0,3368700.0,704424800.0,509.0,83.2,210.0,102000.0,208.0,287200.0,1070362500.0,464072500.0,214072500.0,78400.0,0.0,,0.0,0.0,0.0
2022-09-01,208.0,0.0,0.0,214.0,208.0,208.0,0.0,2240700.0,471106400.0,598.0,83.2,210.0,96300.0,208.0,313500.0,1070362500.0,464072500.0,214072500.0,0.0,900.0,,0.0,0.0,0.0
2022-09-02,208.0,0.0,0.0,218.0,208.0,210.0,2.0,6068800.0,1295776000.0,906.0,84.0,212.0,83600.0,210.0,80200.0,1070362500.0,464072500.0,214072500.0,900.0,5200.0,,0.0,0.0,0.0
