date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-07-26,160.0,0.0,0.0,212.0,149.0,163.0,3.0,781039300.0,131152449500.0,72784.0,101.9,164.0,531100.0,163.0,1092100.0,7000000000.0,6997101900.0,1400000000.0,3542400.0,8872400.0,,0.0,0.0,0.0
2022-07-27,163.0,0.0,0.0,175.0,162.0,175.0,12.0,115899900.0,19568145500.0,12372.0,109.4,176.0,695700.0,175.0,6084100.0,7000000000.0,6997101900.0,1400000000.0,281200.0,5660100.0,,0.0,0.0,0.0
2022-07-28,175.0,0.0,0.0,230.0,176.0,192.0,17.0,340524900.0,66651776700.0,32564.0,120.0,193.0,478500.0,192.0,10734100.0,7000000000.0,6997101900.0,1400000000.0,8246400.0,2128800.0,,0.0,0.0,0.0
2022-07-29,192.0,0.0,0.0,197.0,179.0,187.0,-5.0,108430300.0,20213374200.0,11868.0,116.9,187.0,589300.0,186.0,1855500.0,7000000000.0,6997101900.0,1400000000.0,961900.0,6677600.0,,0.0,0.0,0.0
2022-08-01,187.0,0.0,0.0,194.0,185.0,188.0,1.0,45424100.0,8564511000.0,4566.0,117.5,189.0,24200.0,188.0,259400.0,7000000000.0,6997101900.0,1400000000.0,10000.0,1114500.0,,0.0,0.0,0.0
2022-08-02,188.0,0.0,0.0,198.0,182.0,195.0,7.0,76347600.0,14728255400.0,6290.0,121.9,196.0,245800.0,195.0,16081400.0,7000000000.0,6997101900.0,1400000000.0,207200.0,6430600.0,,0.0,0.0,0.0
2022-08-03,195.0,0.0,0.0,224.0,198.0,202.0,7.0,152068600.0,32111158600.0,15442.0,126.3,204.0,395100.0,202.0,18715300.0,7000000000.0,6997101900.0,1400000000.0,775800.0,3597200.0,,0.0,0.0,0.0
2022-08-04,202.0,0.0,0.0,252.0,200.0,240.0,38.0,140524400.0,31762791000.0,11351.0,150.0,240.0,1545500.0,238.0,321900.0,7000000000.0,6997101900.0,1400000000.0,2120900.0,11691200.0,,25000.0,5320000.0,3.0
2022-08-05,240.0,0.0,0.0,300.0,240.0,300.0,60.0,157445700.0,44148847000.0,17945.0,187.5,0.0,0.0,300.0,29183300.0,7000000000.0,6997101900.0,1400000000.0,1355800.0,1869400.0,,0.0,0.0,0.0
2022-08-08,300.0,0.0,0.0,374.0,290.0,374.0,74.0,143007600.0,48952990000.0,18427.0,233.8,374.0,570200.0,372.0,1324600.0,7000000000.0,6997101900.0,1400000000.0,539000.0,540500.0,,1795000.0,360795000.0,1.0
2022-08-09,374.0,0.0,0.0,456.0,364.0,400.0,26.0,249720200.0,105683014400.0,39530.0,250.0,402.0,96100.0,400.0,16692000.0,7000000000.0,6997101900.0,1400000000.0,16995300.0,15162900.0,,0.0,0.0,0.0
2022-08-10,400.0,0.0,0.0,420.0,372.0,382.0,-18.0,48475600.0,18852868400.0,6660.0,238.8,384.0,27900.0,382.0,15851700.0,7000000000.0,6997101900.0,1400000000.0,2409600.0,2361000.0,,0.0,0.0,0.0
2022-08-11,382.0,0.0,0.0,404.0,366.0,402.0,20.0,50363900.0,19485592800.0,7324.0,251.3,402.0,393200.0,400.0,81000.0,7000000000.0,6997101900.0,1400000000.0,1999300.0,1179200.0,,0.0,0.0,0.0
2022-08-12,402.0,0.0,0.0,422.0,384.0,398.0,-4.0,43900400.0,17743275400.0,7039.0,248.8,398.0,84700.0,396.0,427600.0,7000000000.0,6997101900.0,1400000000.0,1466600.0,1701200.0,,0.0,0.0,0.0
2022-08-15,398.0,0.0,0.0,434.0,372.0,430.0,32.0,112278000.0,46259408800.0,14351.0,268.8,432.0,202700.0,430.0,21252600.0,7000000000.0,6997101900.0,1400000000.0,4178600.0,5536600.0,,0.0,0.0,0.0
2022-08-16,430.0,0.0,0.0,505.0,426.0,478.0,48.0,240582300.0,114004481300.0,34597.0,298.8,478.0,296300.0,476.0,369200.0,7000000000.0,6997101900.0,1400000000.0,12926700.0,14029800.0,,0.0,0.0,0.0
2022-08-18,478.0,0.0,0.0,496.0,460.0,474.0,-4.0,85526000.0,40962439200.0,14562.0,296.3,476.0,36000.0,474.0,23500.0,7000000000.0,6997101900.0,1400000000.0,7201400.0,1646600.0,,0.0,0.0,0.0
2022-08-19,474.0,0.0,0.0,482.0,442.0,460.0,-14.0,100072000.0,45938519200.0,13259.0,287.5,460.0,374300.0,458.0,356300.0,7000000000.0,6997101900.0,1400000000.0,1350300.0,3427400.0,,0.0,0.0,0.0
2022-08-22,460.0,0.0,0.0,470.0,432.0,446.0,-14.0,77274400.0,35005715200.0,11562.0,278.8,448.0,45500.0,446.0,10874600.0,7000000000.0,6997101900.0,1400000000.0,5679900.0,4021200.0,,0.0,0.0,0.0
2022-08-23,446.0,0.0,0.0,472.0,436.0,448.0,2.0,62912100.0,28707101600.0,10885.0,280.0,450.0,153900.0,448.0,10703900.0,7000000000.0,6997101900.0,1400000000.0,2670600.0,2508700.0,,0.0,0.0,0.0
2022-08-24,448.0,0.0,0.0,464.0,446.0,460.0,12.0,29345600.0,13339545600.0,4871.0,287.5,462.0,293700.0,460.0,8681100.0,7000000000.0,6997101900.0,1400000000.0,658300.0,1072400.0,,0.0,0.0,0.0
2022-08-25,460.0,0.0,0.0,466.0,448.0,450.0,-10.0,25335800.0,11579688000.0,3962.0,281.3,452.0,40200.0,450.0,604900.0,7000000000.0,6997101900.0,1400000000.0,1684500.0,206400.0,,0.0,0.0,0.0
2022-08-26,450.0,0.0,0.0,456.0,440.0,442.0,-8.0,24725200.0,11023192800.0,3331.0,276.3,442.0,327400.0,440.0,1035000.0,7000000000.0,6997101900.0,1400000000.0,178800.0,890100.0,,895300.0,387664900.0,1.0
2022-08-29,442.0,0.0,0.0,442.0,412.0,420.0,-22.0,32846200.0,13913324600.0,3751.0,262.5,422.0,500.0,420.0,239200.0,7000000000.0,6997101900.0,1400000000.0,2245600.0,1922300.0,,1000100.0,412045000.0,2.0
2022-08-30,420.0,0.0,0.0,454.0,412.0,432.0,12.0,38628400.0,16886704400.0,6112.0,270.0,432.0,703100.0,430.0,301100.0,7000000000.0,6997101900.0,1400000000.0,2008300.0,1865100.0,,0.0,0.0,0.0
2022-08-31,432.0,0.0,0.0,440.0,420.0,432.0,0.0,22576700.0,9761926800.0,1685.0,270.0,432.0,574400.0,430.0,200000.0,7000000000.0,6997101900.0,1400000000.0,1065500.0,977100.0,,0.0,0.0,0.0
2022-09-01,432.0,0.0,0.0,440.0,426.0,428.0,-4.0,23439200.0,10120987000.0,2030.0,267.5,428.0,130600.0,426.0,616900.0,7000000000.0,6997101900.0,1400000000.0,1586600.0,611600.0,,0.0,0.0,0.0
2022-09-02,428.0,0.0,0.0,434.0,418.0,424.0,-4.0,26713700.0,11406198800.0,1993.0,265.0,424.0,680300.0,422.0,331400.0,7000000000.0,6997101900.0,1400000000.0,1480400.0,45200.0,,0.0,0.0,0.0
