date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,50.0,0.0,0.0,50.0,50.0,50.0,0.0,5400.0,270000.0,11.0,38.5,50.0,27520300.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,2.0,38.5,50.0,23566200.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,50.0,0.0,0.0,50.0,50.0,50.0,0.0,2100.0,105000.0,2.0,38.5,50.0,24368700.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,38.5,50.0,20056000.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,50.0,0.0,0.0,50.0,50.0,50.0,0.0,300.0,15000.0,1.0,38.5,50.0,26709600.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,38.5,50.0,18136900.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,50.0,0.0,0.0,50.0,50.0,50.0,0.0,800.0,40000.0,2.0,38.5,50.0,19036000.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,38.5,50.0,19634800.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1900.0,95000.0,3.0,38.5,50.0,16325700.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,38.5,50.0,27709100.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,50.0,0.0,0.0,50.0,50.0,50.0,0.0,500.0,25000.0,4.0,38.5,50.0,24598200.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,70000.0,700000.0,1.0
2019-08-13,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,2.0,38.5,50.0,18276500.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,50.0,0.0,0.0,50.0,50.0,50.0,0.0,100.0,5000.0,1.0,38.5,50.0,20059400.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,50.0,0.0,0.0,50.0,50.0,50.0,0.0,200.0,10000.0,2.0,38.5,50.0,17952100.0,0.0,0.0,9979518088.0,9979518088.0,9979518088.0,0.0,0.0,,1724000.0,51710000.0,3.0
