date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,180.0,0.0,0.0,200.0,169.0,169.0,-11.0,20700.0,3643000.0,23.0,11.9,175.0,6026500.0,169.0,12600.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,169.0,0.0,0.0,198.0,158.0,169.0,0.0,220100.0,37209700.0,28.0,11.9,169.0,895500.0,162.0,107700.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,169.0,0.0,0.0,200.0,131.0,200.0,31.0,2411400.0,372785800.0,88.0,14.1,200.0,3303500.0,141.0,300.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,200.0,0.0,0.0,210.0,160.0,200.0,0.0,1487300.0,263488900.0,121.0,14.1,200.0,100000.0,176.0,100.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,200.0,0.0,0.0,199.0,174.0,198.0,-2.0,1362600.0,252574600.0,94.0,14.0,198.0,21600.0,189.0,900.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,198.0,0.0,0.0,200.0,182.0,200.0,2.0,561100.0,108827400.0,44.0,14.1,206.0,22200.0,199.0,1600.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,200.0,0.0,0.0,200.0,182.0,200.0,0.0,592200.0,117175400.0,32.0,14.1,200.0,21900.0,191.0,25000.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,200.0,0.0,0.0,210.0,182.0,200.0,0.0,201300.0,40429900.0,28.0,14.1,202.0,100000.0,200.0,859200.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,200.0,0.0,0.0,202.0,186.0,202.0,2.0,107400.0,21483000.0,7.0,14.3,202.0,5800.0,200.0,895100.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,202.0,0.0,0.0,210.0,200.0,200.0,-2.0,804800.0,161002400.0,3.0,14.1,210.0,5200.0,200.0,200100.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,200.0,0.0,0.0,202.0,200.0,200.0,0.0,76200.0,15246600.0,6.0,14.1,202.0,1000.0,200.0,927100.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,200.0,0.0,0.0,200.0,200.0,200.0,0.0,19500.0,3900000.0,5.0,14.1,206.0,700.0,200.0,980500.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,200.0,0.0,0.0,200.0,200.0,200.0,0.0,1300.0,260000.0,1.0,14.1,210.0,1000.0,200.0,998700.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,200.0,0.0,0.0,200.0,200.0,200.0,0.0,65300.0,13060000.0,6.0,14.1,208.0,2400.0,200.0,934900.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,200.0,0.0,0.0,228.0,210.0,228.0,28.0,1100.0,232800.0,2.0,16.1,222.0,800.0,200.0,1000000.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,228.0,0.0,0.0,222.0,222.0,222.0,-6.0,500.0,111000.0,1.0,15.7,218.0,200.0,200.0,1000000.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,222.0,0.0,0.0,218.0,202.0,202.0,-20.0,600.0,124000.0,3.0,14.3,214.0,400.0,202.0,5300.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,202.0,0.0,0.0,218.0,202.0,216.0,14.0,5100.0,1065200.0,4.0,15.3,216.0,1400.0,204.0,5000.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,216.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,15.3,214.0,500.0,202.0,3900.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,216.0,0.0,0.0,202.0,200.0,200.0,-16.0,162200.0,32443600.0,2.0,14.1,214.0,500.0,202.0,1100.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,200.0,0.0,0.0,200.0,200.0,200.0,0.0,1800.0,360000.0,1.0,14.1,214.0,4700.0,200.0,998200.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,200.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,14.1,216.0,2700.0,190.0,1100.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,200.0,0.0,0.0,218.0,200.0,202.0,2.0,21500.0,4338400.0,15.0,14.3,214.0,100.0,202.0,1100.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,202.0,0.0,0.0,224.0,200.0,218.0,16.0,2700.0,546400.0,4.0,15.4,218.0,2900.0,202.0,50200.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30,218.0,0.0,0.0,222.0,204.0,204.0,-14.0,9300.0,1963400.0,8.0,14.4,204.0,100.0,202.0,4000.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,204.0,0.0,0.0,220.0,204.0,204.0,0.0,200.0,42400.0,2.0,14.4,218.0,5300.0,204.0,200.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,204.0,0.0,0.0,218.0,216.0,216.0,12.0,200.0,43400.0,2.0,15.3,216.0,4500.0,202.0,1200.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,216.0,0.0,0.0,236.0,222.0,222.0,6.0,200.0,45800.0,2.0,15.7,218.0,1100.0,204.0,200.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05,222.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,15.7,220.0,4400.0,204.0,800.0,1517321249.0,1517321249.0,1587479137.0,0.0,0.0,,0.0,0.0,0.0
