date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-12-05,440.0,0.0,0.0,660.0,500.0,660.0,220.0,12014800.0,7655547000.0,3174.0,150.0,0.0,0.0,660.0,746500.0,2125000000.0,425000000.0,2125000000.0,92500.0,172600.0,,300.0,132000.0,3.0
2019-12-06,660.0,0.0,0.0,710.0,575.0,650.0,-10.0,6781600.0,4409700500.0,2418.0,147.7,650.0,123400.0,645.0,12300.0,2125000000.0,425000000.0,2125000000.0,7000.0,80000.0,,0.0,0.0,0.0
2019-12-09,650.0,0.0,0.0,670.0,575.0,670.0,20.0,3646100.0,2303955000.0,794.0,152.3,670.0,300800.0,635.0,36500.0,2125000000.0,425000000.0,2125000000.0,43100.0,0.0,,0.0,0.0,0.0
2019-12-10,670.0,0.0,0.0,675.0,620.0,645.0,-25.0,638400.0,409096000.0,262.0,146.6,645.0,35600.0,640.0,34600.0,2125000000.0,425000000.0,2125000000.0,10000.0,3000.0,,0.0,0.0,0.0
2019-12-11,645.0,0.0,0.0,710.0,620.0,655.0,10.0,2466700.0,1659074000.0,681.0,148.9,660.0,5000.0,655.0,500.0,2125000000.0,425000000.0,2125000000.0,4500.0,1500.0,,0.0,0.0,0.0
2019-12-12,655.0,0.0,0.0,670.0,640.0,645.0,-10.0,350600.0,227227500.0,142.0,146.6,655.0,129400.0,645.0,3300.0,2125000000.0,425000000.0,2125000000.0,0.0,0.0,,0.0,0.0,0.0
2019-12-13,645.0,0.0,0.0,655.0,625.0,630.0,-15.0,217200.0,138738500.0,81.0,143.2,640.0,11100.0,630.0,17800.0,2125000000.0,425000000.0,2125000000.0,0.0,2000.0,,0.0,0.0,0.0
2019-12-16,630.0,0.0,0.0,700.0,635.0,635.0,5.0,331500.0,219798000.0,158.0,144.3,640.0,7600.0,635.0,21700.0,2125000000.0,425000000.0,2125000000.0,0.0,0.0,,0.0,0.0,0.0
2019-12-17,635.0,0.0,0.0,655.0,600.0,610.0,-25.0,190900.0,117218500.0,74.0,138.6,610.0,5400.0,605.0,5200.0,2125000000.0,425000000.0,2125000000.0,0.0,0.0,,0.0,0.0,0.0
2019-12-18,610.0,0.0,0.0,615.0,570.0,570.0,-40.0,114500.0,66617500.0,63.0,129.5,580.0,900.0,570.0,10000.0,2125000000.0,425000000.0,2125000000.0,0.0,0.0,,0.0,0.0,0.0
