date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-02-12T00:00:00,120.0,0.0,0.0,204.0,204.0,204.0,84.0,4633100.0,945152400.0,37.0,170.0,0.0,0.0,204.0,36669500.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-13T00:00:00,204.0,0.0,0.0,254.0,240.0,254.0,50.0,14800000.0,3753998000.0,772.0,211.7,0.0,0.0,254.0,1436100.0,833333000.0,333333000.0,833333000.0,0.0,3500.0,,0.0,0.0,0.0
2020-02-14T00:00:00,254.0,0.0,0.0,280.0,220.0,236.0,-18.0,5866700.0,1426047600.0,1224.0,196.7,240.0,12900.0,236.0,21800.0,833333000.0,333333000.0,833333000.0,0.0,3100.0,,0.0,0.0,0.0
2020-02-17T00:00:00,236.0,0.0,0.0,250.0,218.0,220.0,-16.0,1643300.0,377676400.0,395.0,183.3,222.0,60700.0,220.0,12600.0,833333000.0,333333000.0,833333000.0,0.0,5000.0,,0.0,0.0,0.0
2020-02-18T00:00:00,220.0,0.0,0.0,230.0,212.0,224.0,4.0,2117600.0,464637600.0,209.0,186.7,222.0,2100.0,218.0,600.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-19T00:00:00,224.0,0.0,0.0,224.0,210.0,210.0,-14.0,840300.0,179568600.0,157.0,175.0,212.0,9500.0,210.0,112000.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-20T00:00:00,210.0,0.0,0.0,220.0,190.0,210.0,0.0,387900.0,80819000.0,86.0,175.0,212.0,48100.0,210.0,10600.0,833333000.0,333333000.0,833333000.0,0.0,1000.0,,0.0,0.0,0.0
2020-02-21T00:00:00,210.0,0.0,0.0,206.0,200.0,200.0,-10.0,151600.0,30372800.0,64.0,166.7,202.0,8400.0,200.0,11800.0,833333000.0,333333000.0,833333000.0,0.0,2000.0,,0.0,0.0,0.0
2020-02-24T00:00:00,200.0,0.0,0.0,216.0,199.0,208.0,8.0,464700.0,97733700.0,107.0,173.3,208.0,2500.0,206.0,200.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-25T00:00:00,208.0,0.0,0.0,208.0,186.0,198.0,-10.0,102900.0,19779500.0,37.0,165.0,198.0,81100.0,192.0,29400.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-26T00:00:00,198.0,0.0,0.0,208.0,190.0,190.0,-8.0,44500.0,8501600.0,34.0,158.3,190.0,3400.0,188.0,21800.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-02-27T00:00:00,190.0,0.0,0.0,188.0,175.0,175.0,-15.0,666200.0,120240500.0,92.0,145.8,180.0,7600.0,175.0,17100.0,833333000.0,333333000.0,833333000.0,0.0,3000.0,,0.0,0.0,0.0
2020-02-28T00:00:00,175.0,0.0,0.0,170.0,145.0,145.0,-30.0,603700.0,97280200.0,95.0,120.8,148.0,100.0,145.0,133300.0,833333000.0,333333000.0,833333000.0,4600.0,3000.0,,0.0,0.0,0.0
2020-03-02T00:00:00,145.0,0.0,0.0,149.0,145.0,145.0,0.0,105600.0,15354500.0,32.0,120.8,146.0,900.0,145.0,41900.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-03T00:00:00,145.0,0.0,0.0,151.0,145.0,148.0,3.0,298500.0,44167900.0,73.0,123.3,150.0,100.0,148.0,60700.0,833333000.0,333333000.0,833333000.0,16000.0,0.0,,0.0,0.0,0.0
2020-03-04T00:00:00,148.0,0.0,0.0,150.0,146.0,150.0,2.0,70100.0,10342900.0,22.0,125.0,150.0,33400.0,147.0,14500.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-05T00:00:00,150.0,0.0,0.0,160.0,147.0,156.0,6.0,900200.0,139481700.0,132.0,130.0,156.0,9000.0,155.0,41500.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-06T00:00:00,156.0,0.0,0.0,160.0,156.0,159.0,3.0,406800.0,64193500.0,95.0,132.5,157.0,1800.0,156.0,27600.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-09T00:00:00,159.0,0.0,0.0,156.0,153.0,156.0,-3.0,66700.0,10255700.0,20.0,130.0,155.0,300.0,153.0,26600.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-10T00:00:00,156.0,0.0,0.0,180.0,155.0,157.0,1.0,7255100.0,1157939700.0,373.0,130.8,157.0,177100.0,156.0,10500.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-11T00:00:00,157.0,0.0,0.0,162.0,154.0,156.0,-1.0,2513100.0,399364600.0,246.0,130.0,156.0,276000.0,154.0,40100.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-12T00:00:00,156.0,0.0,0.0,156.0,146.0,146.0,-10.0,5871200.0,878565900.0,200.0,121.7,149.0,249600.0,146.0,417400.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-13T00:00:00,146.0,0.0,0.0,146.0,143.0,146.0,0.0,854400.0,123037700.0,68.0,121.7,146.0,236400.0,145.0,123700.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-16T00:00:00,146.0,0.0,0.0,144.0,137.0,144.0,-2.0,226200.0,31635600.0,40.0,120.0,144.0,148600.0,140.0,62500.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-17T00:00:00,144.0,0.0,0.0,142.0,138.0,142.0,-2.0,216600.0,30142100.0,44.0,118.3,142.0,123400.0,139.0,9700.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-18T00:00:00,142.0,0.0,0.0,144.0,140.0,143.0,1.0,337000.0,47706000.0,50.0,119.2,143.0,144000.0,140.0,123000.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-19T00:00:00,143.0,0.0,0.0,193.0,141.0,193.0,50.0,26017600.0,4604893500.0,2373.0,160.8,193.0,433600.0,192.0,3262800.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,100000.0,17200000.0,1.0
2020-03-20T00:00:00,193.0,0.0,0.0,202.0,186.0,186.0,-7.0,9814400.0,1919607800.0,1201.0,155.0,186.0,164000.0,185.0,243700.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-23T00:00:00,186.0,0.0,0.0,185.0,176.0,176.0,-10.0,775300.0,137126900.0,138.0,146.7,177.0,104900.0,176.0,32900.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-24T00:00:00,176.0,0.0,0.0,177.0,167.0,175.0,-1.0,1692900.0,294727900.0,245.0,145.8,176.0,1200.0,175.0,8200.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-26T00:00:00,175.0,0.0,0.0,175.0,163.0,163.0,-12.0,8937500.0,1474250700.0,514.0,135.8,164.0,2000.0,163.0,182800.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-27T00:00:00,163.0,0.0,0.0,195.0,162.0,188.0,25.0,3072500.0,541598400.0,298.0,156.7,190.0,172900.0,188.0,10200.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-30T00:00:00,188.0,0.0,0.0,188.0,176.0,187.0,-1.0,463500.0,84074100.0,75.0,155.8,187.0,119700.0,186.0,19800.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-03-31T00:00:00,187.0,0.0,0.0,214.0,188.0,197.0,10.0,7140600.0,1428721000.0,831.0,164.2,198.0,2700.0,197.0,165000.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-01T00:00:00,197.0,0.0,0.0,198.0,191.0,194.0,-3.0,1322900.0,256692700.0,102.0,161.7,195.0,134000.0,194.0,58200.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-02T00:00:00,194.0,0.0,0.0,202.0,193.0,200.0,6.0,1477800.0,293197200.0,149.0,166.7,202.0,95600.0,200.0,143800.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-03T00:00:00,200.0,0.0,0.0,218.0,197.0,208.0,8.0,3434600.0,714164300.0,296.0,173.3,210.0,65000.0,208.0,83700.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-06T00:00:00,208.0,0.0,0.0,222.0,208.0,218.0,10.0,1964300.0,423238400.0,222.0,181.7,218.0,6600.0,216.0,181100.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-07T00:00:00,218.0,0.0,0.0,238.0,218.0,236.0,18.0,4473500.0,1030260000.0,387.0,196.7,238.0,214900.0,236.0,6600.0,833333000.0,333333000.0,833333000.0,0.0,5000.0,,0.0,0.0,0.0
2020-04-08T00:00:00,236.0,0.0,0.0,240.0,232.0,232.0,-4.0,1294700.0,306942400.0,188.0,193.3,234.0,21100.0,232.0,144500.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-09T00:00:00,232.0,0.0,0.0,248.0,232.0,238.0,6.0,4010600.0,970502200.0,473.0,198.3,240.0,6600.0,238.0,124700.0,833333000.0,333333000.0,833333000.0,5000.0,0.0,,0.0,0.0,0.0
2020-04-13T00:00:00,238.0,0.0,0.0,248.0,236.0,242.0,4.0,2160300.0,524134000.0,206.0,201.7,246.0,124300.0,242.0,165900.0,833333000.0,333333000.0,833333000.0,0.0,0.0,,0.0,0.0,0.0
