date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-11-08,165.0,0.0,0.0,222.0,174.0,181.0,16.0,485319900.0,94637891200.0,52604.0,109.7,182.0,368300.0,181.0,6325700.0,1684662500.0,343412500.0,336932500.0,1193000.0,2105500.0,,112590100.0,19140300100.0,4.0
2023-11-09,181.0,0.0,0.0,186.0,168.0,170.0,-11.0,65823400.0,11342526800.0,8801.0,103.0,171.0,206000.0,170.0,2798400.0,1684662500.0,343412500.0,336932500.0,191600.0,142800.0,,4400.0,850000.0,3.0
2023-11-10,170.0,0.0,0.0,176.0,166.0,172.0,2.0,25751500.0,4401113400.0,4464.0,104.2,173.0,397300.0,172.0,600.0,1684662500.0,343412500.0,336932500.0,81900.0,67000.0,,0.0,0.0,0.0
2023-11-13,172.0,0.0,0.0,176.0,164.0,170.0,-2.0,18941400.0,3258007200.0,2292.0,103.0,172.0,61600.0,170.0,737100.0,1684662500.0,343412500.0,336932500.0,1350000.0,0.0,,0.0,0.0,0.0
2023-11-14,170.0,0.0,0.0,176.0,170.0,173.0,3.0,17170000.0,2963946600.0,1967.0,104.8,173.0,12000.0,172.0,124900.0,1684662500.0,343412500.0,336932500.0,24600.0,0.0,,0.0,0.0,0.0
2023-11-15,173.0,0.0,0.0,173.0,170.0,171.0,-2.0,7517900.0,1287089300.0,1232.0,103.6,172.0,385400.0,171.0,361100.0,1684662500.0,343412500.0,336932500.0,1300.0,15700.0,,0.0,0.0,0.0
2023-11-16,171.0,0.0,0.0,174.0,169.0,169.0,-2.0,7456400.0,1277239700.0,816.0,102.4,170.0,237100.0,169.0,445200.0,1684662500.0,343412500.0,336932500.0,14700.0,0.0,,0.0,0.0,0.0
2023-11-17,169.0,0.0,0.0,171.0,167.0,168.0,-1.0,5918000.0,997109200.0,955.0,101.8,169.0,143900.0,168.0,413800.0,1684662500.0,343412500.0,336932500.0,1900.0,0.0,,0.0,0.0,0.0
2023-11-20,168.0,0.0,0.0,171.0,166.0,170.0,2.0,10267500.0,1726219900.0,1018.0,103.0,171.0,220400.0,170.0,686500.0,1684662500.0,343412500.0,336932500.0,1700.0,11500.0,,0.0,0.0,0.0
2023-11-21,170.0,0.0,0.0,180.0,171.0,173.0,3.0,21760600.0,3810853700.0,2877.0,104.8,173.0,55600.0,172.0,400100.0,1684662500.0,343412500.0,336932500.0,10500.0,0.0,,0.0,0.0,0.0
2023-11-22,173.0,0.0,0.0,174.0,170.0,173.0,0.0,8183100.0,1406194800.0,867.0,104.8,173.0,131900.0,172.0,5000.0,1684662500.0,343412500.0,336932500.0,1900.0,12600.0,,0.0,0.0,0.0
2023-11-23,173.0,0.0,0.0,176.0,172.0,174.0,1.0,10758600.0,1871209100.0,933.0,105.5,175.0,709200.0,174.0,338400.0,1684662500.0,343412500.0,336932500.0,12600.0,100000.0,,0.0,0.0,0.0
