date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,535.0,0.0,0.0,535.0,525.0,530.0,-5.0,435600.0,229897000.0,60.0,106.0,530.0,41100.0,525.0,82100.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,4500000.0,2992500000.0,1.0
2019-07-30,530.0,0.0,0.0,530.0,515.0,515.0,-15.0,933700.0,485438500.0,86.0,103.0,520.0,10000.0,515.0,90800.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,515.0,0.0,0.0,535.0,505.0,515.0,0.0,1294200.0,667377000.0,188.0,103.0,515.0,46600.0,510.0,171900.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,515.0,0.0,0.0,520.0,510.0,510.0,-5.0,84100.0,43342500.0,48.0,102.0,515.0,25000.0,510.0,58200.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,510.0,0.0,0.0,520.0,505.0,505.0,-5.0,706700.0,360023500.0,63.0,101.0,510.0,21000.0,505.0,27400.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,4500000.0,2857500000.0,1.0
2019-08-05,505.0,0.0,0.0,510.0,492.0,498.0,-7.0,559500.0,277741200.0,100.0,99.6,498.0,61700.0,496.0,15200.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,498.0,0.0,0.0,500.0,474.0,498.0,0.0,1151900.0,558708200.0,132.0,99.6,498.0,11400.0,494.0,19400.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,498.0,0.0,0.0,515.0,492.0,494.0,-4.0,469100.0,233914100.0,116.0,98.8,494.0,18000.0,492.0,25400.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,494.0,0.0,0.0,498.0,490.0,492.0,-2.0,863300.0,425357200.0,72.0,98.4,494.0,4900.0,492.0,225700.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,4750000.0,2860500000.0,3.0
2019-08-09,492.0,0.0,0.0,498.0,488.0,488.0,-4.0,144900.0,70869400.0,46.0,97.6,490.0,40100.0,488.0,14500.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,488.0,0.0,0.0,488.0,482.0,484.0,-4.0,421100.0,203748400.0,61.0,96.8,488.0,62000.0,484.0,239100.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,484.0,0.0,0.0,490.0,476.0,478.0,-6.0,668900.0,321256200.0,58.0,95.6,480.0,300.0,478.0,8400.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,478.0,0.0,0.0,482.0,476.0,480.0,2.0,336400.0,161292600.0,80.0,96.0,482.0,129700.0,480.0,224100.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,4500000.0,2677500000.0,1.0
2019-08-15,480.0,0.0,0.0,486.0,474.0,482.0,2.0,1507100.0,723837800.0,99.0,96.4,488.0,50500.0,480.0,211800.0,5769550000.0,5769550000.0,5769550000.0,535400.0,0.0,,0.0,0.0,0.0
2019-08-16,482.0,0.0,0.0,484.0,478.0,482.0,0.0,1954700.0,941029400.0,85.0,96.4,484.0,2500.0,482.0,11100.0,5769550000.0,5769550000.0,5769550000.0,974400.0,0.0,,0.0,0.0,0.0
2019-08-19,482.0,0.0,0.0,482.0,474.0,476.0,-6.0,241100.0,114584600.0,48.0,95.2,480.0,134100.0,476.0,34400.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,476.0,0.0,0.0,480.0,476.0,478.0,2.0,204600.0,97713000.0,26.0,95.6,478.0,69100.0,476.0,68400.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,4500000.0,2677500000.0,1.0
2019-08-21,478.0,0.0,0.0,480.0,468.0,468.0,-10.0,1179600.0,556545200.0,70.0,93.6,470.0,40200.0,468.0,75100.0,5769550000.0,5769550000.0,5769550000.0,0.0,5300.0,,0.0,0.0,0.0
2019-08-22,468.0,0.0,0.0,472.0,462.0,464.0,-4.0,984600.0,459370400.0,145.0,92.8,466.0,10000.0,464.0,16800.0,5769550000.0,5769550000.0,5769550000.0,2100.0,0.0,,0.0,0.0,0.0
2019-08-23,464.0,0.0,0.0,472.0,458.0,472.0,8.0,1013300.0,470316200.0,180.0,94.4,474.0,155800.0,472.0,41800.0,5769550000.0,5769550000.0,5769550000.0,3200.0,343400.0,,0.0,0.0,0.0
2019-08-26,472.0,0.0,0.0,470.0,462.0,464.0,-8.0,105700.0,49064000.0,30.0,92.8,464.0,100.0,462.0,140100.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,4500000.0,2655000000.0,1.0
2019-08-27,464.0,0.0,0.0,464.0,450.0,458.0,-6.0,650900.0,296512200.0,67.0,91.6,462.0,7000.0,458.0,19200.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,458.0,0.0,0.0,488.0,458.0,470.0,12.0,3873400.0,1821838400.0,813.0,94.0,478.0,2500.0,470.0,373600.0,5769550000.0,5769550000.0,5769550000.0,842000.0,0.0,,0.0,0.0,0.0
2019-08-29,470.0,0.0,0.0,484.0,470.0,472.0,2.0,447300.0,213334200.0,200.0,94.4,472.0,11300.0,470.0,53800.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,100000.0,35400000.0,1.0
2019-08-30,472.0,0.0,0.0,478.0,470.0,476.0,4.0,1809200.0,856471800.0,79.0,95.2,476.0,1052400.0,472.0,216500.0,5769550000.0,5769550000.0,5769550000.0,200000.0,0.0,,4500000.0,2655000000.0,1.0
2019-09-02,476.0,0.0,0.0,476.0,462.0,464.0,-12.0,868800.0,405766200.0,63.0,92.8,466.0,11200.0,462.0,32300.0,5769550000.0,5769550000.0,5769550000.0,4600.0,0.0,,0.0,0.0,0.0
2019-09-03,464.0,0.0,0.0,466.0,458.0,458.0,-6.0,24500.0,11314200.0,20.0,91.6,462.0,5400.0,458.0,25800.0,5769550000.0,5769550000.0,5769550000.0,300.0,5000.0,,0.0,0.0,0.0
2019-09-04,458.0,0.0,0.0,462.0,448.0,456.0,-2.0,1240700.0,564819800.0,113.0,91.2,458.0,1000.0,456.0,56800.0,5769550000.0,5769550000.0,5769550000.0,100000.0,0.0,,0.0,0.0,0.0
2019-09-05,456.0,0.0,0.0,462.0,456.0,458.0,2.0,56700.0,25879600.0,37.0,91.6,460.0,147600.0,458.0,300.0,5769550000.0,5769550000.0,5769550000.0,100.0,0.0,,4500000.0,2565000000.0,1.0
2019-09-06,458.0,0.0,0.0,464.0,448.0,460.0,2.0,635900.0,291671600.0,88.0,92.0,460.0,56000.0,458.0,200.0,5769550000.0,5769550000.0,5769550000.0,295000.0,0.0,,0.0,0.0,0.0
2019-09-09,460.0,0.0,0.0,464.0,450.0,450.0,-10.0,845200.0,381823800.0,71.0,90.0,452.0,6400.0,450.0,116000.0,5769550000.0,5769550000.0,5769550000.0,25100.0,0.0,,0.0,0.0,0.0
2019-09-10,450.0,0.0,0.0,452.0,444.0,450.0,0.0,456100.0,204066000.0,72.0,90.0,450.0,20800.0,446.0,1700.0,5769550000.0,5769550000.0,5769550000.0,0.0,0.0,,0.0,0.0,0.0
