date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,480.0,0.0,0.0,480.0,462.0,470.0,-10.0,2700.0,1275000.0,6.0,171.6,480.0,41400.0,472.0,200.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,470.0,0.0,0.0,486.0,468.0,482.0,12.0,18300.0,8822000.0,11.0,176.0,482.0,8300.0,468.0,400.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,482.0,0.0,0.0,482.0,482.0,482.0,0.0,3000.0,1446000.0,2.0,176.0,482.0,14600.0,476.0,1000.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,482.0,0.0,0.0,482.0,460.0,460.0,-22.0,12400.0,5733000.0,16.0,167.9,462.0,1700.0,460.0,300.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,460.0,0.0,0.0,482.0,462.0,480.0,20.0,4600.0,2152600.0,7.0,175.2,480.0,4000.0,468.0,100.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,480.0,0.0,0.0,470.0,460.0,460.0,-20.0,9400.0,4345600.0,11.0,167.9,462.0,8200.0,458.0,1100.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,460.0,0.0,0.0,458.0,400.0,438.0,-22.0,16100.0,6936400.0,16.0,159.9,466.0,8200.0,438.0,100.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,438.0,0.0,0.0,478.0,438.0,438.0,0.0,19500.0,8589800.0,23.0,159.9,452.0,100.0,438.0,7500.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,438.0,0.0,0.0,440.0,438.0,440.0,2.0,17100.0,7516000.0,9.0,160.6,464.0,200.0,440.0,8600.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,440.0,0.0,0.0,442.0,438.0,440.0,0.0,14800.0,6509800.0,12.0,160.6,440.0,4600.0,438.0,14600.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,440.0,0.0,0.0,450.0,438.0,450.0,10.0,249200.0,111606600.0,19.0,164.3,462.0,3700.0,450.0,1000.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,450.0,0.0,0.0,470.0,450.0,460.0,10.0,1500.0,681000.0,3.0,167.9,458.0,2700.0,442.0,500.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,460.0,0.0,0.0,460.0,450.0,460.0,0.0,11500.0,5183200.0,7.0,167.9,458.0,1100.0,450.0,3500.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,460.0,0.0,0.0,460.0,460.0,460.0,0.0,600.0,276000.0,2.0,167.9,458.0,4900.0,436.0,1600.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,460.0,0.0,0.0,458.0,450.0,450.0,-10.0,92900.0,41977200.0,13.0,164.3,452.0,256700.0,450.0,100.0,633600000.0,633600000.0,633600000.0,85100.0,0.0,,0.0,0.0,0.0
2019-08-19,450.0,0.0,0.0,460.0,450.0,452.0,2.0,2800.0,1264800.0,6.0,165.0,452.0,2000.0,450.0,17400.0,633600000.0,633600000.0,633600000.0,0.0,0.0,,0.0,0.0,0.0
