date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,4780.0,0.0,0.0,4780.0,4400.0,4550.0,-230.0,93300.0,421751000.0,192.0,612.8,4580.0,2500.0,4540.0,100.0,654351707.0,654351707.0,654351707.0,32800.0,33200.0,,0.0,0.0,0.0
2019-07-30,4550.0,0.0,0.0,4630.0,4500.0,4550.0,0.0,15600.0,70718000.0,33.0,612.8,4550.0,4700.0,4530.0,100.0,654351707.0,654351707.0,654351707.0,1500.0,0.0,,0.0,0.0,0.0
2019-07-31,4550.0,0.0,0.0,4560.0,4430.0,4480.0,-70.0,27300.0,122318000.0,61.0,603.4,4510.0,5000.0,4480.0,200.0,654351707.0,654351707.0,654351707.0,14700.0,0.0,,0.0,0.0,0.0
2019-08-01,4480.0,0.0,0.0,4520.0,4410.0,4410.0,-70.0,38400.0,171062000.0,71.0,593.9,4460.0,200.0,4400.0,2400.0,654351707.0,654351707.0,654351707.0,1600.0,0.0,,0.0,0.0,0.0
2019-08-02,4410.0,0.0,0.0,4500.0,4390.0,4410.0,0.0,71500.0,315852000.0,42.0,593.9,4410.0,2900.0,4390.0,1100.0,654351707.0,654351707.0,654351707.0,10400.0,42400.0,,0.0,0.0,0.0
2019-08-05,4410.0,0.0,0.0,4420.0,4230.0,4260.0,-150.0,15200.0,66002000.0,45.0,573.7,4260.0,700.0,4240.0,700.0,654351707.0,654351707.0,654351707.0,0.0,1500.0,,45.0,198450.0,1.0
2019-08-06,4260.0,0.0,0.0,4260.0,4020.0,4150.0,-110.0,48800.0,203910000.0,55.0,558.9,4200.0,1600.0,4150.0,9100.0,654351707.0,654351707.0,654351707.0,4500.0,25900.0,,0.0,0.0,0.0
2019-08-07,4150.0,0.0,0.0,4350.0,4100.0,4350.0,200.0,8800.0,37473000.0,32.0,585.9,4350.0,800.0,4200.0,100.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,4350.0,0.0,0.0,4300.0,4280.0,4300.0,-50.0,7200.0,30952000.0,17.0,579.1,4300.0,1000.0,4250.0,1000.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,4300.0,0.0,0.0,4300.0,4200.0,4200.0,-100.0,7300.0,30893000.0,26.0,565.7,4200.0,400.0,4110.0,300.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,4200.0,0.0,0.0,4200.0,4000.0,4000.0,-200.0,49700.0,200751000.0,85.0,538.7,4000.0,1700.0,3990.0,1000.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,4000.0,0.0,0.0,3990.0,3800.0,3840.0,-160.0,33200.0,127987000.0,82.0,517.2,3880.0,100.0,3840.0,1800.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,3840.0,0.0,0.0,3950.0,3800.0,3870.0,30.0,25300.0,98186000.0,71.0,521.2,3940.0,1500.0,3870.0,1900.0,654351707.0,654351707.0,654351707.0,0.0,300.0,,0.0,0.0,0.0
2019-08-15,3870.0,0.0,0.0,3910.0,3800.0,3900.0,30.0,13000.0,49968000.0,36.0,525.3,3910.0,900.0,3800.0,700.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,3900.0,0.0,0.0,3980.0,3890.0,3970.0,70.0,3800.0,15088000.0,12.0,534.7,3970.0,1500.0,3850.0,600.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,3970.0,0.0,0.0,3980.0,3890.0,3900.0,-70.0,4300.0,16886000.0,20.0,525.3,3970.0,100.0,3900.0,200.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,3900.0,0.0,0.0,4020.0,3890.0,3940.0,40.0,13100.0,52118000.0,23.0,530.6,3950.0,3000.0,3940.0,100.0,654351707.0,654351707.0,654351707.0,100.0,0.0,,0.0,0.0,0.0
2019-08-21,3940.0,0.0,0.0,4200.0,3960.0,3960.0,20.0,18500.0,74813000.0,42.0,533.3,4000.0,400.0,3960.0,300.0,654351707.0,654351707.0,654351707.0,2000.0,0.0,,0.0,0.0,0.0
2019-08-22,3960.0,0.0,0.0,4000.0,3950.0,3980.0,20.0,13700.0,54599000.0,26.0,536.0,3980.0,900.0,3950.0,500.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,3980.0,0.0,0.0,3980.0,3910.0,3940.0,-40.0,2900.0,11465000.0,10.0,530.6,3940.0,700.0,3910.0,1400.0,654351707.0,654351707.0,654351707.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,3940.0,0.0,0.0,3940.0,3600.0,3790.0,-150.0,41600.0,154357000.0,83.0,510.4,3790.0,200.0,3750.0,100.0,654351707.0,654351707.0,654351707.0,0.0,20000.0,,0.0,0.0,0.0
2019-08-27,3790.0,0.0,0.0,3890.0,3700.0,3870.0,80.0,14100.0,52411000.0,18.0,521.2,3870.0,16900.0,3780.0,400.0,654351707.0,654351707.0,654351707.0,300.0,0.0,,0.0,0.0,0.0
2019-08-28,3870.0,0.0,0.0,3870.0,3790.0,3790.0,-80.0,14100.0,53757000.0,36.0,510.4,3790.0,27300.0,3750.0,600.0,654351707.0,654351707.0,654351707.0,3300.0,1000.0,,0.0,0.0,0.0
