date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-12-09,100.0,0.0,0.0,135.0,94.0,135.0,35.0,116416900.0,13727377000.0,5692.0,135.0,0.0,0.0,135.0,967360800.0,4600000000.0,4600000000.0,3520000000.0,2661100.0,5000.0,,630826500.0,66041516000.0,12.0
2021-12-10,135.0,0.0,0.0,182.0,148.0,182.0,47.0,7818300.0,1422522200.0,897.0,182.0,0.0,0.0,182.0,779800000.0,4600000000.0,4600000000.0,3520000000.0,55000.0,0.0,,5000.0,1000000.0,1.0
2021-12-13,182.0,0.0,0.0,244.0,230.0,244.0,62.0,59466000.0,14506450400.0,2433.0,244.0,0.0,0.0,244.0,571341300.0,4600000000.0,4600000000.0,3520000000.0,98300.0,3631100.0,,0.0,0.0,0.0
2021-12-14,244.0,0.0,0.0,304.0,228.0,228.0,-16.0,53711600.0,12880314000.0,3491.0,228.0,228.0,62888800.0,0.0,0.0,4600000000.0,4600000000.0,3520000000.0,2044300.0,1944600.0,,300000.0,91200000.0,1.0
2021-12-15,228.0,0.0,0.0,214.0,214.0,214.0,-14.0,3302100.0,706649400.0,314.0,214.0,214.0,173888800.0,0.0,0.0,4600000000.0,4600000000.0,3520000000.0,0.0,100.0,,196200.0,45848800.0,6.0
2021-12-16,214.0,0.0,0.0,200.0,200.0,200.0,-14.0,4714400.0,942880000.0,291.0,200.0,200.0,170714300.0,0.0,0.0,4600000000.0,4600000000.0,3520000000.0,0.0,0.0,,0.0,0.0,0.0
2021-12-17,200.0,0.0,0.0,216.0,186.0,186.0,-14.0,98356900.0,18832196400.0,7161.0,186.0,186.0,384200.0,0.0,0.0,4600000000.0,4600000000.0,3520000000.0,169000.0,1430000.0,,0.0,0.0,0.0
2021-12-20,186.0,0.0,0.0,246.0,173.0,173.0,-13.0,21150400.0,3683024200.0,1546.0,173.0,173.0,2280800.0,0.0,0.0,4600000000.0,4600000000.0,3520000000.0,115700.0,210000.0,,0.0,0.0,0.0
2021-12-21,173.0,0.0,0.0,230.0,163.0,224.0,51.0,99027300.0,20472443900.0,10010.0,224.0,224.0,2644600.0,222.0,128500.0,4600000000.0,4600000000.0,3520000000.0,222200.0,0.0,,0.0,0.0,0.0
2021-12-22,224.0,0.0,0.0,280.0,218.0,224.0,0.0,76586800.0,18308656000.0,6964.0,224.0,224.0,853900.0,222.0,189000.0,4600000000.0,4600000000.0,3520000000.0,1040400.0,250000.0,,24900000.0,5111400000.0,3.0
2021-12-23,224.0,0.0,0.0,270.0,212.0,254.0,30.0,129620200.0,33056357600.0,7633.0,254.0,256.0,191000.0,254.0,710500.0,4600000000.0,4600000000.0,3520000000.0,530000.0,0.0,,7500000.0,1680000000.0,1.0
2021-12-24,254.0,0.0,0.0,260.0,238.0,238.0,-16.0,58343200.0,14219785400.0,3849.0,238.0,238.0,3209500.0,0.0,0.0,4600000000.0,4600000000.0,3520000000.0,0.0,177000.0,,4533300.0,1003325400.0,2.0
2021-12-27,238.0,0.0,0.0,252.0,222.0,222.0,-16.0,61888100.0,14019091600.0,3246.0,222.0,222.0,336500.0,0.0,0.0,4600000000.0,4600000000.0,3520000000.0,440000.0,228300.0,,833300.0,184992600.0,1.0
2021-12-28,222.0,0.0,0.0,228.0,208.0,208.0,-14.0,33794100.0,7144872800.0,2421.0,208.0,208.0,2123100.0,0.0,0.0,4600000000.0,4600000000.0,3520000000.0,0.0,470000.0,,2000.0,456000.0,1.0
2021-12-29,208.0,0.0,0.0,218.0,194.0,200.0,-8.0,54354900.0,10715438900.0,3404.0,200.0,200.0,598700.0,199.0,26400.0,4600000000.0,4600000000.0,3520000000.0,290000.0,500000.0,,0.0,0.0,0.0
