date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,70.0,0.0,0.0,71.0,69.0,70.0,0.0,11200.0,784200.0,11.0,11.8,70.0,900.0,69.0,5500.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,70.0,0.0,0.0,71.0,68.0,71.0,1.0,12600.0,865200.0,9.0,12.0,71.0,10400.0,69.0,5000.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,71.0,0.0,0.0,73.0,70.0,70.0,-1.0,40400.0,2836200.0,8.0,11.8,71.0,100.0,69.0,7100.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,70.0,0.0,0.0,73.0,64.0,69.0,-1.0,8700.0,596600.0,10.0,11.7,70.0,900.0,68.0,5200.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,69.0,0.0,0.0,73.0,69.0,71.0,2.0,51300.0,3541600.0,8.0,12.0,71.0,4900.0,69.0,8300.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,71.0,0.0,0.0,71.0,68.0,71.0,0.0,1400.0,98700.0,10.0,12.0,71.0,9800.0,66.0,400.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,71.0,0.0,0.0,72.0,69.0,72.0,1.0,500.0,35700.0,4.0,12.2,72.0,29900.0,68.0,5000.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,72.0,0.0,0.0,72.0,63.0,72.0,0.0,2000.0,130500.0,4.0,12.2,71.0,10000.0,66.0,5000.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,72.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,12.2,72.0,19300.0,66.0,500.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,72.0,0.0,0.0,70.0,70.0,70.0,-2.0,600.0,42000.0,2.0,11.8,70.0,9900.0,69.0,5000.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,70.0,0.0,0.0,72.0,67.0,68.0,-2.0,41100.0,2801300.0,19.0,11.5,68.0,10200.0,67.0,10000.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,68.0,0.0,0.0,68.0,67.0,67.0,-1.0,93100.0,6257700.0,23.0,11.3,68.0,19300.0,67.0,5000.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,67.0,0.0,0.0,67.0,65.0,66.0,-1.0,43600.0,2880300.0,12.0,11.2,67.0,41000.0,66.0,40800.0,587152700.0,587152700.0,587152700.0,0.0,200.0,,0.0,0.0,0.0
2019-08-15,66.0,0.0,0.0,67.0,63.0,65.0,-1.0,44200.0,2950400.0,14.0,11.0,67.0,9900.0,65.0,2700.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,65.0,0.0,0.0,65.0,62.0,65.0,0.0,2000.0,129700.0,4.0,11.0,65.0,44200.0,64.0,1600.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,65.0,0.0,0.0,67.0,61.0,67.0,2.0,6800.0,442000.0,11.0,11.3,67.0,28500.0,63.0,3500.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,67.0,0.0,0.0,67.0,64.0,65.0,-2.0,39100.0,2554900.0,14.0,11.0,65.0,30600.0,64.0,100.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,65.0,0.0,0.0,65.0,63.0,64.0,-1.0,17200.0,1110400.0,11.0,10.8,65.0,237700.0,64.0,5500.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,64.0,0.0,0.0,64.0,64.0,64.0,0.0,1400.0,89600.0,3.0,10.8,64.0,236300.0,62.0,1500.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,64.0,0.0,0.0,60.0,60.0,60.0,-4.0,7300.0,438000.0,2.0,10.2,63.0,30000.0,62.0,20000.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,60.0,0.0,0.0,62.0,60.0,60.0,0.0,15100.0,906200.0,2.0,10.2,63.0,3800.0,60.0,1200.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,60.0,0.0,0.0,63.0,55.0,63.0,3.0,4200.0,241300.0,9.0,10.7,63.0,2700.0,56.0,12500.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,63.0,0.0,0.0,63.0,58.0,58.0,-5.0,16900.0,983200.0,12.0,9.8,58.0,600.0,57.0,14100.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,58.0,0.0,0.0,64.0,52.0,60.0,2.0,207200.0,12218100.0,35.0,10.2,60.0,100000.0,57.0,700.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30,60.0,0.0,0.0,60.0,55.0,59.0,-1.0,46500.0,2626600.0,16.0,10.0,59.0,800.0,57.0,200.0,587152700.0,587152700.0,587152700.0,0.0,0.0,,0.0,0.0,0.0
