date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29T00:00:00,394.0,0.0,0.0,402.0,380.0,402.0,8.0,19909800.0,7815551000.0,1078.0,268.0,404.0,617800.0,402.0,34200.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30T00:00:00,402.0,0.0,0.0,422.0,396.0,420.0,18.0,21145000.0,8674969200.0,1529.0,280.0,420.0,39900.0,418.0,133400.0,665000000.0,150000000.0,665000000.0,105000.0,0.0,,2500.0,1030000.0,1.0
2019-07-31T00:00:00,420.0,0.0,0.0,430.0,404.0,420.0,0.0,19497200.0,8140520600.0,987.0,280.0,420.0,103400.0,418.0,122000.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01T00:00:00,420.0,0.0,0.0,444.0,404.0,406.0,-14.0,28307200.0,12062849400.0,1471.0,270.7,406.0,34200.0,404.0,238700.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,20000.0,8240000.0,1.0
2019-08-02T00:00:00,406.0,0.0,0.0,418.0,394.0,400.0,-6.0,15794700.0,6436764600.0,977.0,266.7,400.0,426100.0,398.0,180600.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,7500.0,3060000.0,1.0
2019-08-05T00:00:00,400.0,0.0,0.0,412.0,388.0,410.0,10.0,31235300.0,12623674400.0,1475.0,273.3,410.0,105500.0,408.0,153300.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06T00:00:00,410.0,0.0,0.0,410.0,388.0,396.0,-14.0,13196200.0,5228358800.0,1462.0,264.0,396.0,65700.0,394.0,73700.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07T00:00:00,396.0,0.0,0.0,418.0,392.0,406.0,10.0,26439500.0,10724169000.0,1846.0,270.7,406.0,103700.0,404.0,376700.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08T00:00:00,406.0,0.0,0.0,426.0,400.0,414.0,8.0,17839600.0,7409824200.0,1247.0,276.0,414.0,328800.0,412.0,222800.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09T00:00:00,414.0,0.0,0.0,424.0,410.0,418.0,4.0,11611400.0,4848041000.0,1026.0,278.7,420.0,349400.0,418.0,1049200.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12T00:00:00,418.0,0.0,0.0,486.0,416.0,480.0,62.0,73531600.0,34143635000.0,6537.0,320.0,480.0,74300.0,478.0,42500.0,665000000.0,150000000.0,665000000.0,12000.0,10000.0,,0.0,0.0,0.0
2019-08-13T00:00:00,480.0,0.0,0.0,500.0,460.0,478.0,-2.0,39992700.0,19392801400.0,4264.0,318.7,478.0,101800.0,476.0,117600.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,18900.0,9147600.0,1.0
2019-08-14T00:00:00,478.0,0.0,0.0,525.0,478.0,496.0,18.0,52050200.0,25982689000.0,3574.0,330.7,496.0,288500.0,494.0,134400.0,665000000.0,150000000.0,665000000.0,0.0,100000.0,,417900.0,208950000.0,1.0
2019-08-15T00:00:00,496.0,0.0,0.0,515.0,478.0,500.0,4.0,24618600.0,12174588900.0,2659.0,333.3,500.0,165200.0,498.0,223500.0,665000000.0,150000000.0,665000000.0,0.0,50000.0,,0.0,0.0,0.0
2019-08-16T00:00:00,500.0,0.0,0.0,520.0,490.0,490.0,-10.0,22197500.0,11123555900.0,1949.0,326.7,490.0,234000.0,488.0,193200.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19T00:00:00,490.0,0.0,0.0,498.0,480.0,480.0,-10.0,15964800.0,7798366600.0,1311.0,320.0,480.0,267700.0,478.0,109600.0,665000000.0,150000000.0,665000000.0,1500.0,1500.0,,0.0,0.0,0.0
2019-08-20T00:00:00,480.0,0.0,0.0,492.0,476.0,486.0,6.0,16967800.0,8222834400.0,1562.0,324.0,486.0,85500.0,484.0,187100.0,665000000.0,150000000.0,665000000.0,30000.0,0.0,,0.0,0.0,0.0
2019-08-21T00:00:00,486.0,0.0,0.0,530.0,476.0,525.0,39.0,44802300.0,22635984100.0,2494.0,350.0,525.0,48000.0,520.0,163900.0,665000000.0,150000000.0,665000000.0,10000.0,4700.0,,0.0,0.0,0.0
2019-08-22T00:00:00,525.0,0.0,0.0,585.0,510.0,560.0,35.0,52059500.0,28422197000.0,3565.0,373.3,570.0,227200.0,560.0,144800.0,665000000.0,150000000.0,665000000.0,4700.0,0.0,,0.0,0.0,0.0
2019-08-23T00:00:00,560.0,0.0,0.0,570.0,530.0,540.0,-20.0,19001800.0,10492643000.0,2027.0,360.0,545.0,173000.0,540.0,9100.0,665000000.0,150000000.0,665000000.0,0.0,0.0,,0.0,0.0,0.0
