date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-04-08,100.0,0.0,0.0,135.0,135.0,135.0,35.0,896400.0,121014000.0,6.0,135.0,0.0,0.0,135.0,64063900.0,7150000000.0,2150000000.0,7150000000.0,0.0,0.0,,100000000.0,10000000000.0,1.0
2020-04-09,135.0,0.0,0.0,182.0,180.0,182.0,47.0,81384700.0,14802352400.0,571.0,182.0,0.0,0.0,182.0,27450800.0,7150000000.0,2150000000.0,7150000000.0,30000000.0,0.0,,2574000.0,257400000.0,1.0
2020-04-13,182.0,0.0,0.0,244.0,170.0,244.0,62.0,48345600.0,11011492200.0,2818.0,244.0,0.0,0.0,244.0,6176200.0,7150000000.0,2150000000.0,7150000000.0,0.0,10000.0,,100016000.0,13501600000.0,3.0
2020-04-14,244.0,0.0,0.0,282.0,228.0,228.0,-16.0,73825300.0,17801873000.0,6902.0,228.0,228.0,3997300.0,0.0,0.0,7150000000.0,2150000000.0,7150000000.0,200100.0,220100.0,,0.0,0.0,0.0
2020-04-15,228.0,0.0,0.0,220.0,214.0,214.0,-14.0,5595300.0,1197525200.0,181.0,214.0,214.0,4170800.0,0.0,0.0,7150000000.0,2150000000.0,7150000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-16,214.0,0.0,0.0,226.0,200.0,214.0,0.0,8537900.0,1756369000.0,1036.0,214.0,216.0,77600.0,214.0,1796800.0,7150000000.0,2150000000.0,7150000000.0,30000.0,0.0,,2304000.0,460800000.0,1.0
2020-04-17,214.0,0.0,0.0,266.0,214.0,266.0,52.0,27187000.0,6733177600.0,3098.0,266.0,0.0,0.0,266.0,25330100.0,7150000000.0,2150000000.0,7150000000.0,185900.0,219900.0,,0.0,0.0,0.0
2020-04-20,266.0,0.0,0.0,288.0,260.0,280.0,14.0,45051600.0,12338167200.0,3950.0,280.0,282.0,403700.0,280.0,497200.0,7150000000.0,2150000000.0,7150000000.0,155000.0,121000.0,,0.0,0.0,0.0
2020-04-21,280.0,0.0,0.0,282.0,262.0,262.0,-18.0,38296800.0,10138642400.0,2000.0,262.0,262.0,25900.0,0.0,0.0,7150000000.0,2150000000.0,7150000000.0,0.0,0.0,,0.0,0.0,0.0
2020-04-22,262.0,0.0,0.0,250.0,244.0,244.0,-18.0,2027000.0,497322800.0,130.0,244.0,244.0,262100.0,0.0,0.0,7150000000.0,2150000000.0,7150000000.0,0.0,0.0,,0.0,0.0,0.0
