date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-09-02,396.0,0.0,0.0,590.0,570.0,590.0,194.0,74282400.0,43508324000.0,4841.0,149.0,0.0,0.0,590.0,7561200.0,3666312500.0,3651279900.0,3666312500.0,3512000.0,501300.0,,11458700.0,4764845200.0,3.0
2019-09-03,590.0,0.0,0.0,710.0,590.0,655.0,65.0,92037500.0,59614284000.0,12474.0,165.4,660.0,912100.0,655.0,7487000.0,3666312500.0,3651279900.0,3666312500.0,1244700.0,1699000.0,,6200.0,4216000.0,1.0
2019-09-04,655.0,0.0,0.0,715.0,645.0,705.0,50.0,63289600.0,42835453500.0,6730.0,178.0,710.0,1729400.0,705.0,562600.0,3666312500.0,3651279900.0,3666312500.0,710600.0,464400.0,,233000.0,141720000.0,2.0
2019-09-05,705.0,0.0,0.0,740.0,700.0,720.0,15.0,40137300.0,29068378500.0,4632.0,181.8,725.0,124500.0,720.0,660400.0,3666312500.0,3651279900.0,3666312500.0,699200.0,592000.0,,2570000.0,1017720000.0,1.0
2019-09-06,720.0,0.0,0.0,725.0,690.0,695.0,-25.0,35909000.0,25098069500.0,3782.0,175.5,695.0,195500.0,690.0,1137700.0,3666312500.0,3651279900.0,3666312500.0,7700.0,584700.0,,0.0,0.0,0.0
2019-09-09,695.0,0.0,0.0,710.0,695.0,695.0,0.0,26896400.0,18871902000.0,2788.0,175.5,700.0,672400.0,690.0,1165400.0,3666312500.0,3651279900.0,3666312500.0,50000.0,43000.0,,0.0,0.0,0.0
2019-09-10,695.0,0.0,0.0,705.0,645.0,700.0,5.0,34622700.0,23538082000.0,3154.0,176.8,700.0,160300.0,695.0,558500.0,3666312500.0,3651279900.0,3666312500.0,0.0,40000.0,,500000.0,347500000.0,1.0
2019-09-11,700.0,0.0,0.0,715.0,690.0,695.0,-5.0,22152200.0,15524633000.0,2761.0,175.5,695.0,307700.0,690.0,1709100.0,3666312500.0,3651279900.0,3666312500.0,240000.0,0.0,,0.0,0.0,0.0
2019-09-12,695.0,0.0,0.0,700.0,680.0,690.0,-5.0,31385700.0,21702382500.0,2914.0,174.2,690.0,2623100.0,685.0,26300.0,3666312500.0,3651279900.0,3666312500.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13,690.0,0.0,0.0,700.0,680.0,680.0,-10.0,32061200.0,22128016500.0,2871.0,171.7,685.0,23000.0,680.0,178100.0,3666312500.0,3651279900.0,3666312500.0,43000.0,0.0,,0.0,0.0,0.0
