date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-09-07,300.0,0.0,0.0,374.0,374.0,374.0,74.0,11000.0,4114000.0,3.0,124.7,0.0,0.0,374.0,8888800.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-08,374.0,0.0,0.0,466.0,466.0,466.0,92.0,23600.0,10997600.0,15.0,155.3,0.0,0.0,466.0,3475600.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-09,466.0,0.0,0.0,580.0,530.0,580.0,114.0,1389300.0,797329000.0,132.0,193.3,0.0,0.0,580.0,2488800.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-10,580.0,0.0,0.0,725.0,540.0,600.0,20.0,4928900.0,3173339000.0,1487.0,200.0,600.0,249500.0,580.0,30000.0,800000000.0,156800000.0,800000000.0,300.0,0.0,,1000.0,580000.0,1.0
2020-09-11,600.0,0.0,0.0,600.0,560.0,600.0,0.0,1511600.0,863424500.0,187.0,200.0,600.0,171500.0,560.0,130000.0,800000000.0,156800000.0,800000000.0,310100.0,0.0,,0.0,0.0,0.0
2020-09-14,600.0,0.0,0.0,600.0,560.0,600.0,0.0,1602200.0,930191500.0,338.0,200.0,600.0,396400.0,575.0,15400.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-15,600.0,0.0,0.0,585.0,560.0,560.0,-40.0,458500.0,259756500.0,110.0,186.7,560.0,98300.0,0.0,0.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-16,560.0,0.0,0.0,560.0,525.0,525.0,-35.0,466900.0,245900000.0,205.0,175.0,525.0,407400.0,0.0,0.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-17,525.0,0.0,0.0,580.0,490.0,530.0,5.0,287000.0,151855200.0,121.0,176.7,530.0,60400.0,525.0,1000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-18,530.0,0.0,0.0,580.0,494.0,510.0,-20.0,153900.0,82147200.0,136.0,170.0,510.0,12000.0,500.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-21,510.0,0.0,0.0,560.0,478.0,500.0,-10.0,145400.0,72113200.0,105.0,166.7,500.0,37200.0,480.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,100000.0,50000000.0,1.0
2020-09-22,500.0,0.0,0.0,550.0,472.0,500.0,0.0,68700.0,34561800.0,51.0,166.7,500.0,52900.0,478.0,300.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-23,500.0,0.0,0.0,550.0,520.0,520.0,20.0,7800.0,4062500.0,13.0,173.3,520.0,10500.0,480.0,4900.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-24,520.0,0.0,0.0,570.0,484.0,525.0,5.0,298200.0,148660600.0,234.0,175.0,525.0,44600.0,515.0,100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-25,525.0,0.0,0.0,570.0,490.0,540.0,15.0,193400.0,100555300.0,79.0,180.0,540.0,63600.0,520.0,5000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-28,540.0,0.0,0.0,590.0,520.0,520.0,-20.0,11600.0,6047500.0,19.0,173.3,520.0,300.0,510.0,16000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-29,520.0,0.0,0.0,600.0,505.0,565.0,45.0,202900.0,115255500.0,81.0,188.3,560.0,9800.0,550.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-09-30,565.0,0.0,0.0,605.0,530.0,565.0,0.0,45900.0,25293000.0,23.0,188.3,565.0,9000.0,560.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-01,565.0,0.0,0.0,615.0,540.0,560.0,-5.0,32300.0,18126500.0,27.0,186.7,560.0,7800.0,540.0,12100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-02,560.0,0.0,0.0,600.0,545.0,565.0,5.0,1900.0,1082000.0,12.0,188.3,565.0,10200.0,560.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-05,565.0,0.0,0.0,595.0,545.0,565.0,0.0,26800.0,15034500.0,23.0,188.3,565.0,10300.0,555.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-06,565.0,0.0,0.0,590.0,565.0,580.0,15.0,7400.0,4234500.0,13.0,193.3,580.0,70100.0,550.0,13100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-07,580.0,0.0,0.0,590.0,580.0,580.0,0.0,1800.0,1045000.0,3.0,193.3,580.0,29000.0,575.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-08,580.0,0.0,0.0,600.0,560.0,560.0,-20.0,20000.0,11220500.0,21.0,186.7,560.0,11100.0,555.0,1000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-09,560.0,0.0,0.0,580.0,540.0,580.0,20.0,131800.0,72724000.0,39.0,193.3,580.0,103800.0,575.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-12,580.0,0.0,0.0,585.0,550.0,580.0,0.0,33700.0,19406500.0,22.0,193.3,580.0,3400.0,575.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-13,580.0,0.0,0.0,595.0,560.0,580.0,0.0,115100.0,66714000.0,26.0,193.3,580.0,43900.0,560.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-14,580.0,0.0,0.0,590.0,550.0,580.0,0.0,13500.0,7531000.0,11.0,193.3,570.0,5000.0,550.0,6200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-15,580.0,0.0,0.0,595.0,550.0,575.0,-5.0,27400.0,15716500.0,19.0,191.7,575.0,29900.0,550.0,6500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-16,575.0,0.0,0.0,625.0,570.0,580.0,5.0,43800.0,25390500.0,15.0,193.3,580.0,12900.0,575.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-19,580.0,0.0,0.0,630.0,550.0,585.0,5.0,58300.0,33816500.0,44.0,195.0,585.0,95100.0,580.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-20,585.0,0.0,0.0,595.0,580.0,585.0,0.0,11600.0,6760000.0,17.0,195.0,585.0,19300.0,580.0,1000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-21,585.0,0.0,0.0,635.0,560.0,570.0,-15.0,6000.0,3396000.0,9.0,190.0,570.0,4400.0,565.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-22,570.0,0.0,0.0,595.0,545.0,590.0,20.0,47300.0,27636000.0,31.0,196.7,590.0,16100.0,575.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-23,590.0,0.0,0.0,590.0,565.0,575.0,-15.0,7400.0,4246000.0,14.0,191.7,570.0,1900.0,550.0,3200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-26,575.0,0.0,0.0,590.0,570.0,570.0,-5.0,4800.0,2749000.0,7.0,190.0,570.0,1700.0,565.0,2000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-10-27,570.0,0.0,0.0,580.0,580.0,580.0,10.0,300.0,174000.0,2.0,193.3,570.0,2700.0,560.0,1000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-02,580.0,0.0,0.0,630.0,545.0,575.0,-5.0,22500.0,12705000.0,27.0,191.7,575.0,98000.0,565.0,600.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-03,575.0,0.0,0.0,625.0,555.0,585.0,10.0,37400.0,21703500.0,30.0,195.0,585.0,105700.0,575.0,1600.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-04,585.0,0.0,0.0,635.0,565.0,575.0,-10.0,21700.0,12424500.0,26.0,191.7,575.0,25800.0,570.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-05,575.0,0.0,0.0,625.0,550.0,570.0,-5.0,30700.0,17282500.0,27.0,190.0,570.0,2800.0,560.0,1100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-06,570.0,0.0,0.0,580.0,550.0,570.0,0.0,33200.0,18842000.0,34.0,190.0,570.0,48200.0,550.0,3100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-09,570.0,0.0,0.0,590.0,550.0,575.0,5.0,65800.0,37794500.0,20.0,191.7,575.0,500.0,570.0,100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-10,575.0,0.0,0.0,595.0,550.0,575.0,0.0,97200.0,54906000.0,40.0,191.7,575.0,116700.0,545.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,50000.0,30000000.0,1.0
2020-11-11,575.0,0.0,0.0,625.0,540.0,560.0,-15.0,71800.0,39933500.0,29.0,186.7,560.0,34300.0,550.0,2000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-12,560.0,0.0,0.0,570.0,540.0,550.0,-10.0,4700.0,2582000.0,10.0,183.3,545.0,13300.0,525.0,3200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-13,550.0,0.0,0.0,560.0,530.0,550.0,0.0,21800.0,11781000.0,11.0,183.3,545.0,13600.0,525.0,1100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-16,550.0,0.0,0.0,600.0,545.0,550.0,0.0,3200.0,1762500.0,9.0,183.3,515.0,400.0,0.0,0.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-17,550.0,0.0,0.0,550.0,515.0,540.0,-10.0,33900.0,17784500.0,26.0,180.0,540.0,2500.0,515.0,16700.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-18,540.0,0.0,0.0,550.0,505.0,540.0,0.0,18800.0,10029500.0,19.0,180.0,540.0,16600.0,515.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-19,540.0,0.0,0.0,590.0,505.0,505.0,-35.0,205800.0,104912500.0,35.0,168.3,505.0,171900.0,0.0,0.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-20,505.0,0.0,0.0,555.0,470.0,492.0,-13.0,92000.0,44494500.0,48.0,164.0,492.0,14800.0,490.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-23,492.0,0.0,0.0,530.0,458.0,458.0,-34.0,422400.0,193859200.0,111.0,152.7,462.0,4200.0,458.0,30100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-24,458.0,0.0,0.0,525.0,426.0,428.0,-30.0,537300.0,235306100.0,125.0,142.7,430.0,1600.0,428.0,2900.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-25,428.0,0.0,0.0,448.0,400.0,400.0,-28.0,395100.0,158428800.0,80.0,133.3,402.0,1000.0,400.0,1508300.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-26,400.0,0.0,0.0,420.0,388.0,400.0,0.0,83900.0,33113200.0,47.0,133.3,402.0,11100.0,400.0,1486300.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-27,400.0,0.0,0.0,428.0,390.0,428.0,28.0,82000.0,32676000.0,60.0,142.7,420.0,115200.0,418.0,400.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-11-30,428.0,0.0,0.0,448.0,400.0,416.0,-12.0,54000.0,21812600.0,36.0,138.7,416.0,10700.0,400.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-12-01,416.0,0.0,0.0,436.0,400.0,418.0,2.0,31400.0,12749800.0,34.0,139.3,418.0,12100.0,416.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-12-02,418.0,0.0,0.0,438.0,400.0,404.0,-14.0,45400.0,18248400.0,28.0,134.7,404.0,14100.0,402.0,4000.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-12-03,404.0,0.0,0.0,424.0,396.0,406.0,2.0,7500.0,3012400.0,7.0,135.3,406.0,12100.0,404.0,500.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-12-04,406.0,0.0,0.0,426.0,406.0,406.0,0.0,2600.0,1057600.0,6.0,135.3,402.0,10600.0,400.0,100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-12-07,406.0,0.0,0.0,426.0,390.0,390.0,-16.0,14600.0,5733200.0,21.0,130.0,406.0,10200.0,380.0,800.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-12-08,390.0,0.0,0.0,414.0,390.0,414.0,24.0,273700.0,109051000.0,97.0,138.0,414.0,31300.0,408.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-12-10,414.0,0.0,0.0,505.0,406.0,498.0,84.0,237100.0,103059400.0,52.0,166.0,498.0,77100.0,496.0,200.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
2020-12-11,498.0,0.0,0.0,515.0,492.0,496.0,-2.0,14400.0,7123700.0,14.0,165.3,496.0,68100.0,466.0,100.0,800000000.0,156800000.0,800000000.0,0.0,0.0,,0.0,0.0,0.0
