date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,545.0,0.0,0.0,545.0,545.0,545.0,0.0,700.0,381500.0,3.0,341.3,540.0,2700.0,525.0,1000.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,545.0,0.0,0.0,540.0,540.0,540.0,-5.0,900.0,486000.0,4.0,338.2,540.0,4600.0,520.0,2500.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,540.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,338.2,540.0,1200.0,520.0,5000.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,540.0,0.0,0.0,520.0,520.0,520.0,-20.0,3800.0,1976000.0,6.0,325.7,520.0,2000.0,500.0,4300.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,520.0,0.0,0.0,510.0,510.0,510.0,-10.0,2100.0,1071000.0,6.0,319.4,540.0,2100.0,500.0,4900.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,510.0,0.0,0.0,630.0,500.0,565.0,55.0,9800.0,4926000.0,6.0,353.9,540.0,3100.0,505.0,1200.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,565.0,0.0,0.0,565.0,500.0,500.0,-65.0,86200.0,44222000.0,44.0,313.1,520.0,49700.0,498.0,1000.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,500.0,0.0,0.0,535.0,490.0,510.0,10.0,13200.0,6579000.0,11.0,319.4,510.0,37300.0,492.0,5000.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,510.0,0.0,0.0,530.0,510.0,515.0,5.0,1100.0,569000.0,7.0,322.5,510.0,2900.0,492.0,200.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,515.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,0.0,0.0,322.5,510.0,37300.0,498.0,3000.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,515.0,0.0,0.0,500.0,500.0,500.0,-15.0,17200.0,8600000.0,5.0,313.1,500.0,20200.0,488.0,6800.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,500.0,0.0,0.0,492.0,488.0,488.0,-12.0,5600.0,2734800.0,7.0,305.6,488.0,3100.0,472.0,300.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,488.0,0.0,0.0,500.0,500.0,500.0,12.0,100.0,50000.0,1.0,313.1,484.0,3100.0,472.0,3500.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,500.0,0.0,0.0,498.0,474.0,496.0,-4.0,2800.0,1351600.0,3.0,310.6,488.0,2100.0,474.0,2100.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,496.0,0.0,0.0,494.0,494.0,494.0,-2.0,1200.0,592800.0,1.0,309.4,492.0,700.0,474.0,13500.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,494.0,0.0,0.0,498.0,494.0,496.0,2.0,7900.0,3929200.0,7.0,310.6,496.0,100.0,478.0,300.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,496.0,0.0,0.0,486.0,476.0,478.0,-18.0,22100.0,10569000.0,13.0,299.4,482.0,400.0,478.0,100.0,520160000.0,520160000.0,520160000.0,0.0,0.0,,0.0,0.0,0.0
