date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-08-09,200.0,0.0,0.0,220.0,180.0,220.0,20.0,107316800.0,22274499700.0,15243.0,110.0,220.0,3299100.0,218.0,500.0,650000000.0,195000000.0,0.0,1997900.0,165000.0,,118767900.0,24561259000.0,5.0
2023-08-10,220.0,0.0,0.0,230.0,202.0,224.0,4.0,40363000.0,8717673600.0,6373.0,112.0,224.0,720900.0,222.0,500000.0,650000000.0,195000000.0,0.0,190400.0,301000.0,,0.0,0.0,0.0
2023-08-11,224.0,0.0,0.0,244.0,212.0,242.0,18.0,42114800.0,9852722400.0,5854.0,121.0,244.0,436100.0,242.0,18100.0,650000000.0,195000000.0,0.0,370000.0,400400.0,,0.0,0.0,0.0
2023-08-14,242.0,0.0,0.0,266.0,240.0,266.0,24.0,22195900.0,5778430800.0,4838.0,133.0,0.0,0.0,266.0,786700.0,650000000.0,195000000.0,0.0,30000.0,256700.0,,0.0,0.0,0.0
2023-08-15,266.0,0.0,0.0,292.0,268.0,292.0,26.0,18365700.0,5276549200.0,3366.0,146.0,0.0,0.0,292.0,1151300.0,650000000.0,195000000.0,0.0,46000.0,20000.0,,0.0,0.0,0.0
2023-08-16,292.0,0.0,0.0,320.0,292.0,320.0,28.0,26007700.0,8204782800.0,6373.0,160.0,0.0,0.0,318.0,330100.0,650000000.0,195000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-08-18,320.0,0.0,0.0,352.0,320.0,352.0,32.0,25296900.0,8740837000.0,3679.0,176.0,0.0,0.0,352.0,2318000.0,650000000.0,195000000.0,0.0,255000.0,260000.0,,0.0,0.0,0.0
2023-08-21,352.0,0.0,0.0,380.0,318.0,318.0,-34.0,63310900.0,21162440200.0,10007.0,159.0,318.0,2299400.0,0.0,0.0,650000000.0,195000000.0,0.0,520900.0,139600.0,,0.0,0.0,0.0
2023-08-22,318.0,0.0,0.0,300.0,288.0,288.0,-30.0,23295500.0,6731019000.0,1869.0,144.0,288.0,4945700.0,0.0,0.0,650000000.0,195000000.0,0.0,31900.0,3000.0,,0.0,0.0,0.0
2023-08-23,288.0,0.0,0.0,316.0,260.0,308.0,20.0,60199400.0,17853618400.0,9459.0,154.0,310.0,68600.0,308.0,22500.0,650000000.0,195000000.0,0.0,128700.0,123400.0,,0.0,0.0,0.0
2023-08-24,308.0,0.0,0.0,334.0,306.0,328.0,20.0,20050900.0,6455329200.0,4707.0,164.0,330.0,286100.0,328.0,12600.0,650000000.0,195000000.0,0.0,32000.0,32300.0,,0.0,0.0,0.0
2023-08-25,328.0,0.0,0.0,358.0,326.0,356.0,28.0,22383100.0,7703341000.0,3315.0,178.0,358.0,869300.0,356.0,150800.0,650000000.0,195000000.0,0.0,216800.0,96600.0,,0.0,0.0,0.0
2023-08-28,356.0,0.0,0.0,370.0,322.0,362.0,6.0,23705000.0,8242794800.0,3814.0,181.0,362.0,655300.0,360.0,10384600.0,650000000.0,195000000.0,0.0,257900.0,24300.0,,0.0,0.0,0.0
2023-08-29,362.0,0.0,0.0,362.0,328.0,328.0,-34.0,9211100.0,3175979000.0,1691.0,164.0,328.0,258400.0,326.0,14957600.0,650000000.0,195000000.0,0.0,82900.0,84400.0,,0.0,0.0,0.0
2023-08-30,328.0,0.0,0.0,350.0,296.0,330.0,2.0,41830800.0,13510169200.0,4617.0,165.0,330.0,750000.0,328.0,407500.0,650000000.0,195000000.0,0.0,85100.0,42600.0,,0.0,0.0,0.0
2023-08-31,330.0,0.0,0.0,330.0,298.0,298.0,-32.0,32961300.0,10129189000.0,3347.0,149.0,298.0,2078800.0,0.0,0.0,650000000.0,195000000.0,0.0,23300.0,34100.0,,0.0,0.0,0.0
2023-09-01,298.0,0.0,0.0,296.0,270.0,270.0,-28.0,23502200.0,6502215600.0,1823.0,135.0,270.0,1049600.0,0.0,0.0,650000000.0,195000000.0,0.0,62800.0,0.0,,0.0,0.0,0.0
2023-09-04,270.0,0.0,0.0,268.0,244.0,252.0,-18.0,24149800.0,6059600800.0,3406.0,126.0,252.0,410700.0,250.0,220700.0,650000000.0,195000000.0,0.0,997000.0,997000.0,,0.0,0.0,0.0
2023-09-05,252.0,0.0,0.0,250.0,228.0,228.0,-24.0,40727900.0,9581167400.0,2402.0,114.0,228.0,1355000.0,0.0,0.0,650000000.0,195000000.0,0.0,973300.0,946400.0,,0.0,0.0,0.0
2023-09-06,228.0,0.0,0.0,242.0,206.0,206.0,-22.0,51773200.0,11123261800.0,5223.0,103.0,206.0,1618700.0,0.0,0.0,650000000.0,195000000.0,0.0,131600.0,50000.0,,0.0,0.0,0.0
2023-09-07,206.0,0.0,0.0,210.0,193.0,200.0,-6.0,17136400.0,3468839700.0,2514.0,100.0,200.0,41600.0,199.0,220300.0,650000000.0,195000000.0,0.0,100000.0,104000.0,,0.0,0.0,0.0
2023-09-08,200.0,0.0,0.0,208.0,195.0,200.0,0.0,27952200.0,5739579100.0,1504.0,100.0,204.0,27300.0,200.0,48400.0,650000000.0,195000000.0,0.0,44000.0,0.0,,0.0,0.0,0.0
2023-09-11,200.0,0.0,0.0,214.0,192.0,204.0,4.0,28695100.0,5919039000.0,2408.0,102.0,204.0,141100.0,202.0,200800.0,650000000.0,195000000.0,0.0,10000.0,18900.0,,0.0,0.0,0.0
2023-09-12,204.0,0.0,0.0,206.0,194.0,202.0,-2.0,25549400.0,5247951200.0,1105.0,101.0,202.0,40600.0,200.0,355800.0,650000000.0,195000000.0,0.0,18900.0,0.0,,0.0,0.0,0.0
2023-09-13,202.0,0.0,0.0,206.0,197.0,202.0,0.0,16197000.0,3292680400.0,4348.0,101.0,202.0,65100.0,200.0,145800.0,650000000.0,195000000.0,0.0,0.0,30200.0,,0.0,0.0,0.0
2023-09-14,202.0,0.0,0.0,206.0,198.0,202.0,0.0,15851900.0,3229107200.0,1019.0,101.0,202.0,7600.0,200.0,131600.0,650000000.0,195000000.0,0.0,7700.0,10500.0,,0.0,0.0,0.0
2023-09-15,202.0,0.0,0.0,222.0,198.0,202.0,0.0,15849100.0,3228854400.0,793.0,101.0,204.0,687300.0,202.0,100.0,650000000.0,195000000.0,0.0,0.0,3900.0,,0.0,0.0,0.0
2023-09-18,202.0,0.0,0.0,218.0,199.0,210.0,8.0,25771000.0,5375798300.0,1879.0,105.0,212.0,77800.0,210.0,56500.0,650000000.0,195000000.0,0.0,36900.0,0.0,,0.0,0.0,0.0
2023-09-19,210.0,0.0,0.0,220.0,210.0,214.0,4.0,18845900.0,4055222800.0,1051.0,107.0,214.0,400100.0,212.0,1121600.0,650000000.0,195000000.0,0.0,0.0,95600.0,,0.0,0.0,0.0
2023-09-20,214.0,0.0,0.0,234.0,214.0,218.0,4.0,34422400.0,7709445200.0,2936.0,109.0,218.0,325200.0,216.0,88000.0,650000000.0,195000000.0,0.0,3100.0,106800.0,,0.0,0.0,0.0
2023-09-21,218.0,0.0,0.0,224.0,208.0,208.0,-10.0,14643800.0,3159630600.0,973.0,104.0,212.0,28400.0,208.0,8200.0,650000000.0,195000000.0,0.0,158900.0,53400.0,,0.0,0.0,0.0
2023-09-22,208.0,0.0,0.0,214.0,200.0,210.0,2.0,17954800.0,3748454000.0,575.0,105.0,210.0,45000.0,208.0,200.0,650000000.0,195000000.0,0.0,15800.0,6000.0,,0.0,0.0,0.0
2023-09-25,210.0,0.0,0.0,222.0,202.0,212.0,2.0,18342700.0,3933477800.0,887.0,106.0,214.0,100.0,212.0,47400.0,650000000.0,195000000.0,0.0,3700.0,11100.0,,0.0,0.0,0.0
2023-09-26,212.0,0.0,0.0,218.0,202.0,204.0,-8.0,17405600.0,3683875600.0,1140.0,102.0,206.0,3700.0,204.0,44400.0,650000000.0,195000000.0,0.0,286100.0,840000.0,,0.0,0.0,0.0
