date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,3700.0,3700.0,3700.0,3820.0,3670.0,3770.0,70.0,7591300.0,28424870000.0,2589.0,85.4,3770.0,448500.0,3760.0,57800.0,2804883280.0,2804883280.0,2804883280.0,2503800.0,1156400.0,,0.0,0.0,0.0
2019-07-30,3770.0,3770.0,3770.0,3880.0,3740.0,3840.0,70.0,16435800.0,62881261000.0,4180.0,87.0,3840.0,2007700.0,3830.0,72600.0,2804883280.0,2804883280.0,2804883280.0,5633400.0,1264200.0,,2748748.0,10498225160.0,3.0
2019-07-31,3840.0,3840.0,3840.0,3850.0,3630.0,3730.0,-110.0,22559900.0,83687272000.0,5789.0,84.5,3730.0,3349400.0,3690.0,25000.0,2804883280.0,2804883280.0,2804883280.0,10566900.0,3362300.0,,3140144.0,11888450070.0,12.0
2019-08-01,3730.0,3720.0,3720.0,3720.0,3530.0,3540.0,-190.0,11540500.0,41760128000.0,5439.0,80.2,3540.0,320300.0,3530.0,103800.0,2804883280.0,2804883280.0,2804883280.0,4776800.0,3369800.0,,800324.0,2985177120.0,7.0
2019-08-02,3540.0,3520.0,3510.0,3580.0,3430.0,3450.0,-90.0,9441100.0,33000103000.0,4703.0,78.2,3450.0,49900.0,3440.0,94500.0,2804883280.0,2804883280.0,2804883280.0,3647200.0,4957000.0,,2323522.0,8767232900.0,4.0
2019-08-05,3450.0,3480.0,3490.0,3490.0,3280.0,3300.0,-150.0,11607400.0,38789336000.0,4840.0,74.8,3300.0,646000.0,3290.0,279500.0,2804883280.0,2804883280.0,2804883280.0,1107300.0,5401700.0,,300.0,1050300.0,1.0
2019-08-06,3300.0,3200.0,3200.0,3360.0,3120.0,3290.0,-10.0,11548600.0,37720719000.0,3475.0,74.6,3300.0,273900.0,3290.0,130300.0,2804883280.0,2804883280.0,2804883280.0,2686800.0,5119200.0,,5000000.0,19068000000.0,2.0
2019-08-07,3290.0,3310.0,3330.0,3330.0,3250.0,3270.0,-20.0,4892000.0,16024072000.0,2004.0,74.1,3270.0,84800.0,3260.0,19500.0,2804883280.0,2804883280.0,2804883280.0,795200.0,1702800.0,,474000.0,1726008000.0,2.0
2019-08-08,3270.0,3270.0,3270.0,3360.0,3260.0,3290.0,20.0,6696000.0,22155509000.0,2694.0,74.6,3300.0,7000.0,3290.0,194100.0,2804883280.0,2804883280.0,2804883280.0,2116800.0,1776200.0,,0.0,0.0,0.0
2019-08-09,3290.0,3300.0,3310.0,3370.0,3250.0,3270.0,-20.0,6719400.0,22117232000.0,3261.0,74.1,3270.0,444300.0,3260.0,63400.0,2804883280.0,2804883280.0,2804883280.0,2636700.0,2306600.0,,1875820.0,6229986000.0,5.0
2019-08-12,3270.0,3310.0,3300.0,3310.0,3250.0,3250.0,-20.0,3694400.0,12057679000.0,1494.0,73.6,3250.0,18200.0,3240.0,160200.0,2804883280.0,2804883280.0,2804883280.0,1632000.0,1764600.0,,1050900.0,3465402900.0,2.0
2019-08-13,3250.0,3210.0,3220.0,3260.0,3200.0,3220.0,-30.0,12892800.0,41641401000.0,3726.0,73.0,3220.0,678300.0,3210.0,258500.0,2804883280.0,2804883280.0,2804883280.0,10185600.0,10268500.0,,3622531.0,11700774820.0,2.0
2019-08-14,3220.0,3220.0,3230.0,3280.0,3220.0,3250.0,30.0,6240500.0,20287557000.0,1636.0,73.6,3260.0,473300.0,3250.0,222900.0,2804883280.0,2804883280.0,2804883280.0,3411300.0,3801500.0,,250051.0,814165750.0,3.0
2019-08-15,3250.0,3200.0,3200.0,3300.0,3180.0,3270.0,20.0,3274100.0,10646979000.0,1446.0,74.1,3280.0,45500.0,3270.0,59400.0,2804883280.0,2804883280.0,2804883280.0,520500.0,1489100.0,,650000.0,2156050000.0,1.0
2019-08-16,3270.0,3260.0,3260.0,3270.0,3240.0,3250.0,-20.0,4336100.0,14104982000.0,1671.0,73.6,3260.0,60200.0,3250.0,544700.0,2804883280.0,2804883280.0,2804883280.0,3299200.0,2394400.0,,1052000.0,3444910000.0,2.0
2019-08-19,3250.0,3250.0,3260.0,3280.0,3230.0,3230.0,-20.0,2486900.0,8075194000.0,1235.0,73.2,3240.0,3000.0,3230.0,216000.0,2804883280.0,2804883280.0,2804883280.0,788600.0,734800.0,,2596471.0,8484128130.0,4.0
2019-08-20,3230.0,3230.0,3240.0,3250.0,3120.0,3160.0,-70.0,5258100.0,16744348000.0,2637.0,71.6,3160.0,8500.0,3150.0,10400.0,2804883280.0,2804883280.0,2804883280.0,1954100.0,954400.0,,0.0,0.0,0.0
2019-08-21,3160.0,3140.0,3150.0,3170.0,3130.0,3150.0,-10.0,2783100.0,8763136000.0,1324.0,71.4,3150.0,73400.0,3140.0,151700.0,2804883280.0,2804883280.0,2804883280.0,1232700.0,1557400.0,,638000.0,2009900000.0,25.0
2019-08-22,3150.0,3140.0,3150.0,3150.0,2980.0,3030.0,-120.0,13010700.0,39409353000.0,3086.0,68.7,3040.0,94900.0,3030.0,899700.0,2804883280.0,2804883280.0,2804883280.0,3422200.0,5373000.0,,883300.0,2688281500.0,2.0
2019-08-23,3030.0,3030.0,3030.0,3110.0,2980.0,3100.0,70.0,15560500.0,47744051000.0,3256.0,70.2,3100.0,927900.0,3090.0,11500.0,2804883280.0,2804883280.0,2804883280.0,6702500.0,685000.0,,821000.0,2502765900.0,14.0
2019-08-26,3100.0,3040.0,3030.0,3060.0,2980.0,3000.0,-100.0,6003100.0,18076634000.0,2175.0,68.0,3010.0,9000.0,3000.0,2462400.0,2804883280.0,2804883280.0,2804883280.0,2243700.0,753000.0,,0.0,0.0,0.0
2019-08-27,3000.0,2990.0,3000.0,3050.0,2940.0,3000.0,0.0,11058000.0,33070557000.0,4123.0,68.0,3010.0,20200.0,3000.0,1184900.0,2804883280.0,2804883280.0,2804883280.0,5433900.0,2598500.0,,20000.0,60000000.0,1.0
2019-08-28,3000.0,3000.0,3010.0,3040.0,2990.0,3000.0,0.0,4514000.0,13604233000.0,1862.0,68.0,3020.0,33200.0,3000.0,3380600.0,2804883280.0,2804883280.0,2804883280.0,1052100.0,796100.0,,681700.0,2044083000.0,3.0
2019-08-29,3000.0,3000.0,3020.0,3030.0,2990.0,3000.0,0.0,3191100.0,9578885000.0,1087.0,68.0,3010.0,2043400.0,3000.0,2245400.0,2804883280.0,2804883280.0,2804883280.0,2020100.0,525700.0,,0.0,0.0,0.0
2019-08-30,3000.0,3000.0,3010.0,3030.0,2990.0,3020.0,20.0,5004500.0,15100721000.0,1633.0,68.4,3030.0,120300.0,3020.0,233200.0,2804883280.0,2804883280.0,2804883280.0,2584600.0,871300.0,,55000.0,165000000.0,1.0
2019-09-02,3020.0,3040.0,3040.0,3070.0,3020.0,3020.0,0.0,3634100.0,11042619000.0,1331.0,68.4,3020.0,3300.0,3010.0,208300.0,2804883280.0,2804883280.0,2804883280.0,1219800.0,910400.0,,474546.0,1429870920.0,3.0
2019-09-03,3020.0,3020.0,3030.0,3050.0,2990.0,3020.0,0.0,4207700.0,12675281000.0,1286.0,68.4,3020.0,1058600.0,3010.0,14700.0,2804883280.0,2804883280.0,2804883280.0,1898500.0,824400.0,,27.0,81540.0,1.0
2019-09-04,3020.0,3040.0,3030.0,3050.0,2990.0,3010.0,-10.0,2806500.0,8459744000.0,1549.0,68.2,3020.0,19600.0,3010.0,1400.0,2804883280.0,2804883280.0,2804883280.0,1713400.0,1282400.0,,0.0,0.0,0.0
2019-09-05,3010.0,3040.0,3040.0,3040.0,2990.0,3000.0,-10.0,3838200.0,11522950000.0,765.0,68.0,3010.0,50400.0,3000.0,1617200.0,2804883280.0,2804883280.0,2804883280.0,1418800.0,1500700.0,,2000.0,6008000.0,1.0
2019-09-06,3000.0,3000.0,3010.0,3040.0,2990.0,3020.0,20.0,3506600.0,10577867000.0,1495.0,68.4,3030.0,42600.0,3020.0,10000.0,2804883280.0,2804883280.0,2804883280.0,1349300.0,910300.0,,286700.0,863317000.0,23.0
2019-09-09,3020.0,3020.0,3020.0,3070.0,3020.0,3030.0,10.0,2713800.0,8255345000.0,1154.0,68.7,3040.0,3500.0,3030.0,111100.0,2804883280.0,2804883280.0,2804883280.0,803500.0,839200.0,,105300.0,320427900.0,1.0
2019-09-10,3030.0,3030.0,3030.0,3070.0,3000.0,3010.0,-20.0,3894700.0,11792563000.0,1263.0,68.2,3020.0,7100.0,3010.0,263100.0,2804883280.0,2804883280.0,2804883280.0,1445700.0,718600.0,,0.0,0.0,0.0
2019-09-11,3010.0,3010.0,3010.0,3190.0,3000.0,3130.0,120.0,14555000.0,45595872000.0,4084.0,70.9,3140.0,1000.0,3130.0,589700.0,2804883280.0,2804883280.0,2804883280.0,6875900.0,4792400.0,,326200.0,1023615600.0,1.0
2019-09-12,3130.0,3160.0,3170.0,3200.0,3040.0,3060.0,-70.0,11005700.0,34332995000.0,4130.0,69.3,3070.0,157000.0,3060.0,9400.0,2804883280.0,2804883280.0,2804883280.0,6186400.0,3422100.0,,0.0,0.0,0.0
2019-09-13,3060.0,3080.0,3070.0,3100.0,3030.0,3030.0,-30.0,3777800.0,11509700000.0,1433.0,68.7,3040.0,1800.0,3030.0,35800.0,2804883280.0,2804883280.0,2804883280.0,1653500.0,601400.0,,32.0,97920.0,1.0
2019-09-16,3030.0,3030.0,3030.0,3060.0,2980.0,3010.0,-20.0,6931900.0,20914329000.0,1678.0,68.2,3020.0,123600.0,3010.0,278700.0,2804883280.0,2804883280.0,2804883280.0,3582200.0,4033000.0,,0.0,0.0,0.0
2019-09-17,3010.0,3010.0,3010.0,3040.0,2960.0,3010.0,0.0,19300600.0,57895954000.0,1648.0,68.2,3010.0,492600.0,3000.0,45300.0,2804883280.0,2804883280.0,2804883280.0,17707200.0,13390400.0,,0.0,0.0,0.0
2019-09-18,3010.0,3020.0,3020.0,3020.0,3000.0,3000.0,-10.0,2800900.0,8418539000.0,1111.0,68.0,3010.0,27600.0,3000.0,292600.0,2804883280.0,2804883280.0,2804883280.0,1017400.0,1476100.0,,0.0,0.0,0.0
2019-09-19,3000.0,3020.0,3020.0,3080.0,2990.0,3030.0,30.0,6700800.0,20296422000.0,1791.0,68.7,3030.0,85200.0,3010.0,46800.0,2804883280.0,2804883280.0,2804883280.0,2906600.0,2859700.0,,0.0,0.0,0.0
2019-09-20,3030.0,3050.0,3050.0,3200.0,3020.0,3200.0,170.0,13764200.0,43176299000.0,3303.0,72.5,3210.0,33300.0,3200.0,109700.0,2804883280.0,2804883280.0,2804883280.0,4619600.0,6659600.0,,0.0,0.0,0.0
2019-09-23,3200.0,3230.0,3230.0,3330.0,3110.0,3120.0,-80.0,8588100.0,27688354000.0,3923.0,70.7,3130.0,20700.0,3120.0,8900.0,2804883280.0,2804883280.0,2804883280.0,1677500.0,1252600.0,,26.0,83200.0,2.0
2019-09-24,3120.0,3120.0,3120.0,3120.0,3040.0,3050.0,-70.0,6163700.0,18938455000.0,1710.0,69.1,3070.0,21700.0,3050.0,125200.0,2804883280.0,2804883280.0,2804883280.0,3163600.0,3068000.0,,0.0,0.0,0.0
2019-09-25,3050.0,3050.0,3060.0,3080.0,3000.0,3020.0,-30.0,3699700.0,11208973000.0,1092.0,68.4,3020.0,95200.0,3010.0,290800.0,2804883280.0,2804883280.0,2804883280.0,2399000.0,355800.0,,1128931.0,3476262240.0,3.0
2019-09-26,3020.0,3030.0,3040.0,3080.0,3010.0,3060.0,40.0,3151600.0,9606177000.0,1231.0,69.3,3070.0,6700.0,3060.0,50200.0,2804883280.0,2804883280.0,2804883280.0,1527700.0,662700.0,,1266500.0,3859175500.0,2.0
2019-09-27,3060.0,3080.0,3070.0,3280.0,3060.0,3240.0,180.0,9997600.0,32181664000.0,3258.0,73.4,3240.0,31600.0,3230.0,151000.0,2804883280.0,2804883280.0,2804883280.0,712700.0,2027400.0,,86.0,263100.0,2.0
2019-09-30,3240.0,3260.0,3260.0,3550.0,3170.0,3430.0,190.0,19167000.0,65321496000.0,6223.0,77.7,3430.0,335200.0,3420.0,21000.0,2804883280.0,2804883280.0,2804883280.0,1924700.0,4012700.0,,38.0,123120.0,1.0
2019-10-01,3430.0,3430.0,3440.0,3750.0,3380.0,3690.0,260.0,23709700.0,86724919000.0,7362.0,83.6,3690.0,12800.0,3680.0,84100.0,2804883280.0,2804883280.0,2804883280.0,4739600.0,1195700.0,,658600.0,2437320000.0,16.0
