date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,136.0,0.0,0.0,140.0,135.0,140.0,4.0,6900.0,947100.0,13.0,15.6,140.0,34900.0,137.0,20000.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,140.0,0.0,0.0,140.0,135.0,140.0,0.0,7500.0,1030000.0,11.0,15.6,140.0,12400.0,134.0,1100.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,140.0,0.0,0.0,140.0,140.0,140.0,0.0,100.0,14000.0,1.0,15.6,139.0,200.0,134.0,100.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,140.0,0.0,0.0,154.0,141.0,152.0,12.0,27800.0,3945800.0,18.0,16.9,152.0,8300.0,143.0,2900.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,152.0,0.0,0.0,150.0,146.0,146.0,-6.0,1300.0,192400.0,5.0,16.2,146.0,19900.0,139.0,900.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,146.0,0.0,0.0,160.0,140.0,155.0,9.0,19300.0,2852500.0,25.0,17.2,154.0,29900.0,141.0,600.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,155.0,0.0,0.0,153.0,145.0,145.0,-10.0,2200.0,320300.0,6.0,16.1,150.0,3900.0,145.0,1100.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,145.0,0.0,0.0,153.0,145.0,153.0,8.0,70900.0,10626400.0,23.0,17.0,153.0,151800.0,145.0,27900.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,153.0,0.0,0.0,150.0,146.0,150.0,-3.0,131700.0,19572100.0,21.0,16.7,152.0,7600.0,146.0,36500.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,150.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,16.7,149.0,100.0,141.0,500.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,150.0,0.0,0.0,150.0,149.0,149.0,-1.0,10600.0,1589400.0,3.0,16.6,149.0,2400.0,141.0,100.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,149.0,0.0,0.0,148.0,139.0,148.0,-1.0,2000.0,288300.0,8.0,16.4,148.0,6400.0,141.0,35700.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,148.0,0.0,0.0,147.0,145.0,145.0,-3.0,19100.0,2771700.0,9.0,16.1,147.0,1400.0,145.0,46300.0,350000022.0,350000022.0,350000022.0,0.0,500.0,,0.0,0.0,0.0
2019-08-15,145.0,0.0,0.0,152.0,138.0,148.0,3.0,4700.0,697800.0,6.0,16.4,148.0,2600.0,141.0,200.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,148.0,0.0,0.0,148.0,147.0,148.0,0.0,290400.0,42978900.0,4.0,16.4,148.0,70100.0,141.0,57600.0,350000022.0,350000022.0,350000022.0,0.0,0.0,,0.0,0.0,0.0
