date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,610.0,0.0,0.0,615.0,605.0,615.0,5.0,109400.0,66508000.0,22.0,217.4,615.0,205800.0,605.0,30300.0,1560000000.0,1560000000.0,1560000000.0,0.0,2100.0,,0.0,0.0,0.0
2019-07-30,615.0,0.0,0.0,620.0,610.0,620.0,5.0,425100.0,263179500.0,22.0,219.2,620.0,68100.0,615.0,33100.0,1560000000.0,1560000000.0,1560000000.0,181900.0,271900.0,,0.0,0.0,0.0
2019-07-31,620.0,0.0,0.0,665.0,630.0,640.0,20.0,1464700.0,945256500.0,203.0,226.2,640.0,6500.0,635.0,120300.0,1560000000.0,1560000000.0,1560000000.0,462100.0,17900.0,,0.0,0.0,0.0
2019-08-01,640.0,0.0,0.0,670.0,645.0,655.0,15.0,3386800.0,2217442500.0,211.0,231.5,660.0,91400.0,655.0,132900.0,1560000000.0,1560000000.0,1560000000.0,2157200.0,457400.0,,0.0,0.0,0.0
2019-08-02,655.0,0.0,0.0,670.0,640.0,640.0,-15.0,663400.0,427282000.0,62.0,226.2,640.0,5400.0,635.0,117100.0,1560000000.0,1560000000.0,1560000000.0,609000.0,0.0,,0.0,0.0,0.0
2019-08-05,640.0,0.0,0.0,640.0,610.0,615.0,-25.0,392600.0,242069000.0,74.0,217.4,620.0,10000.0,615.0,19400.0,1560000000.0,1560000000.0,1560000000.0,0.0,2000.0,,0.0,0.0,0.0
2019-08-06,615.0,0.0,0.0,635.0,590.0,625.0,10.0,191600.0,116546500.0,46.0,220.9,625.0,19500.0,610.0,10200.0,1560000000.0,1560000000.0,1560000000.0,30000.0,0.0,,40.0,24000.0,1.0
2019-08-07,625.0,0.0,0.0,650.0,620.0,635.0,10.0,118400.0,74092500.0,54.0,224.5,635.0,48600.0,625.0,70000.0,1560000000.0,1560000000.0,1560000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,635.0,0.0,0.0,650.0,630.0,630.0,-5.0,150400.0,95565500.0,41.0,222.7,640.0,4700.0,630.0,4900.0,1560000000.0,1560000000.0,1560000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,630.0,0.0,0.0,650.0,625.0,650.0,20.0,116600.0,75049000.0,33.0,229.8,650.0,44300.0,635.0,100.0,1560000000.0,1560000000.0,1560000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,650.0,0.0,0.0,670.0,635.0,650.0,0.0,437900.0,280439500.0,52.0,229.8,645.0,2500.0,640.0,12600.0,1560000000.0,1560000000.0,1560000000.0,0.0,300000.0,,0.0,0.0,0.0
2019-08-13,650.0,0.0,0.0,650.0,630.0,645.0,-5.0,566900.0,362526500.0,53.0,228.0,645.0,190000.0,640.0,20500.0,1560000000.0,1560000000.0,1560000000.0,360000.0,100.0,,0.0,0.0,0.0
2019-08-14,645.0,0.0,0.0,655.0,630.0,630.0,-15.0,1288100.0,828469500.0,82.0,222.7,645.0,35800.0,630.0,377700.0,1560000000.0,1560000000.0,1560000000.0,564700.0,0.0,,0.0,0.0,0.0
2019-08-15,630.0,0.0,0.0,645.0,620.0,640.0,10.0,187900.0,118199500.0,33.0,226.2,640.0,84800.0,630.0,4000.0,1560000000.0,1560000000.0,1560000000.0,0.0,1500.0,,0.0,0.0,0.0
2019-08-16,640.0,0.0,0.0,640.0,625.0,640.0,0.0,351600.0,222440000.0,46.0,226.2,640.0,69000.0,635.0,1100.0,1560000000.0,1560000000.0,1560000000.0,80300.0,0.0,,0.0,0.0,0.0
2019-08-19,640.0,0.0,0.0,645.0,625.0,645.0,5.0,82700.0,52740000.0,12.0,228.0,645.0,76700.0,640.0,100.0,1560000000.0,1560000000.0,1560000000.0,0.0,26100.0,,0.0,0.0,0.0
