date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,630.0,0.0,0.0,640.0,610.0,625.0,-5.0,1016600.0,632608500.0,218.0,39.1,630.0,52300.0,625.0,36300.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,625.0,0.0,0.0,635.0,615.0,630.0,5.0,116600.0,72918000.0,54.0,39.4,630.0,204100.0,625.0,29500.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,630.0,0.0,0.0,625.0,585.0,585.0,-45.0,3286100.0,1973386000.0,601.0,36.6,595.0,33400.0,585.0,244300.0,1750026639.0,1750026639.0,1750026639.0,200000.0,0.0,,0.0,0.0,0.0
2019-08-01,585.0,0.0,0.0,605.0,570.0,575.0,-10.0,2707300.0,1572622000.0,510.0,35.9,580.0,191300.0,575.0,160200.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,575.0,0.0,0.0,590.0,560.0,590.0,15.0,1250600.0,718273500.0,201.0,36.9,590.0,133700.0,580.0,12000.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,590.0,0.0,0.0,590.0,560.0,565.0,-25.0,1409500.0,793099000.0,225.0,35.3,565.0,9200.0,560.0,132500.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,565.0,0.0,0.0,560.0,505.0,545.0,-20.0,2012400.0,1066887500.0,384.0,34.1,545.0,41100.0,540.0,4300.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,545.0,0.0,0.0,565.0,540.0,540.0,-5.0,979100.0,535006500.0,199.0,33.8,540.0,15700.0,535.0,114700.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,540.0,0.0,0.0,575.0,525.0,560.0,20.0,2109800.0,1155531500.0,261.0,35.0,560.0,63500.0,555.0,106500.0,1750026639.0,1750026639.0,1750026639.0,0.0,107500.0,,0.0,0.0,0.0
2019-08-09,560.0,0.0,0.0,575.0,545.0,555.0,-5.0,824900.0,458477500.0,148.0,34.7,555.0,4500.0,550.0,1200.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,555.0,0.0,0.0,560.0,545.0,550.0,-5.0,251200.0,137925500.0,107.0,34.4,550.0,19800.0,545.0,133000.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,550.0,0.0,0.0,555.0,540.0,540.0,-10.0,412100.0,224882500.0,122.0,33.8,550.0,11900.0,535.0,45500.0,1750026639.0,1750026639.0,1750026639.0,135000.0,0.0,,0.0,0.0,0.0
2019-08-14,540.0,0.0,0.0,555.0,525.0,525.0,-15.0,952100.0,507624000.0,247.0,32.8,525.0,12000.0,520.0,305000.0,1750026639.0,1750026639.0,1750026639.0,333800.0,0.0,,0.0,0.0,0.0
2019-08-15,525.0,0.0,0.0,525.0,500.0,505.0,-20.0,3976500.0,2011586500.0,465.0,31.6,510.0,10000.0,505.0,68500.0,1750026639.0,1750026639.0,1750026639.0,0.0,0.0,,0.0,0.0,0.0
