date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,3500.0,0.0,0.0,3530.0,3480.0,3530.0,30.0,1754100.0,6144523000.0,135.0,254.9,3530.0,49400.0,3480.0,51200.0,867933300.0,867933300.0,867933300.0,49100.0,2300.0,,0.0,0.0,0.0
2019-07-30,3530.0,0.0,0.0,3560.0,3530.0,3560.0,30.0,1996400.0,7080692000.0,156.0,257.0,3560.0,1500.0,3550.0,13600.0,867933300.0,867933300.0,867933300.0,15300.0,4800.0,,0.0,0.0,0.0
2019-07-31,3560.0,0.0,0.0,3620.0,3560.0,3620.0,60.0,3022300.0,10878329000.0,546.0,261.4,3620.0,143000.0,3590.0,13400.0,867933300.0,867933300.0,867933300.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,3620.0,0.0,0.0,3620.0,3560.0,3560.0,-60.0,671800.0,2411757000.0,165.0,257.0,3580.0,2300.0,3560.0,67400.0,867933300.0,867933300.0,867933300.0,0.0,8400.0,,0.0,0.0,0.0
2019-08-02,3560.0,0.0,0.0,3620.0,3540.0,3580.0,20.0,5749600.0,20592620000.0,1351.0,258.5,3580.0,17200.0,3560.0,20400.0,867933300.0,867933300.0,867933300.0,600.0,2267600.0,,0.0,0.0,0.0
2019-08-05,3580.0,0.0,0.0,3590.0,3530.0,3570.0,-10.0,748300.0,2661224000.0,240.0,257.8,3570.0,71900.0,3530.0,24600.0,867933300.0,867933300.0,867933300.0,79300.0,0.0,,0.0,0.0,0.0
2019-08-06,3570.0,0.0,0.0,3560.0,3480.0,3510.0,-60.0,719600.0,2526382000.0,169.0,253.4,3510.0,5900.0,3490.0,10000.0,867933300.0,867933300.0,867933300.0,83400.0,800.0,,0.0,0.0,0.0
2019-08-07,3510.0,0.0,0.0,3510.0,3460.0,3510.0,0.0,776300.0,2713225000.0,191.0,253.4,3510.0,9500.0,3470.0,10000.0,867933300.0,867933300.0,867933300.0,116000.0,2000.0,,0.0,0.0,0.0
2019-08-08,3510.0,0.0,0.0,3640.0,3510.0,3550.0,40.0,11513500.0,40850107000.0,1139.0,256.3,3550.0,34800.0,3540.0,22700.0,867933300.0,867933300.0,867933300.0,39600.0,4193800.0,,0.0,0.0,0.0
2019-08-09,3550.0,0.0,0.0,3580.0,3540.0,3540.0,-10.0,804800.0,2867712000.0,176.0,255.6,3540.0,27100.0,3530.0,121800.0,867933300.0,867933300.0,867933300.0,1500.0,18400.0,,2210000.0,7237750000.0,2.0
