date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,745.0,0.0,0.0,745.0,710.0,720.0,-25.0,2862600.0,2063523500.0,351.0,320.0,715.0,40000.0,710.0,3200.0,3518438000.0,3504649300.0,3518438000.0,1096400.0,168200.0,,370300.0,166635000.0,4.0
2019-07-30,720.0,0.0,0.0,730.0,690.0,730.0,10.0,3788000.0,2676931500.0,567.0,324.4,730.0,2500.0,720.0,104700.0,3518438000.0,3504649300.0,3518438000.0,577100.0,100000.0,,0.0,0.0,0.0
2019-07-31,730.0,0.0,0.0,840.0,730.0,805.0,75.0,28130800.0,22522493000.0,4563.0,357.8,810.0,102700.0,805.0,50600.0,3518438000.0,3504649300.0,3518438000.0,37700.0,23200.0,,0.0,0.0,0.0
2019-08-01,805.0,0.0,0.0,830.0,785.0,795.0,-10.0,7456100.0,6044529500.0,1031.0,353.3,795.0,33200.0,785.0,132700.0,3518438000.0,3504649300.0,3518438000.0,12200.0,0.0,,0.0,0.0,0.0
2019-08-02,795.0,0.0,0.0,795.0,775.0,780.0,-15.0,4143600.0,3249294500.0,527.0,346.7,780.0,44300.0,775.0,121300.0,3518438000.0,3504649300.0,3518438000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,780.0,0.0,0.0,820.0,775.0,810.0,30.0,7727200.0,6190564500.0,1162.0,360.0,810.0,45900.0,805.0,54300.0,3518438000.0,3504649300.0,3518438000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,810.0,0.0,0.0,815.0,765.0,780.0,-30.0,5186500.0,4075391500.0,742.0,346.7,795.0,34300.0,780.0,20900.0,3518438000.0,3504649300.0,3518438000.0,1100.0,46800.0,,0.0,0.0,0.0
2019-08-07,780.0,0.0,0.0,805.0,775.0,790.0,10.0,4293100.0,3406521500.0,709.0,351.1,800.0,23500.0,790.0,16700.0,3518438000.0,3504649300.0,3518438000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,790.0,0.0,0.0,800.0,790.0,790.0,0.0,2130100.0,1697305500.0,672.0,351.1,800.0,18300.0,790.0,69400.0,3518438000.0,3504649300.0,3518438000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,790.0,0.0,0.0,810.0,790.0,800.0,10.0,4075300.0,3252063500.0,833.0,355.6,800.0,16900.0,795.0,57500.0,3518438000.0,3504649300.0,3518438000.0,23500.0,0.0,,0.0,0.0,0.0
