date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1100.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,400.0,1220.0,100.0,1005.0,100.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,1100.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,400.0,1220.0,100.0,955.0,1000.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,1100.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,400.0,1220.0,100.0,1100.0,100000.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,1100.0,0.0,0.0,1100.0,1100.0,1100.0,0.0,50000.0,55000000.0,1.0,400.0,1200.0,250000.0,1100.0,100.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,1100.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,400.0,1200.0,250000.0,900.0,2000.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,1100.0,0.0,0.0,1100.0,1100.0,1100.0,0.0,100.0,110000.0,1.0,400.0,1220.0,100.0,1105.0,100.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,1100.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,400.0,1220.0,600.0,875.0,3000.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,1100.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,400.0,1180.0,2000.0,850.0,100000.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,1100.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,400.0,1100.0,1100.0,855.0,1000.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,1100.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,400.0,1100.0,1100.0,900.0,1000.0,2882353000.0,2882353000.0,2882353000.0,0.0,0.0,,0.0,0.0,0.0
