date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,17700.0,0.0,0.0,17400.0,17400.0,17400.0,-300.0,100.0,1740000.0,1.0,828.6,17200.0,100.0,0.0,0.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,17400.0,0.0,0.0,17000.0,17000.0,17000.0,-400.0,700.0,11900000.0,4.0,809.5,16900.0,500.0,15925.0,300.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,17000.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,809.5,16900.0,200.0,13600.0,100.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,17000.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,809.5,16800.0,200.0,13600.0,100.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,17000.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,809.5,16550.0,200.0,13600.0,1000.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,17000.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,809.5,16000.0,200.0,0.0,0.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,17000.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,809.5,17000.0,1800.0,0.0,0.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,17000.0,0.0,0.0,17000.0,17000.0,17000.0,0.0,2400.0,40800000.0,9.0,809.5,16650.0,100.0,14000.0,100.0,948194000.0,948194000.0,948194000.0,300.0,0.0,,0.0,0.0,0.0
2019-08-08,17000.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,809.5,16900.0,100.0,13600.0,1600.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,17000.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,809.5,16950.0,600.0,13600.0,1600.0,948194000.0,948194000.0,948194000.0,0.0,0.0,,0.0,0.0,0.0
